"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.14,10,259,6.32,0.25,49.16,106.19,76.9,0,0.17,"NA","NA","clear-day","Clear throughout the day.",1009.84,316.25,2016-06-08
"2",0.11,10,258,2.7,0.24,49.39,105.07,79.32,0,0.13,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1007.39,333.02,2016-06-07
"3",0.03,10,216,1.01,0.14,36.07,104.68,79.46,0,0.1,"NA","NA","clear-day","Clear throughout the day.",1006.75,319.42,2016-06-06
"4",0.08,9.93,228,1.09,0.13,35.23,109.71,81.59,0,0.07,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1003.67,312.23,2016-06-05
"5",0.01,10,260,2.15,0.09,28.47,113.43,79.52,0,0.03,"NA","NA","clear-day","Clear throughout the day.",1005.48,312.53,2016-06-04
"6",0,10,258,2.81,0.11,31.14,113.59,79.67,0,0.98,"NA","NA","clear-day","Clear throughout the day.",1007.85,326.24,2016-06-03
"7",0,10,266,3.54,0.12,32.36,111.99,76.19,0,0.95,"NA","NA","clear-day","Clear throughout the day.",1010.21,330.35,2016-06-02
"8",0,10,248,2.92,0.16,35.92,106.32,73.3,0,0.91,"NA","NA","clear-day","Clear throughout the day.",1010.28,339.03,2016-06-01
"9",0.04,10,246,4.27,0.18,37.17,100.3,72.11,0,0.88,"NA","NA","clear-day","Clear throughout the day.",1008.12,328.99,2016-05-31
"10",0.05,10,249,1.88,0.16,30.75,96.85,65.96,1e-04,0.84,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1006.72,351.16,2016-05-30
"11",0,10,241,1.93,0.15,26.36,91.98,65.24,0,0.8,"NA","NA","clear-day","Clear throughout the day.",1009.76,339.98,2016-05-29
"12",0,10,208,3.05,0.19,32.52,96.25,67,0,0.76,"NA","NA","clear-day","Clear throughout the day.",1010.63,334.48,2016-05-28
"13",0.02,10,182,2.06,0.2,34.44,95.52,66.53,0,0.73,"NA","NA","clear-day","Clear throughout the day.",1007.65,340.51,2016-05-27
"14",0.01,10,227,1.77,0.22,34.21,90.86,63.59,0,0.69,"NA","NA","clear-day","Clear throughout the day.",1008.51,347.17,2016-05-26
"15",0.05,10,234,3.79,0.25,33.62,83.51,61.69,0,0.66,"NA","NA","clear-day","Clear throughout the day.",1011.23,362.7,2016-05-25
"16",0.06,10,227,4.8,0.17,27.84,89.49,64,0,0.62,"NA","NA","clear-day","Clear throughout the day.",1010.91,358.63,2016-05-24
"17",0.01,10,221,4.65,0.17,29.24,88.19,67.12,0,0.59,"NA","NA","clear-day","Clear throughout the day.",1008.98,NA,2016-05-23
"18",0,10,209,2.66,0.15,25.47,87.65,64.77,0,0.56,"NA","NA","clear-day","Clear throughout the day.",1006.92,NA,2016-05-22
"19",0.01,10,221,4.32,0.2,32.13,86.36,67.63,0,0.53,"NA","NA","clear-day","Clear throughout the day.",1009.3,NA,2016-05-21
"20",0.16,10,204,9.07,0.2,34.6,91.8,70.72,0,0.49,"NA","NA","clear-day","Clear throughout the day.",1008.17,NA,2016-05-20
"21",0.13,10,197,7.7,0.21,38.43,96.71,72.59,0,0.46,"NA","NA","clear-day","Clear throughout the day.",1004.81,NA,2016-05-19
"22",0.16,10,120,2.52,0.29,43.66,91.88,68.71,0,0.44,"NA","NA","clear-day","Clear throughout the day.",1007.57,NA,2016-05-18
"23",0.23,9.99,335,4.23,0.34,45.75,85.23,69.83,1e-04,0.41,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1009.47,NA,2016-05-17
"24",0.2,9.91,273,4.64,0.24,38.06,88.7,69.57,0,0.38,"NA","NA","wind","Partly cloudy until afternoon and breezy in the evening.",1006.84,NA,2016-05-16
"25",0.11,10,216,4.19,0.23,38.08,90.21,69.12,0,0.35,"NA","NA","clear-day","Clear throughout the day.",1005.59,NA,2016-05-15
"26",0.12,10,226,5.51,0.19,36.57,92.77,72.97,0,0.31,"NA","NA","clear-day","Clear throughout the day.",1004.38,NA,2016-05-14
"27",0.08,10,240,3.81,0.18,38.84,99.36,75.62,0,0.28,"NA","NA","clear-day","Clear throughout the day.",1007.07,NA,2016-05-13
"28",0.12,10,254,1.19,0.14,30.54,100.05,71.32,0,0.25,"NA","NA","clear-day","Clear throughout the day.",1010.53,NA,2016-05-12
"29",0.14,10,109,1.56,0.16,31.04,99.36,68.92,0,0.22,"NA","NA","clear-day","Clear throughout the day.",1011.74,NA,2016-05-11
"30",0.15,10,284,1.72,0.21,35.97,92.36,67.81,0,0.18,"NA","NA","clear-day","Clear throughout the day.",1011.65,NA,2016-05-10
"31",0.03,10,244,3.18,0.25,37.44,89.38,65.41,0,0.15,"NA","NA","clear-day","Clear throughout the day.",1010.09,NA,2016-05-09
"32",0.11,9.96,247,2.25,0.31,39.2,84.33,61.09,0,0.11,"NA","NA","clear-day","Clear throughout the day.",1009.61,NA,2016-05-08
"33",0.26,10,256,4.11,0.4,42.87,78.91,61.82,0,0.08,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1008.59,NA,2016-05-07
"34",0.25,10,179,3.12,0.42,42.52,76.59,57.3,0,0.04,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1010.61,NA,2016-05-06
"35",0.24,10,249,6.11,0.38,42.34,76.07,62.32,1e-04,0.01,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1007.89,NA,2016-05-05
"36",0.17,10,179,5.54,0.14,27.06,96,70.98,0,0.96,"NA","NA","wind","Breezy in the evening.",1006.12,NA,2016-05-04
"37",0.06,10,156,4.28,0.16,30.11,100.21,68.7,0,0.93,"NA","NA","clear-day","Clear throughout the day.",1008.11,NA,2016-05-03
"38",0.1,10,198,0.9,0.23,35.48,91.78,65.73,0,0.89,"NA","NA","clear-day","Clear throughout the day.",1010.43,NA,2016-05-02
"39",0.13,10,9,0.99,0.29,38.28,85.71,61.65,0,0.85,"NA","NA","clear-day","Clear throughout the day.",1012.36,NA,2016-05-01
"40",0.21,9.95,109,3.99,0.43,43.07,77.52,57.95,0,0.81,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1009.08,NA,2016-04-30
"41",0.31,9.98,109,1.14,0.35,38.65,79.23,61.62,7e-04,0.78,"NA","NA","rain","Drizzle starting in the afternoon, continuing until evening.",1003.95,NA,2016-04-29
"42",0.31,10,231,7.55,0.29,36.77,80.09,63.84,0,0.74,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1008.14,NA,2016-04-28
"43",0.25,10,239,7.19,0.2,26.01,74.23,62.69,0,0.71,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1003.8,NA,2016-04-27
"44",0.17,10,176,3.9,0.21,28.11,81.24,57.67,0,0.67,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1006.14,NA,2016-04-26
"45",0.17,10,232,7.26,0.24,28.2,76.39,56.97,0,0.64,"NA","NA","clear-day","Clear throughout the day.",1008.77,NA,2016-04-25
"46",0.19,10,231,13.2,0.17,22.83,79.86,67.66,0,0.61,"NA","NA","wind","Breezy starting in the afternoon, continuing until evening, and partly cloudy in the afternoon.",1004.82,NA,2016-04-24
"47",0.1,10,217,4.12,0.14,20.89,86.38,60.97,0,0.58,"NA","NA","clear-day","Clear throughout the day.",1007.63,NA,2016-04-23
"48",0.15,10,244,7.16,0.21,33.18,86.48,68.41,0,0.55,"NA","NA","clear-day","Clear throughout the day.",1008.69,NA,2016-04-22
"49",0.17,10,232,3.43,0.14,26.93,94.88,68,0,0.52,"NA","NA","clear-day","Clear throughout the day.",1008.31,NA,2016-04-21
