"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.22,9.64,117,3.91,0.62,64.02,93.39,66.23,0,0.17,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1015.44,320.48,2016-06-08
"2",0.06,9.83,78,3.31,0.66,64.74,88.27,67.39,0,0.13,"NA","NA","clear-day","Clear throughout the day.",1014.69,318.72,2016-06-07
"3",0.09,9.99,321,2.75,0.64,63.94,90.84,65.44,0,0.1,"NA","NA","clear-day","Clear throughout the day.",1011.81,319.52,2016-06-06
"4",0.07,10,349,3.74,0.66,61.74,86.45,63.79,0,0.06,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1011.32,320.13,2016-06-05
"5",0.17,8.2,340,4.03,0.69,64,86.29,67.03,5e-04,0.03,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1011.03,317.64,2016-06-04
"6",0.69,8.44,276,1.24,0.83,69.11,81.63,69.92,0.0154,0.98,"NA","NA","rain","Light rain until evening.",1012.71,319.5,2016-06-03
"7",0.87,7.34,132,2.93,0.84,69.79,81.85,70.55,0.03,0.95,"NA","NA","rain","Rain throughout the day.",1014.75,308.21,2016-06-02
"8",0.61,7.6,89,2.72,0.85,69.2,82.17,68.32,0.0101,0.91,"NA","NA","rain","Light rain until evening, starting again overnight.",1015.57,312.43,2016-06-01
"9",0.67,7.7,141,0.41,0.85,68.98,80.99,69.29,0.0046,0.87,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1013.96,318.33,2016-05-31
"10",0.34,9.64,122,2.54,0.8,67.2,83.3,65.59,0.0044,0.84,"NA","NA","rain","Light rain in the morning and overnight.",1013,320.22,2016-05-30
