"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.11,10,130,2.82,0.56,62.8,94.48,68.27,0,0.2,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1018.08,312.63,2016-06-08
"2",0.17,9.67,38,2.25,0.49,54.35,89.9,63.06,0,0.16,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1016.09,306.29,2016-06-07
"3",0.02,7.17,320,3.85,0.48,52.21,85.3,63.13,0,0.13,"NA","NA","clear-day","Clear throughout the day.",1012.81,309.61,2016-06-06
"4",0.18,4.49,307,4.21,0.65,63.86,89.24,69.09,8e-04,0.1,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1008.25,312.13,2016-06-05
"5",0.6,9.54,153,1.44,0.84,70.5,80.38,70.47,0.0253,0.06,"NA","NA","rain","Rain throughout the day.",1010.31,290.58,2016-06-04
"6",0.9,7.02,216,4,0.84,70.34,82.33,70.85,0.0289,0.03,"NA","NA","rain","Light rain throughout the day.",1012.02,296.05,2016-06-03
"7",0.61,9.71,196,3.92,0.71,69.47,88.25,71.78,0.012,0.98,"NA","NA","rain","Rain in the morning and afternoon.",1014.33,293.46,2016-06-02
"8",0.22,8.32,185,1.75,0.67,67.34,92.68,68.54,0.0055,0.95,"NA","NA","rain","Light rain starting in the evening.",1016.3,307.04,2016-06-01
"9",0.53,8.69,133,1.08,0.74,67.56,88.19,68.19,0.0086,0.91,"NA","NA","rain","Light rain starting in the afternoon.",1016.88,311.64,2016-05-31
"10",0.32,8.87,108,2.02,0.69,66.24,90.17,69.84,0.0072,0.87,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1014.93,326.89,2016-05-30
"11",0.35,9.76,37,1.15,0.6,63.24,90.03,68.4,0.0035,0.83,"NA","NA","rain","Light rain starting in the evening.",1013.06,329.65,2016-05-29
"12",0.25,9.96,307,1.8,0.62,62.65,90.53,66.12,0.0027,0.8,"NA","NA","rain","Drizzle in the evening.",1015.08,326.58,2016-05-28
"13",0.37,10,346,1.87,0.64,62.43,87.23,66.07,0.004,0.76,"NA","NA","rain","Light rain starting in the evening.",1018.31,320.84,2016-05-27
"14",0.1,9.99,112,4.11,0.59,58.65,84.72,65.62,0,0.72,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1018.88,319.39,2016-05-26
"15",0.25,9.54,134,4.82,0.66,63.44,84.76,68.1,0.0051,0.69,"NA","NA","rain","Light rain until afternoon.",1018,310.06,2016-05-25
"16",0.31,9.84,182,2.51,0.64,62.35,85.8,65.19,0.0058,0.65,"NA","NA","rain","Light rain in the morning and afternoon.",1019.94,313.43,2016-05-24
"17",0.12,9.96,192,5.45,0.55,55.46,86.28,61,0,0.62,"NA","NA","clear-day","Clear throughout the day.",1021.56,NA,2016-05-23
"18",0.17,10,338,1.04,0.55,52.6,83.91,58.17,0,0.59,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1018.93,NA,2016-05-22
"19",0.11,10,331,6.66,0.51,48.69,81.25,53.85,0,0.56,"NA","NA","clear-day","Clear throughout the day.",1014.59,NA,2016-05-21
"20",0.1,10,330,10.33,0.56,49.82,77.09,57.3,0,0.53,"NA","NA","clear-day","Clear throughout the day.",1014.06,NA,2016-05-20
"21",0.4,6.14,315,5.1,0.76,59.91,79.73,61.73,0.0021,0.48,"NA","NA","rain","Light rain in the afternoon.",1015.22,NA,2016-05-19
"22",NA,6.28,90,9.06,0.91,60.7,65.37,61.34,0.0036,0.46,"NA","NA","rain","Light rain in the afternoon and evening.",1017.38,NA,2016-05-18
"23",0.38,9.39,51,3.63,0.8,62.75,77.99,61.32,0.002,0.43,"NA","NA","rain","Light rain in the morning.",1015.57,NA,2016-05-17
"24",0.37,9.59,127,0.83,0.76,62.96,80.45,65.52,0.0035,0.4,"NA","NA","rain","Light rain starting in the evening.",1014.92,NA,2016-05-16
"25",0.43,8.63,89,5.22,0.74,58.37,72.83,62.21,0.0235,0.37,"NA","NA","rain","Rain until afternoon.",1018.05,NA,2016-05-15
