"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.27,9.15,136,6.25,0.81,73.04,93.02,68.58,4e-04,0.2,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1014.23,305.57,2016-06-09
"2",0.28,9.73,135,5.08,0.75,71.45,92.27,71.28,0.001,0.17,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1013.38,315.19,2016-06-08
"3",0.27,9.66,133,2.28,0.75,71.06,90.77,70.58,0.0134,0.13,"NA","NA","rain","Rain until evening.",1012.4,318.77,2016-06-07
"4",0.14,9.99,42,1.85,0.67,67.27,90.41,68.18,3e-04,0.1,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1011.79,317.82,2016-06-06
"5",0.02,10,1,5.46,0.62,62.83,88.25,65.55,0,0.06,"NA","NA","clear-day","Clear throughout the day.",1010.94,325.15,2016-06-05
"6",0.34,8.37,4,7.39,0.69,64.14,86.78,67.49,3e-04,0.03,"NA","NA","partly-cloudy-night","Mostly cloudy in the morning.",1011.54,328.08,2016-06-04
"7",0.72,7.71,8,5.77,0.86,69.01,82.34,67.58,0.0099,0.98,"NA","NA","rain","Light rain throughout the day.",1011.8,333.81,2016-06-03
"8",0.54,8.21,112,1.21,0.78,66.46,83.09,66.04,0.0219,0.95,"NA","NA","rain","Rain starting in the afternoon.",1011.45,348.96,2016-06-02
"9",0.57,7.06,321,2.33,0.85,68.6,79.8,69.25,0.0561,0.91,"NA","NA","rain","Heavy rain throughout the day.",1011.92,324.38,2016-06-01
"10",0.57,7.07,77,2.74,0.84,69.21,84.06,67.01,0.014,0.87,"NA","NA","rain","Rain starting in the afternoon.",1011.3,311.74,2016-05-31
