"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.23,9.58,103,3.51,0.66,68.09,93.71,70.92,0,0.17,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1014.15,299.03,2016-06-08
"2",0.08,9.88,71,2.44,0.67,68.81,93.08,71.3,0,0.13,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1012.82,302.1,2016-06-07
"3",0.08,9.98,0,2.22,0.68,68.66,92.01,71.16,0.0015,0.1,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1010.57,299.64,2016-06-06
"4",0.16,9.96,7,3.38,0.81,72.52,90.18,70.53,0.0055,0.06,"NA","NA","rain","Light rain starting in the afternoon.",1008.4,298.66,2016-06-05
"5",0.64,7.18,116,2.14,0.84,71.42,84.44,70.31,0.0109,0.03,"NA","NA","rain","Light rain throughout the day.",1009.81,305.17,2016-06-04
"6",0.79,7.73,120,2.59,0.9,70.59,80.38,70.08,0.0403,0.98,"NA","NA","rain","Heavy rain throughout the day.",1012.32,302.94,2016-06-03
"7",0.82,7.12,132,3.09,0.87,72.06,84.07,71.93,0.0553,0.95,"NA","NA","rain","Rain throughout the day.",1014.31,303.29,2016-06-02
"8",0.66,7.94,134,3.71,0.83,71.72,85.9,71.83,0.0168,0.91,"NA","NA","rain","Rain until evening.",1015.05,304.99,2016-06-01
"9",0.66,8.62,149,2.59,0.79,70.47,85.82,70.67,0.0043,0.87,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1014.16,308.84,2016-05-31
"10",0.19,9.49,189,2.22,0.76,70.1,89.82,71.41,0.0028,0.84,"NA","NA","rain","Light rain in the evening.",1013.29,315.93,2016-05-30
"11",0.2,9.82,183,1.89,0.73,69.91,91.06,70.67,0.0052,0.8,"NA","NA","rain","Light rain starting in the afternoon.",1015.69,312.82,2016-05-29
"12",0.31,9.79,56,1.28,0.73,68.53,89.51,67.9,5e-04,0.76,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1018.24,315.5,2016-05-28
"13",0.43,9.71,131,3.97,0.76,69.25,86.85,70.28,0.0094,0.73,"NA","NA","rain","Light rain starting in the afternoon.",1015.11,321.98,2016-05-27
"14",0.55,9.42,141,8.28,0.73,69.7,85.65,74.75,0.0019,0.69,"NA","NA","rain","Light rain starting in the evening.",1013.5,298.89,2016-05-26
"15",0.4,9.24,145,6.55,0.77,71.47,87.9,73.5,0.0024,0.65,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1017.17,289.86,2016-05-25
"16",0.25,9.32,151,6.72,0.75,71.14,89.91,72.52,2e-04,0.62,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1018.79,NA,2016-05-24
"17",0.1,9.72,114,5.59,0.72,66.8,88.92,65.27,0,0.59,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1017.21,NA,2016-05-23
"18",0.06,10,94,3.86,0.64,61.08,86.2,63.52,0,0.56,"NA","NA","clear-day","Clear throughout the day.",1014.68,NA,2016-05-22
"19",0.02,10,45,5.84,0.67,63.06,83.67,68.3,0,0.53,"NA","NA","clear-day","Clear throughout the day.",1015.42,NA,2016-05-21
"20",0.1,9.85,337,2.67,0.72,66.56,88.3,67.64,0,0.48,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1016.63,NA,2016-05-20
"21",0.17,9.79,280,2.93,0.76,67.15,84.69,69.32,0.0075,0.46,"NA","NA","rain","Rain in the morning.",1013.32,NA,2016-05-19
"22",0.14,8.94,43,4.25,0.81,65.75,82.27,64.63,0.0311,0.43,"NA","NA","rain","Heavy rain starting in the evening.",1014.13,NA,2016-05-18
"23",0.09,9.45,4,5.1,0.82,65.92,76.86,66.73,0,0.4,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1014.94,NA,2016-05-17
"24",0.1,8.49,76,2.22,0.83,68.67,82.43,68.95,0.0271,0.37,"NA","NA","rain","Rain until afternoon.",1012.55,NA,2016-05-16
"25",0.17,9.42,87,6.96,0.76,61.76,77.7,65.14,0.01,0.34,"NA","NA","rain","Heavy rain starting in the afternoon.",1016.19,NA,2016-05-15
"26",0.1,10,46,6.48,0.67,58.43,74.69,65.98,0,0.31,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1018.33,NA,2016-05-14
"27",0,9.53,346,3.75,0.57,54.58,87.43,58.44,0,0.28,"NA","NA","clear-day","Clear throughout the day.",1017.38,NA,2016-05-13
"28",0.06,9.94,351,5.07,0.63,62.5,87.07,67.41,0,0.25,"NA","NA","clear-day","Clear throughout the day.",1018.4,NA,2016-05-12
"29",0.11,9.12,260,0.7,0.71,66.46,88.82,66.05,0,0.22,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1018.45,NA,2016-05-11
"30",0.15,8.7,135,4.56,0.74,66.9,85.95,66.68,0,0.18,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1018.19,NA,2016-05-10
"31",0.19,9.49,165,8.42,0.69,65.69,86.5,70.23,0,0.15,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1015.81,NA,2016-05-09
"32",0.1,10,154,10.03,0.72,62.76,78.25,65.96,0,0.11,"NA","NA","wind","Partly cloudy until afternoon and breezy in the afternoon.",1014.17,NA,2016-05-08
"33",0.04,10,169,7.24,0.64,55.86,80.9,54.96,0,0.07,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1016.12,NA,2016-05-07
"34",0,10,141,3.55,0.58,49.04,81.15,50.37,0,0.04,"NA","NA","clear-day","Clear throughout the day.",1017.56,NA,2016-05-06
"35",0,9.97,357,4.53,0.56,46.56,77.63,51.8,0,0.01,"NA","NA","clear-day","Clear throughout the day.",1016.88,NA,2016-05-05
"36",0.01,10,326,5.85,0.53,48.92,78.82,59.71,0,0.96,"NA","NA","clear-day","Clear throughout the day.",1013.34,NA,2016-05-04
"37",0.06,10,322,5.75,0.58,49.96,77.87,54.89,0,0.92,"NA","NA","clear-day","Clear throughout the day.",1014,NA,2016-05-03
"38",0.18,9.95,342,5.55,0.76,60.23,76.57,64.18,0,0.88,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1014.25,NA,2016-05-02
"39",0.09,8.57,1,1.54,0.85,64.69,79.19,64.06,0.0056,0.85,"NA","NA","rain","Rain in the morning.",1014.24,NA,2016-05-01
"40",0.15,8.69,98,3.52,0.89,65.63,71.46,66.52,0.0394,0.81,"NA","NA","rain","Heavy rain until afternoon.",1012.2,NA,2016-04-30
"41",0.23,9.53,125,8.53,0.83,68.45,77.52,68.52,0.0216,0.77,"NA","NA","rain","Heavy rain in the afternoon.",1008.63,NA,2016-04-29
"42",0.19,8.48,144,10.42,0.75,68.91,87.13,71.5,0,0.74,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1011.27,NA,2016-04-28
"43",0.21,9.08,103,4.73,0.81,69.62,82.61,70.63,0.0077,0.7,"NA","NA","rain","Rain in the morning.",1011.63,NA,2016-04-27
"44",0.17,9.53,143,5.46,0.8,67.11,81.42,67.71,0.016,0.67,"NA","NA","rain","Rain until afternoon.",1008.11,NA,2016-04-26
"45",0.16,8.93,151,8.66,0.74,66.61,85.21,66.33,0,0.64,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1010.74,NA,2016-04-25
"46",0.1,10,153,5.94,0.66,61.05,82.55,64.48,0,0.61,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1012.89,NA,2016-04-24
"47",0.09,10,144,5.53,0.65,55.7,81.55,55.75,0,0.58,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1014.53,NA,2016-04-23
"48",0.03,9.94,1,4.22,0.61,52.98,81.35,57.24,0,0.55,"NA","NA","clear-day","Clear throughout the day.",1016.75,NA,2016-04-22
"49",0.18,8.18,307,4.71,0.76,60,79.81,61.73,2e-04,0.52,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1015.43,NA,2016-04-21
"50",0.2,9.07,163,2.65,0.82,62.94,79.82,63.86,0.0074,0.48,"NA","NA","rain","Rain in the evening.",1014.83,NA,2016-04-20
"51",0.19,9.12,142,6,0.79,63.94,82.02,64.23,0.0111,0.46,"NA","NA","rain","Rain starting in the evening.",1016.38,NA,2016-04-19
"52",0.19,9.93,108,5.75,0.79,63.01,76.43,63.44,3e-04,0.43,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1019.52,NA,2016-04-18
"53",0.11,9.7,97,10.19,0.75,59.99,77.34,61.59,0,0.4,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1021.7,NA,2016-04-17
"54",0.15,10,95,11.99,0.78,60.98,72.94,63.39,0,0.36,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1020.43,NA,2016-04-16
"55",NA,9.67,75,10.31,0.82,61.58,70.92,64.15,3e-04,0.33,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1016.65,NA,2016-04-15
"56",NA,9.91,94,9.89,0.85,63.7,75.39,65.06,3e-04,0.3,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1013.22,NA,2016-04-14
"57",0.27,9.33,102,6.21,0.79,63.33,78.76,64.85,0.0044,0.27,"NA","NA","rain","Rain overnight.",1013.42,NA,2016-04-13
"58",0.18,8.84,79,6.07,0.84,62.16,75.29,62.83,0.0491,0.23,"NA","NA","rain","Heavy rain in the morning.",1016.68,NA,2016-04-12
"59",NA,9.79,70,6.03,0.82,63.86,74.6,63.68,0.0047,0.2,"NA","NA","rain","Rain in the morning.",1017.96,NA,2016-04-11
"60",0.2,10,166,9.29,0.74,62.66,81.04,62.76,0,0.16,"NA","NA","wind","Partly cloudy until evening and breezy in the evening.",1016.5,NA,2016-04-10
"61",0.05,10,148,8.69,0.59,51.35,79.77,52.13,0,0.12,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1020.05,NA,2016-04-09
"62",0.05,10,153,4.66,0.52,41.39,77.4,46.96,0,0.09,"NA","NA","clear-day","Dry throughout the day.",1021.37,NA,2016-04-08
"63",0,10,330,5.7,0.44,39.8,77.06,55.51,0,0.05,"NA","NA","clear-day","Dry throughout the day.",1018.45,NA,2016-04-07
"64",0.03,9.15,263,4.44,0.58,48.07,80.71,53.55,0,0.01,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1015.13,NA,2016-04-06
"65",0.1,9.84,220,7.71,0.71,55.68,76.53,55.13,0,0.97,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1017.16,NA,2016-04-05
"66",0.02,9.2,201,4.6,0.62,52.14,83.25,51.68,0,0.93,"NA","NA","clear-day","Clear throughout the day.",1021.71,NA,2016-04-04
"67",0,10,274,4.05,0.54,42.68,77.91,45.91,0,0.9,"NA","NA","clear-day","Clear throughout the day.",1021.68,NA,2016-04-03
"68",0,9.98,270,2.12,0.56,39.12,74.67,42.27,0,0.86,"NA","NA","clear-day","Clear throughout the day.",1022,NA,2016-04-02
"69",0,10,329,8.47,0.47,37.7,69.5,49.03,0,0.83,"NA","NA","clear-day","Clear throughout the day.",1018.67,NA,2016-04-01
"70",0.24,7.88,7,6.06,0.76,56.78,74.25,58.01,0.0091,0.79,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1010.3,NA,2016-03-31
"71",NA,8.83,180,14.1,0.79,69.17,79.94,72.63,0.0038,0.76,"NA","NA","clear-day","Clear throughout the day.",1007.01,NA,2016-03-30
"72",0.23,9.54,132,11.37,0.82,65.29,77.34,62.68,0,0.72,"NA","NA","clear-day","Clear throughout the day.",1013.34,NA,2016-03-29
"73",0.14,10,84,7.79,0.65,52.74,74.7,57.15,5e-04,0.69,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1017.38,NA,2016-03-28
"74",0.12,8.12,340,3.42,0.73,57.99,78.4,61.35,0,0.66,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1017.83,NA,2016-03-27
"75",NA,7.45,120,5.03,0.91,65.08,69.84,64.12,0.0283,0.63,"NA","NA","rain","Heavy rain in the morning and afternoon.",1015.28,NA,2016-03-26
"76",0.07,10,76,3.15,0.68,52.04,76.98,49.23,0,0.6,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1014.04,NA,2016-03-25
"77",0.01,10,354,3.81,0.59,43.45,71.16,46.19,0,0.57,"NA","NA","clear-day","Clear throughout the day.",1013.58,NA,2016-03-24
"78",0.13,9.81,236,3.11,0.74,59.25,76.69,58.05,3e-04,0.54,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1010.87,NA,2016-03-23
"79",0.25,10,156,10.67,0.66,54.24,74.22,55.5,0,0.51,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1016.9,NA,2016-03-22
"80",0.09,9.93,182,8.6,0.64,42.3,68.26,37.97,0,0.48,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1024.44,NA,2016-03-21
"81",0,9.97,342,1.76,0.52,30.25,61.68,35.02,0,0.45,"NA","NA","clear-day","Clear throughout the day.",1028.99,NA,2016-03-20
"82",0,10,339,9.02,0.49,31.75,59.45,44.31,0,0.42,"NA","NA","clear-day","Clear throughout the day.",1023.09,NA,2016-03-19
"83",0.23,8.78,354,8.69,0.79,53.08,64.54,52.56,3e-04,0.38,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1014.65,NA,2016-03-18
"84",0.22,9.57,87,4.18,0.87,60.22,69.45,57.31,0.0049,0.35,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1011.08,NA,2016-03-17
"85",0.14,8.13,140,2.23,0.82,63.16,81.68,58.01,1e-04,0.32,"NA","NA","fog","Foggy in the morning.",1013.3,NA,2016-03-16
"86",0.21,8.08,180,3,0.77,64.38,79.51,64.81,0,0.28,"NA","NA","fog","Foggy in the morning.",1014.7,NA,2016-03-15
"87",0.21,9.75,193,12.02,0.74,62.8,80.63,64.28,0,0.25,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1012,NA,2016-03-14
"88",0.1,10,206,9.95,0.72,62.05,82.58,65.68,0,0.21,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1011.16,NA,2016-03-13
"89",0.21,9.15,193,8.89,0.76,59.92,77.72,60.62,0,0.18,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1011.32,NA,2016-03-12
"90",0.2,7.53,151,3.82,0.91,62.84,69.86,60.55,0.014,0.14,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1014.11,NA,2016-03-11
"91",0.23,8.3,64,5.9,0.9,62.71,68.8,62.67,0.0773,0.1,"NA","NA","rain","Heavy rain until afternoon.",1016.52,NA,2016-03-10
"92",NA,6.56,135,9.66,0.89,68.33,75.28,68.99,0.1025,0.06,"NA","NA","rain","Heavy rain throughout the day and breezy in the morning.",1011.76,NA,2016-03-09
"93",NA,8.93,134,15.01,0.78,65.87,77.33,68.3,0.0025,0.02,"NA","NA","rain","Light rain in the morning and overnight.",1011.34,NA,2016-03-08
"94",0.31,9.64,115,12.58,0.79,62.04,77.42,64.85,0.0068,0.99,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1014.8,NA,2016-03-07
"95",0.22,9.98,135,9.65,0.68,53.39,77.03,54.58,0,0.95,"NA","NA","partly-cloudy-night","Partly cloudy starting in the afternoon.",1018.67,NA,2016-03-06
"96",0,9.95,115,6.12,0.59,44.78,75.52,48.57,0,0.91,"NA","NA","clear-day","Clear throughout the day.",1022.34,NA,2016-03-05
"97",0,9.81,339,3.01,0.64,45.75,76.43,45.3,0,0.88,"NA","NA","clear-day","Clear throughout the day.",1021.45,NA,2016-03-04
"98",0,9.83,15,3.04,0.67,46.58,71.5,47.46,0,0.84,"NA","NA","clear-day","Clear throughout the day.",1019.83,NA,2016-03-03
"99",0.12,9.79,197,5.36,0.73,56.24,73.39,57.62,5e-04,0.81,"NA","NA","partly-cloudy-night","Partly cloudy in the evening.",1014.12,NA,2016-03-02
"100",0.04,10,72,4.01,0.53,39.81,69.64,49.3,0,0.78,"NA","NA","clear-day","Clear throughout the day.",1021.02,NA,2016-03-01
"101",0.21,7.96,217,5.65,0.82,60.16,77.56,59.12,0.0018,0.75,"NA","NA","rain","Light rain in the evening.",1017.14,NA,2016-02-29
"102",0.14,8.57,190,3.55,0.72,52.14,74.81,50.35,0,0.71,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1019.52,NA,2016-02-28
"103",0.11,9.67,171,6.55,0.7,45.16,68.39,37.58,0,0.68,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1021.68,NA,2016-02-27
"104",0,9.95,190,4.02,0.56,32.04,65.78,34.59,0,0.65,"NA","NA","clear-day","Clear throughout the day.",1026.05,NA,2016-02-26
"105",0,10,338,3.21,0.55,30.82,58.68,36.44,0,0.62,"NA","NA","clear-day","Clear throughout the day.",1028.6,NA,2016-02-25
"106",0,10,283,7.3,0.47,31.58,68.73,39.06,0,0.59,"NA","NA","clear-day","Clear throughout the day.",1023.04,NA,2016-02-24
"107",0.15,9.91,284,14.57,0.6,36.93,59.53,45.41,0,0.56,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1012.91,NA,2016-02-23
"108",0.25,5.97,196,4.74,0.9,59.83,70.16,55.68,0.0317,0.53,"NA","NA","rain","Heavy rain starting in the afternoon, continuing until evening, and breezy starting in the evening.",1003.04,NA,2016-02-22
"109",0.3,6.65,169,2.77,0.92,62.35,68.69,61.1,0.0191,0.51,"NA","NA","rain","Rain until evening.",1011.9,NA,2016-02-21
"110",0.11,8.92,176,4.33,0.79,59.89,75.34,60.83,0,0.47,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1018.25,NA,2016-02-20
"111",0.15,9.33,159,5.55,0.76,57.42,76.83,54.7,0,0.44,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1021.43,NA,2016-02-19
"112",0.06,8.6,157,7.02,0.74,52.72,75.55,47.22,0,0.41,"NA","NA","clear-day","Clear throughout the day.",1024.1,NA,2016-02-18
"113",0,10,114,6.71,0.62,42.19,73.29,41.68,0,0.37,"NA","NA","clear-day","Clear throughout the day.",1026.32,NA,2016-02-17
"114",0,10,14,4.2,0.55,38.4,69,46.9,0,0.34,"NA","NA","clear-day","Clear throughout the day.",1022.78,NA,2016-02-16
"115",0.03,6.4,230,5.1,0.71,45.5,71.77,42.34,2e-04,0.3,"NA","NA","fog","Foggy in the morning.",1014.18,NA,2016-02-15
