"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.17,10,311,6.63,0.4,45.04,85.66,58.25,0,0.17,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1007.52,322.67,2016-06-08
"2",0.12,8.85,242,1.63,0.33,46.27,94.77,67.11,3e-04,0.13,"NA","NA","clear-day","Clear throughout the day.",1005.39,303.35,2016-06-07
"3",0.08,8.63,347,1.32,0.35,49.3,94.21,65.75,5e-04,0.1,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1007.17,308.79,2016-06-06
"4",0.13,8.21,349,1.22,0.36,51.4,93.08,69.05,7e-04,0.06,"NA","NA","clear-day","Clear throughout the day.",1007.27,319.44,2016-06-05
"5",0.5,9.99,19,1.28,0.4,50.99,94.11,60.58,2e-04,0.03,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1010.82,311.55,2016-06-04
"6",0.06,10,302,1.11,0.44,49.86,90,57.71,0,0.98,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1017.8,311.11,2016-06-03
"7",0.31,10,322,5.18,0.43,46.7,84.41,55.1,0,0.95,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1020.14,306.81,2016-06-02
"8",0.64,10,319,4.65,0.35,40.57,79.74,59.61,0,0.91,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1013.99,327.62,2016-06-01
"9",0.38,10,133,3.51,0.34,36.86,86.68,49.68,3e-04,0.88,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1011.66,335.75,2016-05-31
"10",0.06,10,311,2.93,0.39,34.38,77.34,45.94,0,0.84,"NA","NA","clear-day","Clear throughout the day.",1016.53,341.11,2016-05-30
"11",0.16,10,312,7.78,0.44,38.02,73.15,46.97,0,0.8,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1017.37,347.88,2016-05-29
