"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.26,10,292,8.83,0.56,45.12,71.82,52.16,0,0.2,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1011.86,370.56,2016-06-08
"2",0.24,10,274,14.4,0.53,42.61,70.99,52.47,0,0.16,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1005.22,379.42,2016-06-07
"3",0.32,9.56,271,9.63,0.64,50.32,70.92,56.89,0.0063,0.13,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",999.14,366.96,2016-06-06
"4",0.59,8.62,204,4.63,0.73,62.12,82.32,63.26,0.0054,0.1,"NA","NA","rain","Light rain starting in the evening.",999.6,324.38,2016-06-05
"5",0.28,10,221,6.89,0.72,61.6,80.72,64.65,0.0035,0.06,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1002.79,323.68,2016-06-04
"6",0.93,5.28,147,6.22,0.92,62.42,66.66,62.37,0.0186,0.03,"NA","NA","rain","Rain throughout the day.",1010.76,313.54,2016-06-03
"7",0.61,8.34,135,1.53,0.8,62.43,78,61.96,0,0.98,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1015.14,323.73,2016-06-02
"8",0.85,6.62,153,2.73,0.85,59.02,70.86,58.14,0,0.95,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1017.9,317.63,2016-06-01
"9",0.6,6.73,60,5.94,0.86,55.12,66.3,54.51,0,0.91,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1022.1,326.46,2016-05-31
"10",0.22,9.44,31,5.86,0.71,55.21,70.6,56.91,0,0.87,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1019.7,327.64,2016-05-30
"11",0.39,10,229,7.35,0.67,61.27,82.45,67.5,0.0022,0.83,"NA","NA","rain","Drizzle in the morning.",1012.73,321.81,2016-05-29
"12",0.77,8.12,185,3.72,0.91,59.77,71.73,54.06,0.0134,0.8,"NA","NA","rain","Rain until afternoon.",1015.7,296.29,2016-05-28
"13",0.63,8.99,16,5.04,0.84,56.78,73.67,54.15,9e-04,0.76,"NA","NA","rain","Light rain overnight.",1021.42,308.7,2016-05-27
"14",0.31,9.49,207,6.8,0.67,64.43,88.43,64.71,0.0019,0.72,"NA","NA","rain","Light rain in the evening.",1018.29,318.13,2016-05-26
"15",0.25,9.22,157,4.14,0.73,59.6,76.87,59.6,0,0.69,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1018.57,326.41,2016-05-25
"16",0.17,9.82,166,0.64,0.62,56.95,77.45,63.69,0,0.65,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1017.89,NA,2016-05-24
"17",0.25,9.24,259,4.25,0.68,53.14,84.27,52,0,0.62,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1015.14,NA,2016-05-23
"18",0.92,6.81,38,9.39,0.93,51.7,58.53,51.63,0.0069,0.59,"NA","NA","rain","Rain in the morning.",1013.14,NA,2016-05-22
"19",0.3,9.37,76,3.02,0.66,48.5,71.7,50.8,0,0.56,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1012.62,NA,2016-05-21
"20",0.44,9.85,53,6.17,0.77,49.42,61.04,51.54,0,0.53,"NA","NA","partly-cloudy-day","Mostly cloudy in the morning.",1010.84,NA,2016-05-20
"21",0.22,9.35,206,8.25,0.56,44.49,71.87,52.41,0,0.48,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1018.71,NA,2016-05-19
"22",0.19,8.82,253,2.39,0.67,46.83,68.85,48.26,0.0075,0.46,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1021.67,NA,2016-05-18
"23",0.45,9.98,82,3.01,0.63,42.1,60.79,49.53,3e-04,0.43,"NA","NA","rain","Rain overnight.",1019.36,NA,2016-05-17
"24",0.23,10,80,5.15,0.56,39.89,59.1,50.21,0,0.4,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1019.8,NA,2016-05-16
"25",0.22,10,255,11.48,0.46,37.55,68.06,48.24,0,0.37,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1018.33,NA,2016-05-15
"26",0.22,10,272,18.79,0.43,26.75,56.71,40.53,0,0.34,"NA","NA","wind","Breezy and partly cloudy until evening.",1011.63,NA,2016-05-14
"27",0.41,10,264,17.35,0.54,35.77,58.99,44.91,0,0.31,"NA","NA","wind","Partly cloudy in the morning and breezy throughout the day.",1002.71,NA,2016-05-13
"28",0.13,9.49,231,7.44,0.67,51.71,74.87,55.45,0.001,0.28,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1004.54,NA,2016-05-12
"29",0.45,9.51,187,8.74,0.8,53.83,71.5,51.5,0.0036,0.25,"NA","NA","rain","Light rain starting in the evening.",1011.35,NA,2016-05-11
"30",0.05,9.96,73,4.51,0.44,38.26,70.54,52.35,0,0.21,"NA","NA","clear-day","Clear throughout the day.",1019.35,NA,2016-05-10
"31",0.04,10,308,1.8,0.46,38.49,69.11,50.37,0,0.18,"NA","NA","clear-day","Clear throughout the day.",1019.56,NA,2016-05-09
"32",0.09,10,263,7.71,0.42,32.33,68.07,42.05,0,0.15,"NA","NA","clear-day","Clear throughout the day.",1019.92,NA,2016-05-08
