"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.3,10,213,3.12,0.65,58.68,87.7,58.01,0,0.2,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1018.34,327.59,2016-06-09
"2",0.15,9.77,271,3.29,0.58,49.66,82.47,53.41,0,0.16,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1017.58,337.94,2016-06-08
"3",0.22,9.88,291,5.2,0.61,47.81,72.53,55.23,0,0.13,"NA","NA","partly-cloudy-day","Mostly cloudy in the morning.",1013.64,343.46,2016-06-07
"4",0.22,10,275,6.44,0.66,57.66,78.25,62.76,0.0026,0.1,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1006.15,345.1,2016-06-06
"5",0.3,10,223,7.03,0.7,61.78,82.5,63.43,7e-04,0.06,"NA","NA","partly-cloudy-day","Mostly cloudy starting in the evening.",1008.65,314.76,2016-06-05
"6",0.93,7.23,212,7.05,0.86,66.63,76.84,67.93,0.0286,0.03,"NA","NA","rain","Rain throughout the day.",1008.06,311.41,2016-06-04
"7",0.69,7.49,185,2.39,0.81,67.24,83.38,65.97,0.0092,0.98,"NA","NA","rain","Light rain until afternoon, starting again in the evening.",1013.54,304.73,2016-06-03
"8",0.7,7.57,242,2.03,0.81,67.42,82.66,66.36,0.0213,0.95,"NA","NA","rain","Rain until evening.",1016.64,312.52,2016-06-02
"9",0.75,8.88,228,2.83,0.79,67.11,81.34,67.94,0.0137,0.91,"NA","NA","rain","Rain until evening, starting again overnight.",1016.52,312.84,2016-06-01
"10",0.21,9.02,151,2.7,0.68,63.41,88.68,61.92,0.0057,0.87,"NA","NA","rain","Light rain starting in the afternoon.",1015.04,330.42,2016-05-31
"11",0.31,9.45,39,2.37,0.68,60.12,86.93,59.24,2e-04,0.83,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1014.97,326.68,2016-05-30
"12",0.17,9.05,318,1.06,0.76,63.46,83.33,61.14,0.0015,0.8,"NA","NA","rain","Drizzle in the evening.",1015.79,328.56,2016-05-29
"13",0.67,9.64,145,1.97,0.78,64.11,80.9,63.04,0.0016,0.76,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1018.89,314.85,2016-05-28
"14",0.24,9.59,176,3.13,0.72,65.13,85.87,64.23,0,0.72,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1018.99,320.64,2016-05-27
"15",0.16,9.13,175,3.19,0.7,63.57,87.98,61.71,0.0041,0.69,"NA","NA","rain","Light rain in the afternoon and evening.",1017.38,312.53,2016-05-26
"16",0.3,9.14,208,4.64,0.76,62.34,77.27,63.42,0.0023,0.65,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1018.8,NA,2016-05-25
"17",0.21,9.66,192,3.52,0.67,54.91,83.23,51.05,2e-04,0.62,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1020.62,NA,2016-05-24
"18",0.22,8.07,249,2.2,0.66,51.18,80.5,50.65,0,0.59,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1018.75,NA,2016-05-23
"19",0.28,6.21,352,2.18,0.77,51.45,73.21,50.56,0,0.56,"NA","NA","fog","Foggy in the morning.",1016.36,NA,2016-05-22
"20",0.38,9.07,325,3.66,0.74,50.06,70.42,53.35,0.0052,0.53,"NA","NA","rain","Rain in the evening.",1014.14,NA,2016-05-21
"21",0.77,7.45,264,3.36,0.87,57.04,69.49,56.8,0.0078,0.48,"NA","NA","rain","Rain in the afternoon.",1013.69,NA,2016-05-20
"22",0.34,8.36,116,6.12,0.73,48.98,72.88,45.63,0.0172,0.46,"NA","NA","rain","Heavy rain starting in the evening.",1019.5,NA,2016-05-19
"23",0.34,6.28,33,4.43,0.72,45.61,69.73,45.91,0,0.43,"NA","NA","fog","Foggy in the morning.",1021.01,NA,2016-05-18
"24",0.63,7.21,20,3.69,0.88,49.34,55.34,49.31,0.0139,0.4,"NA","NA","rain","Rain in the morning.",1018.53,NA,2016-05-17
"25",1,8.81,52,3.45,0.81,46.36,54.56,48.75,0.0067,0.37,"NA","NA","rain","Rain in the morning.",1021.82,NA,2016-05-16
"26",0.19,10,290,1.9,0.53,32.25,62.4,36.58,0,0.34,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1023.89,NA,2016-05-15
"27",0.58,10,276,7.82,0.55,32.99,58.19,43.28,0,0.31,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1018.48,NA,2016-05-14
"28",0.4,9.26,266,5.23,0.77,44.99,59.6,44.8,0.0042,0.28,"NA","NA","rain","Light rain in the morning and afternoon.",1012.47,NA,2016-05-13
"29",0.4,9.02,272,7.35,0.68,52.55,70.62,56.33,0.002,0.25,"NA","NA","rain","Light rain in the morning.",1014.28,NA,2016-05-12
"30",0.35,8.92,215,5.22,0.73,60.46,81.45,62.18,0.0115,0.21,"NA","NA","rain","Heavy rain in the morning and evening.",1016,NA,2016-05-11
"31",0.36,9.06,218,3.11,0.76,59.37,79.32,58.72,0.0116,0.18,"NA","NA","rain","Rain in the morning.",1018.01,NA,2016-05-10
"32",0.34,8.12,194,2.31,0.68,54.74,79.24,56.88,0.0043,0.15,"NA","NA","rain","Rain starting in the evening.",1017.92,NA,2016-05-09
"33",0.41,9.12,51,2.32,0.79,52.01,67.28,51.67,4e-04,0.11,"NA","NA","partly-cloudy-day","Mostly cloudy starting in the afternoon, continuing until evening.",1017.23,NA,2016-05-08
"34",0.43,9.71,270,6.44,0.64,47.74,67.23,55.39,0.0029,0.07,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1012.49,NA,2016-05-07
"35",0.25,9.98,237,5.89,0.63,46.87,71,43.95,0,0.04,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1008.05,NA,2016-05-06
"36",0.39,9.66,313,7.41,0.63,42.87,66.2,47.9,8e-04,0.01,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1009.82,NA,2016-05-05
"37",0.8,7.65,293,4.97,0.83,43.41,50.57,44.79,0.0104,0.96,"NA","NA","rain","Light rain in the afternoon.",1006.84,NA,2016-05-04
"38",0.75,7.93,247,5,0.77,47.54,64.03,50.41,0.0057,0.92,"NA","NA","rain","Rain in the evening and overnight.",1006.26,NA,2016-05-03
"39",0.94,8.55,286,4.11,0.85,54.58,62.06,54.63,0.0031,0.88,"NA","NA","rain","Light rain in the morning and afternoon.",1010.56,NA,2016-05-02
"40",0.46,8.78,221,6,0.82,58.64,77.42,57.41,0.0098,0.85,"NA","NA","rain","Rain in the morning and afternoon.",1012.92,NA,2016-05-01
"41",0.51,7.62,188,5.31,0.81,59.14,77.57,59.63,0.0399,0.81,"NA","NA","rain","Heavy rain in the morning and evening.",1014.09,NA,2016-04-30
"42",0.5,8.91,78,3.42,0.81,53.47,64.16,54.04,0.0057,0.77,"NA","NA","rain","Rain starting in the afternoon.",1016.63,NA,2016-04-29
"43",0.22,8.88,287,5.25,0.69,53.18,75.36,58.4,1e-04,0.74,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1014.6,NA,2016-04-28
"44",0.37,8.04,233,4.86,0.76,59.21,77.05,61.29,0.0014,0.7,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1009.93,NA,2016-04-27
"45",0.7,6.96,208,1.03,0.86,60.32,73.48,60.36,0.0244,0.67,"NA","NA","rain","Rain in the morning and evening.",1009.92,NA,2016-04-26
"46",0.38,9.43,231,6.25,0.56,53.35,82.46,62.65,0.0333,0.64,"NA","NA","rain","Heavy rain starting in the evening.",1009.02,NA,2016-04-25
"47",0.18,10,223,5.73,0.52,45.45,83.21,47.04,0,0.61,"NA","NA","partly-cloudy-night","Partly cloudy starting in the afternoon.",1013.17,NA,2016-04-24
"48",0.13,7.78,295,1.18,0.6,40.46,77.59,39.19,0,0.58,"NA","NA","fog","Foggy in the morning.",1017.62,NA,2016-04-23
"49",0.43,7.04,320,5.53,0.76,47.63,63.81,50.52,4e-04,0.55,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1016.35,NA,2016-04-22
"50",0.54,9.04,213,4.56,0.74,53.41,69.37,54.64,0.0115,0.52,"NA","NA","rain","Rain in the morning and evening.",1012.53,NA,2016-04-21
"51",0.29,9.99,185,6.78,0.32,39.28,80.37,64.81,0,0.48,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1014.5,NA,2016-04-20
"52",0.23,10,92,2.94,0.39,41.18,84.88,53.01,0,0.45,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1018.54,NA,2016-04-19
"53",0.2,9.83,335,3.24,0.4,40.27,83.2,51.49,0,0.42,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1020.36,NA,2016-04-18
"54",0.07,10,326,3.77,0.38,36.73,85.41,47.72,0,0.39,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1024.7,NA,2016-04-17
"55",0,9.96,88,2.12,0.37,33.09,82.35,42.95,0,0.36,"NA","NA","clear-day","Dry throughout the day.",1027.35,NA,2016-04-16
"56",0,10,82,3.39,0.31,29.41,76.39,45.45,0,0.33,"NA","NA","clear-day","Clear throughout the day.",1026.13,NA,2016-04-15
"57",0.13,10,132,6.64,0.33,31.33,74.32,50.44,0,0.3,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1022.69,NA,2016-04-14
"58",0.11,10,63,2.93,0.41,28.2,72.61,36.6,0,0.26,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1021.55,NA,2016-04-13
"59",0.09,10,29,4.99,0.46,26.65,67.53,31.38,0,0.23,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1024.81,NA,2016-04-12
"60",0.23,8.46,321,6.53,0.55,32.8,58.73,43.89,0.0077,0.2,"NA","NA","rain","Light rain in the morning.",1021.88,NA,2016-04-11
"61",0.55,9.88,208,12.08,0.35,35.81,76.52,55.88,0.001,0.16,"NA","NA","rain","Rain overnight.",1014.86,NA,2016-04-10
"62",0.35,9.93,151,4.95,0.56,24.55,62.26,23.76,0,0.12,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1023.67,NA,2016-04-09
"63",0.57,7.59,283,9.92,0.69,23.93,37.45,29.92,0.0046,0.09,"NA","NA","rain","Drizzle in the evening.",1017.29,NA,2016-04-08
"64",0.71,9.61,258,9.14,0.62,27.75,45.86,34.53,0.0024,0.05,"NA","NA","rain","Light rain overnight.",1010.49,NA,2016-04-07
"65",0.89,9.15,248,10.44,0.72,37.82,56.7,39.24,0.0114,0.01,"NA","NA","rain","Rain in the afternoon and overnight.",1003.52,NA,2016-04-06
"66",0.19,9.97,168,9.87,0.41,21.62,68.9,27.62,5e-04,0.97,"NA","NA","wind","Partly cloudy until afternoon and breezy overnight.",1015.7,NA,2016-04-05
"67",0.13,10,347,6.51,0.43,14.69,45.05,27.72,0,0.93,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1027.99,NA,2016-04-04
"68",0.25,9.96,259,9.48,0.45,33.17,66.39,39.11,0.0018,0.9,"NA","NA","rain","Light rain in the afternoon.",1013.65,NA,2016-04-03
"69",0.16,10,259,8.2,0.4,18.46,56.63,30.7,0,0.86,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1017.49,NA,2016-04-02
"70",0.43,9.62,281,12.64,0.44,28.91,57.36,38,0.002,0.82,"NA","NA","wind","Partly cloudy throughout the day and breezy starting in the afternoon.",1005.83,NA,2016-04-01
"71",0.44,9.96,236,9.04,0.54,46.66,68.98,60.12,5e-04,0.79,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1004.81,NA,2016-03-31
"72",0.32,10,185,11.48,0.41,42.7,76.1,60.51,0,0.75,"NA","NA","wind","Breezy in the afternoon and partly cloudy in the evening.",1007.65,NA,2016-03-30
"73",0.14,10,158,8.15,0.46,29.78,75.12,32.7,0,0.72,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1019.57,NA,2016-03-29
"74",0.28,10,337,6.01,0.49,30.23,58.83,43.52,0,0.69,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1022.88,NA,2016-03-28
"75",0.89,9.66,273,9.52,0.62,40.74,65.15,48.75,0.0119,0.66,"NA","NA","partly-cloudy-night","Mostly cloudy overnight.",1013.97,NA,2016-03-27
"76",0.29,9.96,155,5.85,0.62,46.95,76.2,45.76,0,0.63,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1017.03,NA,2016-03-26
"77",0.27,9.96,45,3.12,0.57,37.59,69.88,41.77,0,0.6,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1020.95,NA,2016-03-25
"78",0.97,9.68,301,5.49,0.76,42.36,62.08,44.52,0.0034,0.57,"NA","NA","rain","Light rain in the morning.",1012.74,NA,2016-03-24
"79",0.3,9.8,194,9.97,0.52,41.63,79.15,45.62,0.0032,0.54,"NA","NA","rain","Breezy in the afternoon and light rain in the evening and overnight.",1010.12,NA,2016-03-23
"80",0.2,10,222,8.24,0.29,27.18,73.83,44.68,0,0.51,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1015.44,NA,2016-03-22
"81",0.21,10,210,9.02,0.4,22.26,67.41,32.28,0,0.48,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1019.33,NA,2016-03-21
"82",0.22,9.7,282,7.69,0.53,21.71,50.46,28.14,0,0.45,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1020.13,NA,2016-03-20
"83",0.46,9.67,324,4.58,0.68,29.08,44.7,35.86,0,0.42,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1016.74,NA,2016-03-19
"84",0.81,9.13,27,6.46,0.7,32.12,48.6,37.9,0.0034,0.38,"NA","NA","rain","Rain in the morning.",1016.48,NA,2016-03-18
"85",0.15,10,291,5.43,0.43,25.31,63.71,34.82,0,0.35,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1015.6,NA,2016-03-17
"86",0.27,10,266,7.36,0.38,28.44,62.88,47.53,0,0.32,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1013.36,NA,2016-03-16
