"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.42,9.98,258,2.25,0.41,46.63,90.61,58.18,4e-04,0.17,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1008.72,314.6,2016-06-08
"2",0.51,5.62,253,1.14,0.45,47.04,83.76,57.63,0.0019,0.13,"NA","NA","rain","Light rain in the afternoon.",1009.4,323.75,2016-06-07
"3",0.53,4.77,252,0.65,0.57,50.86,80.95,55.96,0.0013,0.1,"NA","NA","rain","Drizzle in the afternoon.",1011.72,310.94,2016-06-06
"4",0.38,2.86,108,1.27,0.55,50.55,83.06,58.43,0.0159,0.06,"NA","NA","rain","Rain starting in the afternoon.",1013.83,303.54,2016-06-05
"5",0.13,9.77,54,1.82,0.48,46.28,80.63,53.75,0.0042,0.03,"NA","NA","rain","Light rain starting in the evening.",1015.64,308.67,2016-06-04
"6",0.14,10,48,2.96,0.55,48.91,76.13,56.87,0,0.98,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1020.5,305.88,2016-06-03
"7",0.34,10,61,1.65,0.41,42.96,77.06,57.16,2e-04,0.95,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1016.24,318.56,2016-06-02
"8",0.05,9.43,151,1.1,0.48,42.2,78.76,50.79,4e-04,0.91,"NA","NA","clear-day","Clear throughout the day.",1014.86,333.72,2016-06-01
"9",0.34,8.13,115,2.41,0.73,48.34,70.18,47.95,0.0098,0.88,"NA","NA","rain","Light rain in the morning and afternoon.",1016.02,327.67,2016-05-31
"10",0.4,9.63,47,3.55,0.7,45.49,64.56,46.51,0.0095,0.84,"NA","NA","rain","Rain starting in the afternoon.",1015.69,330.09,2016-05-30
