"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.46,9.8,195,11.24,0.63,64.52,93.67,66.21,0.0045,0.17,"NA","NA","rain","Light rain in the morning.",1010,320.78,2016-06-08
"2",0.33,9.37,158,6.74,0.6,56.87,84.48,58.18,4e-04,0.13,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1013.3,327.7,2016-06-07
"3",0.1,9.18,335,2.89,0.57,50.67,77.05,57.98,0,0.1,"NA","NA","clear-day","Clear throughout the day.",1013.69,338.73,2016-06-06
"4",0.02,8.07,308,7.95,0.49,50.8,82.68,60.93,2e-04,0.06,"NA","NA","clear-day","Clear throughout the day.",1008.94,331.65,2016-06-05
"5",0.05,8.99,293,10.01,0.6,56.75,85.8,58.86,3e-04,0.03,"NA","NA","clear-day","Clear throughout the day.",1009.52,320.26,2016-06-04
"6",0.21,9.91,290,8.02,0.74,61.07,80.25,60.9,0.0047,0.98,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1010.23,351.77,2016-06-03
"7",0.08,9.4,185,9.53,0.61,59.76,86.19,62.77,0.0068,0.95,"NA","NA","rain","Light rain starting in the evening.",1013.94,338.66,2016-06-02
"8",0.03,9.43,237,1.5,0.63,55.38,82.17,55.46,0,0.91,"NA","NA","clear-day","Clear throughout the day.",1017.05,337.2,2016-06-01
"9",0.15,8.18,276,5.55,0.69,55.34,77.1,58.16,0,0.87,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1014.61,345.31,2016-05-31
"10",0.35,9.11,187,4.68,0.82,62.86,77.69,62.7,0.0112,0.84,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1012.37,327.61,2016-05-30
"11",0.22,9.69,179,5.42,0.7,62.96,85.39,62.67,0.0025,0.8,"NA","NA","rain","Drizzle in the evening and overnight.",1014.3,339.81,2016-05-29
"12",0.06,9.98,259,6.49,0.7,58.99,81.86,58.11,0.0015,0.76,"NA","NA","rain","Drizzle in the evening.",1015.78,351.38,2016-05-28
"13",0.46,9.04,202,6.91,0.83,61.95,72.49,61.97,0.0128,0.73,"NA","NA","rain","Light rain until afternoon, starting again in the evening.",1008.21,344.6,2016-05-27
"14",0.69,8.41,161,2.06,0.85,62.92,75.32,62.14,0.0099,0.69,"NA","NA","rain","Light rain in the morning and evening.",1007.35,309.11,2016-05-26
"15",0.41,9.19,186,4.57,0.81,63.37,80.69,62.59,0.0277,0.65,"NA","NA","rain","Rain in the morning and evening.",1010.76,312.96,2016-05-25
"16",0.32,9.45,176,5.87,0.8,64.39,79.6,65.16,0.0107,0.62,"NA","NA","rain","Rain in the morning and evening.",1010.82,NA,2016-05-24
"17",0.26,9.46,191,4.11,0.74,62.03,82.74,63.33,0.0035,0.59,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1011.69,NA,2016-05-23
"18",0.2,10,176,9.75,0.63,55.26,77.78,60.84,0,0.56,"NA","NA","rain","Breezy in the afternoon and rain overnight.",1011.03,NA,2016-05-22
"19",0.14,9.97,165,8.86,0.5,44.92,81.31,48.21,0,0.53,"NA","NA","clear-day","Clear throughout the day.",1017.12,NA,2016-05-21
"20",0.14,9.98,87,0.86,0.53,43.25,75.32,47.31,0,0.48,"NA","NA","clear-day","Clear throughout the day.",1021.09,NA,2016-05-20
"21",0.17,10,162,6.24,0.56,45.28,69.73,55.48,0,0.46,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1018.8,NA,2016-05-19
"22",0.12,9.9,168,6.7,0.52,40.05,71.1,46.32,0,0.43,"NA","NA","clear-day","Clear throughout the day.",1019.97,NA,2016-05-18
"23",0.19,9.28,147,3.16,0.66,43.57,66.78,42.76,0,0.4,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1023.48,NA,2016-05-17
"24",0.23,7.96,112,1.05,0.77,46.44,65.14,42.27,0.0031,0.37,"NA","NA","rain","Light rain in the afternoon.",1022.79,NA,2016-05-16
"25",0.13,10,209,6.53,0.67,43.23,61.63,49.36,0,0.34,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1020.05,NA,2016-05-15
"26",0.23,9.99,275,5.03,0.53,34.82,65.52,39.51,0,0.31,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1020.73,NA,2016-05-14
"27",0.29,10,322,14.8,0.5,29.52,56.97,38.97,0,0.28,"NA","NA","wind","Partly cloudy until evening and breezy starting in the afternoon, continuing until evening.",1021.88,NA,2016-05-13
"28",0.22,9.52,321,4.78,0.73,42.83,68.16,45.08,0.0064,0.25,"NA","NA","rain","Rain in the afternoon and breezy starting in the afternoon, continuing until evening.",1017.55,NA,2016-05-12
"29",0.17,9.58,304,11.76,0.66,45.35,64.05,49.88,0,0.22,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1018.49,NA,2016-05-11
"30",0.47,6.4,63,3.4,0.89,57.66,69.5,56.33,0.0051,0.18,"NA","NA","rain","Light rain in the morning and evening.",1014.35,NA,2016-05-10
"31",0.39,7.76,99,5.86,0.8,58.9,74.82,59.72,1e-04,0.15,"NA","NA","fog","Foggy in the morning.",1008.49,NA,2016-05-09
"32",0.5,7.87,116,11.3,0.87,56.83,64.11,57.16,0.0131,0.11,"NA","NA","rain","Rain in the morning.",1005.83,NA,2016-05-08
"33",0.32,9.86,111,8.57,0.43,39.17,68.51,56.22,3e-04,0.07,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1011.08,NA,2016-05-07
"34",0.19,7.85,348,5.52,0.46,42.77,69.03,57.79,2e-04,0.04,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1011.58,NA,2016-05-06
"35",0.1,10,237,9.49,0.45,43.59,85.26,50.19,0,0.01,"NA","NA","clear-day","Clear throughout the day.",1013.49,NA,2016-05-05
"36",0.12,10,267,0.52,0.47,35.1,71.41,41.94,0,0.96,"NA","NA","clear-day","Clear throughout the day.",1016.97,NA,2016-05-04
"37",0.13,10,346,12.57,0.43,35.02,67.02,48.81,0,0.92,"NA","NA","clear-day","Clear throughout the day.",1012.52,NA,2016-05-03
"38",0.21,9.56,269,8.49,0.62,41.81,68.24,42.34,0,0.88,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1014.51,NA,2016-05-02
"39",0.2,9.1,18,3.5,0.71,42.18,62.77,40,0,0.85,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1019.05,NA,2016-05-01
"40",NA,7.39,40,8.61,0.92,44.36,49.21,44.81,0.003,0.81,"NA","NA","rain","Light rain in the afternoon.",1016.84,NA,2016-04-30
"41",0.77,4.1,75,13.85,0.91,44.69,50.29,44.81,0.0334,0.77,"NA","NA","rain","Heavy rain until evening.",1010.82,NA,2016-04-29
"42",NA,9.78,42,7.67,0.82,42.44,50.21,45.52,1e-04,0.74,"NA","NA","clear-day","Clear throughout the day.",1018.54,NA,2016-04-28
"43",0.64,9.13,293,3.3,0.85,45.85,56.04,46.66,5e-04,0.7,"NA","NA","clear-day","Clear throughout the day.",1010.33,NA,2016-04-27
"44",NA,6.04,95,13.67,0.9,45.88,54.08,45.29,0.0345,0.67,"NA","NA","rain","Heavy rain in the morning and evening.",1004.34,NA,2016-04-26
"45",0.16,9.73,70,8.11,0.75,50.41,69.97,50.45,0.001,0.64,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1007.28,NA,2016-04-25
"46",0.21,9.99,248,8.55,0.66,52.92,74.15,58.15,0.0032,0.61,"NA","NA","clear-day","Clear throughout the day.",1003.28,NA,2016-04-24
"47",0.13,9.99,172,13.8,0.59,52.01,80.62,56.16,2e-04,0.58,"NA","NA","rain","Breezy starting in the afternoon, continuing until evening, and light rain overnight.",1006.21,NA,2016-04-23
"48",0.19,7.17,160,10.27,0.74,49.13,72.98,43,0,0.55,"NA","NA","fog","Foggy in the morning.",1016.54,NA,2016-04-22
"49",0.27,9.9,353,5.95,0.79,48.3,58.76,50.83,0,0.52,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1018.36,NA,2016-04-21
"50",0.23,9.43,30,1.84,0.8,49.36,65.79,48.11,0.0039,0.48,"NA","NA","rain","Light rain until afternoon.",1009.05,NA,2016-04-20
"51",0.42,6.52,141,4.58,0.84,50.9,63.6,50.88,0.016,0.46,"NA","NA","rain","Rain until afternoon.",1012.55,NA,2016-04-19
"52",0.46,9.03,302,5.05,0.84,50.72,63.75,48.72,3e-04,0.43,"NA","NA","partly-cloudy-day","Mostly cloudy in the afternoon.",1021.14,NA,2016-04-18
"53",0.34,8.86,157,9.13,0.65,52.88,75.41,59.93,0.0034,0.4,"NA","NA","rain","Light rain in the evening and overnight.",1021.54,NA,2016-04-17
"54",0.25,10,150,10.95,0.55,50.68,77.64,57.29,0,0.36,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1023.19,NA,2016-04-16
"55",0.11,10,150,13.63,0.49,46.63,79.17,56.73,0,0.33,"NA","NA","wind","Breezy starting in the afternoon, continuing until evening.",1019.38,NA,2016-04-15
"56",0.19,10,149,12.68,0.49,43.79,75.33,48.28,0,0.3,"NA","NA","wind","Breezy until afternoon and partly cloudy starting in the afternoon, continuing until evening.",1016.2,NA,2016-04-14
"57",0.13,10,154,11.01,0.43,35.41,72.11,46.12,0,0.27,"NA","NA","clear-day","Clear throughout the day.",1018.44,NA,2016-04-13
"58",0.17,9.97,176,10.61,0.4,29.65,71.32,39.42,0,0.23,"NA","NA","clear-day","Clear throughout the day.",1020.08,NA,2016-04-12
"59",0.1,9.98,166,4.29,0.42,19.83,59.16,27.15,0,0.2,"NA","NA","clear-day","Clear throughout the day.",1025.82,NA,2016-04-11
"60",0.12,10,333,13.66,0.4,20.16,51.48,34.88,0,0.16,"NA","NA","clear-day","Clear throughout the day.",1018.92,NA,2016-04-10
"61",0.25,9.98,220,3.09,0.51,35.56,63.76,43.56,6e-04,0.12,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1006.17,NA,2016-04-09
"62",0.14,10,140,7.42,0.43,14.84,48.88,23.19,0,0.09,"NA","NA","wind","Breezy starting in the afternoon, continuing until evening, and partly cloudy starting in the evening.",1020.5,NA,2016-04-08
