"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.12,10,291,7.67,0.59,52.2,76.78,57.91,0,0.2,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1016.88,344.34,2016-06-08
"2",0.02,10,276,10.91,0.54,48.46,78.05,55.06,0,0.16,"NA","NA","clear-day","Clear throughout the day.",1013.6,349.72,2016-06-07
"3",0.09,9.79,282,9.53,0.58,49.9,71.3,58.97,0.0022,0.13,"NA","NA","rain","Light rain in the afternoon.",1007.34,360.41,2016-06-06
"4",0.17,10,256,4.4,0.71,64.87,84.24,69.35,0.0017,0.1,"NA","NA","rain","Light rain in the evening.",1001.87,329.37,2016-06-05
"5",0.39,10,228,6.87,0.76,66.82,82.73,68.83,0.0025,0.06,"NA","NA","partly-cloudy-night","Mostly cloudy starting in the evening.",1006.52,315.8,2016-06-04
"6",0.88,6.56,187,6.59,0.88,69.78,81.56,68.27,0.0257,0.03,"NA","NA","rain","Rain throughout the day.",1008.24,302.38,2016-06-03
"7",0.89,7.95,136,4.42,0.86,66.72,77.83,65.03,4e-04,0.98,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1015.8,307.24,2016-06-02
"8",0.83,5,101,4.94,0.91,66.18,73.4,65.97,0.0019,0.95,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1017.22,313.6,2016-06-01
"9",0.68,6.32,86,6.34,0.91,66.01,74.19,66.14,4e-04,0.91,"NA","NA","fog","Foggy overnight.",1018.73,324.46,2016-05-31
"10",0.47,7.92,109,4.26,0.86,67.96,79.52,66.3,0,0.87,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1017.4,333,2016-05-30
"11",0.47,8.61,135,1.29,0.87,68.7,80.88,66.67,0.0019,0.83,"NA","NA","rain","Light rain in the evening.",1014.48,327.73,2016-05-29
