"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.1,10,284,5.41,0.62,49.98,77.04,49.65,0,0.2,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1017.38,353.03,2016-06-09
"2",0.02,9.98,286,9.38,0.51,44.14,76.82,50.44,0,0.16,"NA","NA","clear-day","Clear throughout the day.",1013.91,359.38,2016-06-08
"3",0.21,9.78,278,7.19,0.64,47.42,65.04,54.63,0.0051,0.13,"NA","NA","rain","Light rain until afternoon.",1008.04,373.44,2016-06-07
"4",0.21,10,278,4.15,0.65,58.33,79.56,63.58,0.0037,0.1,"NA","NA","rain","Light rain in the afternoon.",1002.25,345.01,2016-06-06
"5",0.24,9.95,238,5.33,0.73,63.14,82.95,63.02,0.0031,0.06,"NA","NA","rain","Light rain starting in the afternoon.",1005.46,318.63,2016-06-05
"6",0.86,6.92,177,4.69,0.9,69.04,79.05,66.74,0.0332,0.03,"NA","NA","rain","Heavy rain until evening.",1006.84,312.39,2016-06-04
"7",0.86,7.81,158,2.4,0.88,68.83,80.95,65.24,0.0064,0.98,"NA","NA","rain","Light rain starting in the afternoon.",1014.97,308.79,2016-06-03
"8",0.79,6.35,126,2.15,0.89,68.41,77.12,68.56,0.0165,0.95,"NA","NA","rain","Rain until afternoon, starting again in the evening.",1016.58,315.6,2016-06-02
"9",0.66,8.81,129,3.77,0.79,64.21,79.92,62.45,0.0017,0.91,"NA","NA","rain","Light rain in the evening.",1018.1,318.1,2016-06-01
"10",0.27,9.42,123,2.44,0.67,61.29,86.67,61.31,7e-04,0.87,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1017.06,328.5,2016-05-31
"11",0.33,9.35,331,0.93,0.72,62.49,84.63,62.6,8e-04,0.83,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1014.77,328.63,2016-05-30
"12",0.57,9.55,191,1.88,0.79,64.72,83.57,63.29,0.0095,0.8,"NA","NA","rain","Rain starting in the evening.",1015.5,315.3,2016-05-29
"13",0.42,9.87,164,3.79,0.72,64.82,85.96,64.68,0.0016,0.76,"NA","NA","rain","Light rain starting in the evening.",1019.25,307.82,2016-05-28
"14",0.2,9.7,156,3.7,0.76,68.54,88.03,65.2,4e-04,0.72,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1019.35,320.78,2016-05-27
"15",0.26,9.41,181,3.01,0.73,66.87,87.3,66.72,0.0032,0.69,"NA","NA","rain","Light rain until afternoon.",1017.15,318.95,2016-05-26
"16",0.11,9.59,188,2.78,0.64,59.14,87.01,58.71,3e-04,0.65,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1018.17,NA,2016-05-25
"17",0.01,9.9,253,5.46,0.49,50.7,85.61,56.41,0,0.62,"NA","NA","clear-day","Clear throughout the day.",1018.93,NA,2016-05-24
"18",0.13,9.93,287,7.48,0.53,48.83,83.02,56.26,0,0.59,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1014.3,NA,2016-05-23
"19",0.16,8.89,281,3.02,0.78,53.97,72.37,54.2,0.0074,0.56,"NA","NA","rain","Rain in the afternoon and evening.",1013.51,NA,2016-05-22
"20",NA,9.22,321,4.4,0.84,51.82,61.27,52.36,0.007,0.53,"NA","NA","rain","Light rain until afternoon.",1012.1,NA,2016-05-21
"21",0.17,7.2,89,2.98,0.78,49.65,62,53.51,0.0201,0.48,"NA","NA","rain","Rain in the morning and afternoon.",1017.66,NA,2016-05-20
