"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.09,10,289,7.98,0.54,44.21,74.22,49.23,0,0.2,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1013.44,375.2,2016-06-08
"2",0.19,10,279,11.64,0.5,41.52,71.06,52.19,0,0.16,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1008.12,374.41,2016-06-07
"3",0.29,9.96,284,7.27,0.62,48.35,68.2,56.32,0.0049,0.13,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1001.63,366.65,2016-06-06
"4",0.28,9.95,236,2.58,0.68,59.67,82.42,61.9,0.0028,0.1,"NA","NA","rain","Light rain in the evening.",999.4,332.65,2016-06-05
"5",0.2,10,212,4.96,0.71,61.16,81.49,63.21,0.0023,0.06,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1003.08,322.7,2016-06-04
"6",0.94,5.06,140,5.43,0.91,63.41,68.6,64.05,0.0251,0.03,"NA","NA","rain","Rain in the morning and afternoon.",1009.33,313.06,2016-06-03
"7",0.51,9.63,181,1.99,0.74,63.26,84.58,63.14,4e-04,0.98,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1015.06,322.47,2016-06-02
"8",0.88,6.59,173,3.86,0.84,60.3,70.35,60.54,0.0011,0.95,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1017.59,319.07,2016-06-01
"9",0.35,9.04,115,3.4,0.7,56.63,78.73,56.55,0,0.91,"NA","NA","partly-cloudy-night","Mostly cloudy starting in the evening.",1020.73,324.2,2016-05-31
"10",0.14,9.91,66,2.13,0.58,54.29,82.63,57.96,0,0.87,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1018.91,327.98,2016-05-30
"11",0.27,9.7,266,3.16,0.64,60.09,84.13,67.86,0.0021,0.83,"NA","NA","rain","Light rain in the morning.",1013.45,325.07,2016-05-29
"12",0.77,9.33,162,4.07,0.87,66.1,79.12,64.86,0.0168,0.8,"NA","NA","rain","Rain until afternoon.",1015.07,300.84,2016-05-28
"13",0.34,9.52,148,4.31,0.72,65.41,86.98,66.88,0.0017,0.76,"NA","NA","rain","Drizzle starting in the afternoon, continuing until evening.",1019.73,307.22,2016-05-27
"14",0.24,9.98,176,4.33,0.69,65.99,90.34,65.67,4e-04,0.72,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1018.62,317.46,2016-05-26
"15",0.19,9.93,169,5.44,0.64,60.88,85.63,62.73,0.0018,0.69,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1017.79,324.28,2016-05-25
