"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.5,10,95,16.35,0.75,67.64,81.77,70.95,0.0053,0.17,"NA","NA","rain","Light rain in the morning.",1018.23,287.47,2016-06-08
"2",0.28,9.97,98,13.17,0.7,66.26,80.6,73.83,0,0.14,"NA","NA","rain","Light rain overnight.",1018.58,288.56,2016-06-07
"3",0.32,10,89,14.28,0.7,65.35,79.33,73.2,6e-04,0.1,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1017.58,289.8,2016-06-06
"4",0.37,9.96,94,12.41,0.78,69.19,79.66,74.73,0.0025,0.07,"NA","NA","rain","Drizzle in the evening.",1015.72,282.97,2016-06-05
"5",0.42,10,66,7,0.77,68.18,78.48,73.21,0.0028,0.04,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1014.4,283.55,2016-06-04
"6",0.34,10,58,2.96,0.75,66.8,78.38,71.63,0.0027,0.99,"NA","NA","rain","Drizzle starting in the afternoon.",1012.91,296.53,2016-06-03
"7",0.36,10,65,5.38,0.71,65.48,78.59,72.15,8e-04,0.96,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1013.8,301.93,2016-06-02
"8",0.31,10,83,11.02,0.74,66.48,77.24,73.67,9e-04,0.92,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1014.73,288.19,2016-06-01
"9",0.21,10,88,11.74,0.75,67.14,77.9,74,0.0028,0.88,"NA","NA","rain","Light rain until afternoon.",1015.51,285.65,2016-05-31
"10",0.37,9.54,77,11.35,0.79,67.62,75.77,73.01,0.0056,0.84,"NA","NA","rain","Light rain until afternoon.",1016.26,284.52,2016-05-30
"11",0.37,9.67,59,6.7,0.76,67.51,78.01,73.6,0.0029,0.81,"NA","NA","rain","Light rain in the afternoon.",1016.67,288.46,2016-05-29
"12",0.22,9.7,48,1.86,0.75,67.98,80.33,73.68,0.0019,0.77,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1016.01,291.46,2016-05-28
"13",0.32,9.51,126,3.45,0.77,68.98,79.34,74.35,0.0093,0.73,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1016.43,282.6,2016-05-27
"14",0.23,9.76,122,6.38,0.76,69.25,80.21,74.15,0.002,0.7,"NA","NA","rain","Drizzle starting in the afternoon, continuing until evening.",1018.15,285.28,2016-05-26
"15",0.2,8.98,113,4.88,0.79,69.16,80.15,72.33,0.0282,0.66,"NA","NA","rain","Rain throughout the day.",1018.48,284.68,2016-05-25
"16",0.25,8.6,84,4.79,0.74,67.7,82.01,73.35,0.024,0.63,"NA","NA","rain","Rain starting in the afternoon.",1017.36,303.37,2016-05-24
"17",0.31,9.35,67,6.4,0.67,66.1,84.08,74.54,0,0.6,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1017.67,NA,2016-05-23
"18",0.31,9.23,62,8.12,0.66,66.02,82.46,75.14,3e-04,0.56,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1019.25,NA,2016-05-22
"19",0.3,8.99,68,9.6,0.66,66.09,83.01,75.41,0,0.53,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1019.27,NA,2016-05-21
"20",0.32,9.38,67,9.76,0.67,66.27,83.05,75.02,0,0.51,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1018.79,NA,2016-05-20
"21",0.31,9.58,64,9.41,0.66,66.13,82.35,74.98,0,0.47,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1017.75,NA,2016-05-19
"22",0.33,9,61,8.85,0.67,66.97,82.5,76,0,0.44,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1017.32,NA,2016-05-18
"23",0.38,9.23,72,7.75,0.72,68.46,82.97,75.22,0,0.41,"NA","NA","partly-cloudy-night","Partly cloudy starting in the afternoon.",1017.03,NA,2016-05-17
