"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.33,10,219,8.29,0.66,65.14,93.33,64.57,0.002,0.2,"NA","NA","rain","Drizzle in the morning.",1016.47,318.79,2016-06-08
"2",0.21,9.81,195,4.74,0.57,53.26,85.26,56.69,0,0.16,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1016.95,330.32,2016-06-07
"3",0.17,9.84,311,3.69,0.56,49.09,76.41,54.7,0,0.13,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1015.05,342.91,2016-06-06
"4",0.24,9.99,320,6.17,0.6,51.82,71.93,59.7,5e-04,0.1,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1008.4,357.05,2016-06-05
"5",0.02,10,243,9.19,0.63,58.84,83.06,63.53,8e-04,0.06,"NA","NA","clear-day","Clear throughout the day.",1006.46,321.33,2016-06-04
"6",0.34,7.79,245,9.1,0.8,63.38,76.39,65.41,9e-04,0.03,"NA","NA","partly-cloudy-day","Mostly cloudy in the morning.",1006.6,336.29,2016-06-03
"7",0.97,7.27,174,2.69,0.86,64.76,73.21,65.06,0.0462,0.98,"NA","NA","rain","Rain until evening.",1011.75,319.17,2016-06-02
"8",0.69,8.53,207,0.82,0.64,59,83.25,60.69,0,0.95,"NA","NA","rain","Light rain overnight.",1016.56,319.12,2016-06-01
"9",0.63,8.56,235,1.26,0.74,63.45,81.38,65.42,7e-04,0.91,"NA","NA","partly-cloudy-day","Mostly cloudy until evening.",1015.63,323.12,2016-05-31
"10",0.48,8.8,156,0.97,0.73,63.46,82.57,64.18,0.008,0.87,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1013.7,324.67,2016-05-30
"11",0.51,10,140,1.59,0.61,60.29,86.43,64.97,0.0021,0.83,"NA","NA","rain","Light rain starting in the evening.",1014.42,329.16,2016-05-29
"12",0.18,9.97,265,1.95,0.61,58.98,84.68,62.57,0,0.8,"NA","NA","partly-cloudy-night","Partly cloudy starting in the afternoon.",1016.03,341.88,2016-05-28
"13",0.37,9.97,218,5.54,0.73,65.62,84.26,67.67,0.0036,0.76,"NA","NA","rain","Drizzle until afternoon.",1016.68,329.32,2016-05-27
"14",0.48,9.83,174,9.6,0.73,66.09,82.2,70,0.0097,0.72,"NA","NA","rain","Light rain until evening.",1015.39,307.99,2016-05-26
"15",0.45,9.2,171,7.51,0.74,64.28,84.3,64.19,0.0043,0.69,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1014.14,306.26,2016-05-25
"16",0.58,9.63,197,8.02,0.83,65.57,77.09,66.93,0.0086,0.65,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1014.97,310.69,2016-05-24
"17",0.35,9.96,192,8.43,0.63,60,82.85,64.7,3e-04,0.62,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1016.49,NA,2016-05-23
"18",0.08,10,201,5.78,0.52,49.44,82.41,53.52,0,0.59,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1016.82,NA,2016-05-22
"19",0.03,9.99,107,3.64,0.48,42.54,77.6,50.06,0,0.56,"NA","NA","clear-day","Clear throughout the day.",1016.12,NA,2016-05-21
"20",0.09,10,339,8.66,0.5,43.93,80.27,50.18,0,0.53,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1016.2,NA,2016-05-20
"21",0.38,8.39,6,8.49,0.69,50.57,72.83,55.16,0.0072,0.48,"NA","NA","rain","Light rain in the morning.",1016.37,NA,2016-05-19
"22",0.27,9.82,82,6.87,0.56,44.38,67.26,54.93,0.0016,0.46,"NA","NA","rain","Light rain starting in the evening.",1018.35,NA,2016-05-18
"23",0.08,9.98,66,5.48,0.52,39.58,70.2,44.57,0,0.43,"NA","NA","clear-day","Clear throughout the day.",1021.32,NA,2016-05-17
"24",0.26,8.77,32,7.2,0.64,44.29,67.27,51.79,0.0011,0.4,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1021.04,NA,2016-05-16
"25",0.83,9.67,80,3.09,0.76,45.84,57.4,49.79,0.0052,0.37,"NA","NA","rain","Light rain in the afternoon and evening.",1021.88,NA,2016-05-15
"26",0.19,10,187,6.32,0.54,34.03,61.6,36.91,0,0.34,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1022.79,NA,2016-05-14
"27",0.27,10,295,7.21,0.58,32.96,56.11,39.87,0,0.31,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1019.64,NA,2016-05-13
"28",0.71,9.49,292,13.25,0.7,38.73,58.72,42.71,0.0071,0.28,"NA","NA","rain","Light rain in the morning and breezy until afternoon.",1014.22,NA,2016-05-12
"29",0.18,10,272,8.36,0.64,46.5,67.56,50.56,0,0.25,"NA","NA","rain","Light rain overnight.",1015.69,NA,2016-05-11
"30",0.33,9.59,245,6.42,0.81,59.62,74.5,61.03,0.0122,0.21,"NA","NA","rain","Rain in the evening.",1014.51,NA,2016-05-10
"31",0.36,9.29,183,3.6,0.78,60.38,80.14,61.23,0.0036,0.18,"NA","NA","rain","Light rain starting in the evening.",1015.9,NA,2016-05-09
"32",0.44,8.65,159,9.01,0.81,58.02,71.62,58.91,0.0056,0.15,"NA","NA","rain","Light rain in the afternoon.",1013.11,NA,2016-05-08
"33",0.82,7.17,107,8.56,0.88,52.67,60.82,51.91,0.0168,0.11,"NA","NA","rain","Rain in the morning and afternoon.",1014.67,NA,2016-05-07
"34",0.3,9.76,236,1.75,0.65,40.7,59.98,44.6,0.0041,0.07,"NA","NA","rain","Rain in the afternoon and overnight.",1013.9,NA,2016-05-06
"35",0.26,9.98,280,7.99,0.61,48.76,71.15,55.18,4e-04,0.04,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1008.19,NA,2016-05-05
"36",0.12,10,316,6.12,0.57,41.79,70.96,44.16,0,0.01,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1014.13,NA,2016-05-04
"37",0.51,9.11,338,11.9,0.76,42.29,62.91,41.43,0.0016,0.96,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1010.92,NA,2016-05-03
"38",0.55,9.82,300,8.64,0.72,42.49,55.23,45.1,0.0041,0.92,"NA","NA","rain","Light rain until afternoon, starting again overnight.",1006.71,NA,2016-05-02
"39",0.59,7.16,342,4.49,0.79,47.04,61.42,50.56,0.0061,0.88,"NA","NA","rain","Light rain in the morning.",1012.76,NA,2016-05-01
"40",0.9,8.14,305,6.14,0.88,51.49,60,51.85,0.0025,0.85,"NA","NA","rain","Light rain overnight.",1013.89,NA,2016-04-30
"41",0.33,8.67,235,2.73,0.77,58.05,74.71,60.08,0.0105,0.81,"NA","NA","rain","Rain starting in the evening.",1011.37,NA,2016-04-29
"42",0.63,7.37,104,8.65,0.87,50.83,62.15,50.04,0.0165,0.77,"NA","NA","rain","Rain until afternoon.",1013.84,NA,2016-04-28
"43",0.24,8.72,327,4.95,0.74,48.23,62.78,50.03,0,0.74,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1016.45,NA,2016-04-27
"44",0.45,6.83,47,2.35,0.84,55.02,71.15,50.43,0.0147,0.7,"NA","NA","rain","Rain in the morning and afternoon.",1009.41,NA,2016-04-26
"45",0.92,6.03,78,10.5,0.84,51.1,61.76,48.24,0.0046,0.67,"NA","NA","rain","Light rain starting in the afternoon.",1009.22,NA,2016-04-25
"46",0.3,9.86,248,6.39,0.7,59.42,78.78,63.5,0.0027,0.64,"NA","NA","rain","Light rain starting in the evening.",1007.25,NA,2016-04-24
"47",0.22,10,204,10.01,0.54,50.34,79.25,56.08,0,0.61,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1009.72,NA,2016-04-23
"48",0.09,10,145,5.6,0.58,44.54,74.67,45.78,0,0.58,"NA","NA","clear-day","Clear throughout the day.",1015.94,NA,2016-04-22
"49",0.36,9.36,32,5.13,0.69,44.43,64.91,48.27,0,0.55,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1019.21,NA,2016-04-21
"50",0.58,9.02,333,5.25,0.83,52.2,65.62,50.77,0.0134,0.52,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1013.06,NA,2016-04-20
"51",0.51,8.49,181,4.91,0.86,56.09,67.11,57.61,0.0164,0.48,"NA","NA","rain","Rain in the morning and evening.",1011.53,NA,2016-04-19
"52",0.31,10,104,4.11,0.55,47.49,77.63,53.27,0,0.45,"NA","NA","rain","Light rain overnight.",1017.35,NA,2016-04-18
"53",0.17,9.97,65,2.83,0.52,47.71,80.15,54.81,0,0.42,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1020.89,NA,2016-04-17
"54",0.08,10,217,0.46,0.47,44.03,82.44,52.02,0,0.39,"NA","NA","clear-day","Clear throughout the day.",1025,NA,2016-04-16
"55",0.02,10,87,3.95,0.45,41.29,79.27,49.41,0,0.36,"NA","NA","clear-day","Clear throughout the day.",1027.15,NA,2016-04-15
"56",0.04,9.98,98,5.2,0.46,41.89,77.23,50.1,0,0.33,"NA","NA","clear-day","Clear throughout the day.",1024.23,NA,2016-04-14
"57",0.05,10,75,5.74,0.47,36.11,74.56,41.45,0,0.3,"NA","NA","clear-day","Clear throughout the day.",1021.8,NA,2016-04-13
"58",0.08,10,73,8.97,0.47,31.55,65.75,38.23,0,0.26,"NA","NA","clear-day","Clear throughout the day.",1022.83,NA,2016-04-12
"59",0.07,10,95,7.68,0.55,30.35,58.44,35.51,0,0.23,"NA","NA","clear-day","Clear throughout the day.",1025.58,NA,2016-04-11
"60",0,10,9,5.74,0.57,27.25,51.5,32.85,0,0.2,"NA","NA","clear-day","Clear throughout the day.",1025.09,NA,2016-04-10
"61",0.53,7.57,260,6.25,0.83,44.95,54.04,40.74,0.033,0.16,"NA","NA","rain","Rain until afternoon.",1012.66,NA,2016-04-09
"62",0.63,9.4,168,11.71,0.63,31.36,61.9,30.48,0.0144,0.12,"NA","NA","rain","Rain starting in the evening.",1016.83,NA,2016-04-08
"63",0.28,9.97,319,11.3,0.61,20.54,39.75,27.49,0,0.09,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1020.85,NA,2016-04-07
"64",0.5,9.17,270,10.52,0.81,30.89,41.75,30.43,0.0027,0.05,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening, and breezy overnight.",1011.22,NA,2016-04-06
"65",0.91,9.48,287,13.59,0.81,35.4,46.27,35.63,0.0019,0.01,"NA","NA","clear-day","Clear throughout the day.",1004.81,NA,2016-04-05
"66",0.34,9.76,197,12.53,0.56,33.48,62.17,39.95,0.0056,0.97,"NA","NA","rain","Breezy until afternoon and rain starting in the evening.",1008.06,NA,2016-04-04
"67",0.17,10,91,4.5,0.58,22.87,46.91,26.08,0,0.93,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1028.25,NA,2016-04-03
"68",0.46,10,308,8.95,0.65,33.16,58.02,35.46,0,0.9,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1016,NA,2016-04-02
"69",0.04,10,219,11.37,0.5,24.9,61.44,27.32,0,0.86,"NA","NA","wind","Breezy starting in the evening.",1015.66,NA,2016-04-01
"70",0.28,9.92,278,16.3,0.59,26.34,47.24,32.63,0,0.82,"NA","NA","wind","Windy until evening and partly cloudy starting in the afternoon, continuing until evening.",1008.94,NA,2016-03-31
"71",0.28,9.99,264,11.16,0.68,38.12,53.35,42.2,0,0.79,"NA","NA","wind","Partly cloudy starting in the afternoon, continuing until evening, and breezy in the afternoon.",1006.92,NA,2016-03-30
"72",0.69,8.82,198,13.86,0.83,54.12,64.61,55.03,0.0134,0.75,"NA","NA","rain","Breezy in the morning and rain in the evening.",1000.75,NA,2016-03-29
"73",0.27,8.83,157,6.39,0.61,37.79,69.17,40.67,0.0187,0.72,"NA","NA","rain","Rain starting in the evening.",1015.05,NA,2016-03-28
"74",0.11,9.74,63,5.08,0.62,31.58,55.77,33.59,0,0.69,"NA","NA","clear-day","Clear throughout the day.",1024.73,NA,2016-03-27
"75",0.73,9.95,291,12.24,0.74,37.84,49.46,42.68,8e-04,0.66,"NA","NA","clear-day","Clear throughout the day.",1017.12,NA,2016-03-26
"76",0.19,9.44,199,4.05,0.64,42.72,74.63,40.73,0.0073,0.63,"NA","NA","rain","Breezy in the evening and rain starting in the evening.",1013.69,NA,2016-03-25
"77",0.08,9.75,110,7.5,0.65,33.52,60.69,32.6,0,0.6,"NA","NA","clear-day","Clear throughout the day.",1020.49,NA,2016-03-24
"78",0.4,9.6,339,6.47,0.73,30.78,47.27,33.77,1e-04,0.57,"NA","NA","clear-day","Clear throughout the day.",1015.89,NA,2016-03-23
"79",0.7,8.68,216,9.36,0.73,48.54,62.9,42.53,0.0247,0.54,"NA","NA","rain","Rain until evening.",1003.36,NA,2016-03-22
"80",0.46,10,201,13.71,0.51,40.25,61.75,54.19,0,0.51,"NA","NA","clear-day","Clear throughout the day.",1010.48,NA,2016-03-21
"81",0.07,10,195,14.16,0.46,30.42,65.91,39.63,0,0.48,"NA","NA","wind","Breezy starting in the afternoon, continuing until evening.",1013.39,NA,2016-03-20
"82",0.15,10,263,7.76,0.58,25.04,50.44,29.45,0,0.45,"NA","NA","clear-day","Clear throughout the day.",1021.43,NA,2016-03-19
"83",0.23,10,359,7.13,0.56,22.42,44.63,29.14,0,0.42,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1020.13,NA,2016-03-18
"84",0.84,9.99,29,7.11,0.63,31.23,47.25,38.46,1e-04,0.38,"NA","NA","clear-day","Clear throughout the day.",1018.73,NA,2016-03-17
"85",0.23,10,312,6.43,0.47,26.91,53.71,39.92,0,0.35,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1017.03,NA,2016-03-16
"86",0.19,10,261,9.84,0.46,29.11,59.55,41.62,0,0.32,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1013.29,NA,2016-03-15
"87",0.28,10,249,16.52,0.52,38.36,67.32,50.39,0,0.28,"NA","NA","wind","Breezy and partly cloudy until afternoon.",1006.72,NA,2016-03-14
"88",0.24,9.6,136,6.46,0.74,52.99,72.75,52.54,0,0.25,"NA","NA","wind","Breezy overnight.",1005.74,NA,2016-03-13
"89",0.82,8.41,220,3.14,0.9,55.68,60.54,56.2,0.0062,0.21,"NA","NA","rain","Light rain until evening.",1005.22,NA,2016-03-12
"90",0.32,9.12,86,4.78,0.78,46.83,63.13,45.13,0,0.14,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1019.35,NA,2016-03-11
"91",0.15,9.81,49,6.11,0.78,41.16,58.14,39.87,0,0.1,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1025.07,NA,2016-03-10
"92",0.85,4.69,346,3.58,0.93,51.34,57.49,44.64,0.0129,0.06,"NA","NA","rain","Light rain until evening.",1016.36,NA,2016-03-09
"93",0.56,8.33,190,9.89,0.73,51.07,66.28,57.08,0.0069,0.02,"NA","NA","rain","Rain starting in the afternoon.",1015.23,NA,2016-03-08
"94",0.22,10,194,10.94,0.51,43.98,72.1,53.38,0,0.99,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1015.96,NA,2016-03-07
"95",0.22,9.99,185,9.06,0.52,36.03,66.44,43.49,1e-04,0.95,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1016.13,NA,2016-03-06
"96",0.2,9.48,171,5.65,0.65,30.51,52.5,33.69,0,0.91,"NA","NA","clear-day","Clear throughout the day.",1023.15,NA,2016-03-05
"97",0.91,6.97,273,4.1,0.8,31.46,42.77,31.96,0,0.88,"NA","NA","clear-day","Clear throughout the day.",1019.95,NA,2016-03-04
"98",0.42,8.64,350,3.85,0.76,25.91,36.74,29.56,3e-04,0.84,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1020.79,NA,2016-03-03
"99",0.79,7.6,149,6.81,0.82,30.05,39.59,29.96,0.0016,0.81,"NA","NA","snow","Mixed precipitation in the morning and evening.",1017.52,NA,2016-03-02
"100",0.17,9.94,283,6.32,0.61,15.37,35.63,19.56,0,0.78,"NA","NA","snow","Light snow overnight.",1021.37,NA,2016-03-01
"101",0.42,9.13,265,5.66,0.77,31.23,47.66,26.04,0.0067,0.74,"NA","NA","rain","Rain in the morning and afternoon and breezy starting in the afternoon.",1009.78,NA,2016-02-29
"102",0.3,10,258,10.29,0.64,31.69,54.56,36.04,4e-04,0.71,"NA","NA","clear-day","Clear throughout the day.",1014.12,NA,2016-02-28
"103",0.13,9.79,216,17.65,0.57,38.03,66.27,42.35,0.0047,0.68,"NA","NA","rain","Breezy throughout the day and rain overnight.",1007.8,NA,2016-02-27
"104",0.12,10,215,9.78,0.64,27.16,53.75,26.01,0,0.65,"NA","NA","clear-day","Clear throughout the day.",1018.97,NA,2016-02-26
"105",0.72,9.94,297,8.24,0.62,21.15,36.83,30.04,0,0.62,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1023.68,NA,2016-02-25
"106",1,7,303,15.17,0.81,27.42,34.1,31.91,1e-04,0.59,"NA","NA","clear-day","Clear throughout the day.",1012.1,NA,2016-02-24
"107",1,4.66,9,15.55,0.88,31.21,36.39,33.08,0.0423,0.56,"NA","NA","rain","Rain until evening and breezy starting in the evening.",996.21,NA,2016-02-23
"108",0.12,10,48,11.5,0.6,25.96,51.31,29.75,0,0.53,"NA","NA","rain","Rain overnight.",1015.06,NA,2016-02-22
"109",0.21,10,32,6.8,0.71,30,48.99,32.41,0,0.49,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1019.65,NA,2016-02-21
"110",0.22,10,15,8.09,0.62,34.26,54.71,37.58,0,0.47,"NA","NA","partly-cloudy-night","Mostly cloudy in the morning.",1015.75,NA,2016-02-20
"111",0.09,9.48,229,9.24,0.62,39.77,70.47,44.67,0,0.44,"NA","NA","partly-cloudy-night","Dry throughout the day and partly cloudy overnight.",1014.39,NA,2016-02-19
"112",0.13,10,205,15.5,0.6,37.73,60.77,40.12,0,0.4,"NA","NA","wind","Windy until evening.",1013.15,NA,2016-02-18
"113",0.27,9.33,138,10.08,0.68,26.26,43.37,28,0,0.37,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1027.8,NA,2016-02-17
"114",0.76,8.58,312,6.48,0.74,25.05,37.35,29.67,0,0.34,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1022.69,NA,2016-02-16
"115",0.45,7.07,308,4.37,0.83,25.92,34.43,28.29,0,0.3,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1010.62,NA,2016-02-15
"116",0.62,6.03,161,3.58,0.88,23.48,32.96,19.96,0,0.26,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1013.84,NA,2016-02-14
"117",0.64,7.72,117,10.83,0.7,7.95,19.44,13.13,0.001,0.23,"NA","NA","snow","Snow (under 1 in.) starting in the afternoon, continuing until evening.",1026.35,NA,2016-02-13
"118",0.1,9.97,312,8.55,0.52,-0.99,18.89,6.79,0,0.19,"NA","NA","clear-day","Clear throughout the day.",1033.78,NA,2016-02-12
"119",0.49,9.02,288,9.29,0.64,11.43,25.41,17.79,0,0.15,"NA","NA","clear-day","Clear throughout the day.",1023.45,NA,2016-02-11
"120",0.22,10,293,3.59,0.63,6.92,24.78,10.5,0,0.11,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1025.27,NA,2016-02-10
"121",0.5,8.7,278,11.21,0.71,6.18,16.44,11.59,0,0.07,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1017.95,NA,2016-02-09
"122",0.91,5.96,281,13.66,0.79,14.62,22.63,14.63,3e-04,0.04,"NA","NA","snow","Light snow overnight.",1010.32,NA,2016-02-08
