"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.29,9.87,78,3.29,0.55,60.53,94.3,65.18,0,0.17,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1014.87,309.9,2016-06-08
"2",0.08,9.93,30,3.38,0.61,63.97,91.62,68.45,6e-04,0.13,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1013.72,312.6,2016-06-07
"3",0.02,9.99,344,3.79,0.63,64.19,91.48,67.18,1e-04,0.1,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1011,311.61,2016-06-06
"4",0.29,10,3,3.9,0.75,70.04,88.39,70.68,0.0031,0.06,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1009.18,309.07,2016-06-05
"5",0.67,7.24,140,0.66,0.82,71.37,86.33,70.93,0.033,0.03,"NA","NA","rain","Rain in the morning and afternoon.",1010.42,310.19,2016-06-04
"6",0.84,8.47,174,2.87,0.85,70.93,84.77,69.77,0.0137,0.98,"NA","NA","rain","Light rain until evening, starting again overnight.",1012.72,301.03,2016-06-03
"7",0.81,7.75,161,3.52,0.81,71.11,87.38,71.12,0.02,0.95,"NA","NA","rain","Rain throughout the day.",1015.08,301.33,2016-06-02
"8",0.52,8.54,157,3.55,0.78,70.59,88.23,71,0.0118,0.91,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1015.52,308.76,2016-06-01
"9",0.5,8.52,182,3.19,0.79,69.84,86.59,68.62,0.0055,0.87,"NA","NA","rain","Light rain in the afternoon and evening.",1014.17,313.91,2016-05-31
"10",0.15,9.72,196,1.03,0.74,68.31,89.47,68.22,0.0107,0.84,"NA","NA","rain","Rain in the evening.",1012.97,320.11,2016-05-30
"11",0.26,9.78,2,0.97,0.69,67.29,92.23,67.3,0.0054,0.8,"NA","NA","rain","Light rain starting in the evening.",1015.69,319.65,2016-05-29
"12",0.16,9.84,326,1.43,0.74,68.62,89.89,66.34,7e-04,0.76,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1018.52,323.54,2016-05-28
"13",0.39,9.59,159,6.53,0.78,69.07,82.92,69.74,0.0057,0.73,"NA","NA","rain","Light rain starting in the afternoon.",1015.54,320.8,2016-05-27
"14",0.52,9.16,157,10.33,0.74,68.64,85.47,72.72,0.0024,0.69,"NA","NA","rain","Light rain in the afternoon.",1013.86,296.15,2016-05-26
"15",0.32,9.82,165,7.69,0.74,69.78,86.54,72.77,0.0021,0.65,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1017.09,NA,2016-05-25
"16",0.25,9.77,172,7.9,0.73,67.55,87.94,68.05,3e-04,0.62,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1018.81,NA,2016-05-24
"17",0.02,10,163,6.38,0.59,58.9,87.2,62.71,0,0.59,"NA","NA","clear-day","Clear throughout the day.",1017.24,NA,2016-05-23
"18",0.02,9.89,160,2.15,0.59,54.04,83.83,55.81,0,0.56,"NA","NA","clear-day","Clear throughout the day.",1015.02,NA,2016-05-22
"19",0.02,10,46,6.51,0.56,54.04,81.23,62.75,0,0.53,"NA","NA","clear-day","Clear throughout the day.",1016.45,NA,2016-05-21
"20",0.16,9.93,338,5.03,0.66,61.37,83.45,65,0,0.48,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1016.9,NA,2016-05-20
"21",0.22,8.69,262,3.02,0.74,65.79,84.16,67.15,0.0032,0.46,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1012.62,NA,2016-05-19
"22",0.34,10,37,4.11,0.71,59.95,81.72,61.18,0,0.43,"NA","NA","rain","Light rain overnight.",1015.29,NA,2016-05-18
"23",0.36,6.23,6,5.37,0.86,61.91,71.47,61.55,0,0.4,"NA","NA","fog","Foggy in the morning.",1015.86,NA,2016-05-17
"24",0.46,8.44,85,4.78,0.87,63.99,73.13,65,0.0054,0.37,"NA","NA","rain","Light rain in the morning.",1014.08,NA,2016-05-16
"25",0.21,10,110,6.89,0.61,53.62,75.11,62.75,7e-04,0.34,"NA","NA","rain","Light rain overnight.",1017.58,NA,2016-05-15
"26",0.19,10,45,6.51,0.49,45.76,74.76,59.05,0,0.31,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1019.76,NA,2016-05-14
"27",0.04,10,347,6.09,0.61,53.28,83.34,53.02,0,0.28,"NA","NA","clear-day","Clear throughout the day.",1017.39,NA,2016-05-13
"28",0.07,10,352,6.26,0.6,56.28,81.25,60.55,0,0.25,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1018.8,NA,2016-05-12
"29",0.21,8.96,229,3.87,0.72,65.98,86.13,67.79,6e-04,0.22,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1018.1,NA,2016-05-11
"30",0.19,9.24,174,6.69,0.74,66.34,83.04,68.34,0,0.18,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1018.05,NA,2016-05-10
"31",0.26,9.93,180,9.61,0.74,65.94,85.99,67.94,0,0.15,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1015.06,NA,2016-05-09
"32",0.22,10,158,9.05,0.74,60.73,75.14,64.16,0,0.11,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1014.03,NA,2016-05-08
"33",0.03,10,175,5.92,0.61,53.29,81.99,53.85,0,0.07,"NA","NA","clear-day","Clear throughout the day.",1015.51,NA,2016-05-07
"34",0,9.99,210,1.19,0.6,49.28,81.18,49.82,0,0.04,"NA","NA","clear-day","Clear throughout the day.",1016.91,NA,2016-05-06
"35",0.01,9.99,354,5.26,0.56,44.53,72.43,48,0,0.01,"NA","NA","clear-day","Clear throughout the day.",1016.96,NA,2016-05-05
"36",0.03,10,343,6.45,0.48,44.06,73.38,57.91,0,0.96,"NA","NA","clear-day","Clear throughout the day.",1013.11,NA,2016-05-04
"37",0.1,9.97,299,7.51,0.61,48.95,76.2,50.84,0,0.92,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1012.51,NA,2016-05-03
"38",0.37,9.91,337,6.68,0.72,56.02,73.39,59.08,0,0.88,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1014.52,NA,2016-05-02
"39",0.27,9.13,311,0.96,0.87,63.92,73.86,63.07,0.0075,0.85,"NA","NA","rain","Rain in the afternoon.",1014.24,NA,2016-05-01
"40",0.31,9.34,141,6.24,0.84,65.54,79.54,66.02,0.0124,0.81,"NA","NA","rain","Rain until afternoon.",1012.62,NA,2016-04-30
"41",0.21,9.66,144,8.39,0.83,66.26,76.23,66.85,0.0048,0.77,"NA","NA","rain","Rain in the afternoon.",1009.63,NA,2016-04-29
"42",0.17,9.31,153,9.63,0.76,68.37,82.87,70.7,0,0.74,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1011.51,NA,2016-04-28
"43",0.12,9.34,164,3.24,0.71,64.22,86.68,65.83,3e-04,0.7,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1011.35,NA,2016-04-27
"44",0.19,9.61,169,8.89,0.81,66.07,78.89,67.99,0.0031,0.67,"NA","NA","rain","Light rain until afternoon.",1007.56,NA,2016-04-26
"45",0.19,9.27,171,8.21,0.73,64.53,84.79,65.01,0,0.64,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1010.52,NA,2016-04-25
"46",0.08,10,167,6.34,0.66,59.17,81.91,59.84,0,0.61,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1012.59,NA,2016-04-24
"47",0.05,9.93,166,6.26,0.64,54.29,81.21,54.52,0,0.58,"NA","NA","clear-day","Clear throughout the day.",1014.43,NA,2016-04-23
"48",0.07,9.97,2,5.14,0.63,52.51,79.27,54.18,0,0.55,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1016.79,NA,2016-04-22
"49",0.28,9.99,309,4.58,0.71,58.34,78.32,61.61,6e-04,0.52,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1014.56,NA,2016-04-21
"50",0.3,9.29,203,4.32,0.82,63.41,79.08,63.32,0.0093,0.48,"NA","NA","rain","Rain in the morning.",1014.11,NA,2016-04-20
"51",0.22,9.77,158,5.33,0.77,60.65,79.66,61.1,0.0034,0.46,"NA","NA","rain","Rain overnight.",1016.39,NA,2016-04-19
"52",0.27,9.99,141,5.4,0.75,57.57,72.1,59.87,0,0.43,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1020.12,NA,2016-04-18
"53",0.03,10,119,7.29,0.64,54.65,77.96,59.48,0,0.4,"NA","NA","clear-day","Clear throughout the day.",1022.59,NA,2016-04-17
"54",0.07,10,113,10.11,0.66,56.71,78.83,61.16,0,0.36,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1021.91,NA,2016-04-16
"55",0.77,9.8,103,8.41,0.85,58.01,67.17,59.25,0,0.33,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1018.91,NA,2016-04-15
"56",0.9,7.72,101,7.53,0.92,58.96,62.98,59.29,0.0506,0.3,"NA","NA","rain","Heavy rain until evening.",1015.04,NA,2016-04-14
"57",0.65,6.93,66,4.12,0.92,60.74,67.12,59.3,0.0036,0.27,"NA","NA","rain","Light rain in the afternoon.",1014.82,NA,2016-04-13
"58",0.34,9.18,69,4.32,0.88,56.86,68.13,55.91,0.0073,0.23,"NA","NA","rain","Rain starting in the evening.",1018,NA,2016-04-12
"59",0.48,9.63,36,3.17,0.86,59.07,68.77,59.89,0.0172,0.2,"NA","NA","partly-cloudy-night","Partly cloudy in the evening.",1019.45,NA,2016-04-11
"60",0.44,6.86,148,7.78,0.91,60.96,72.88,59.95,0.1483,0.16,"NA","NA","rain","Heavy rain throughout the day.",1016.6,NA,2016-04-10
"61",0.11,10,174,12.12,0.51,47.72,80.17,57.14,0,0.12,"NA","NA","wind","Partly cloudy in the morning and breezy in the afternoon.",1019.04,NA,2016-04-09
"62",0.04,9.97,268,1.6,0.53,39.8,75.96,43.93,0,0.09,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1020.59,NA,2016-04-08
"63",0.02,10,328,6.83,0.42,36.4,69.21,51.34,0,0.05,"NA","NA","clear-day","Clear throughout the day.",1018.14,NA,2016-04-07
"64",0.01,10,246,5.16,0.5,43.49,78.24,48.95,0,0.01,"NA","NA","clear-day","Clear throughout the day.",1013.11,NA,2016-04-06
"65",0.18,10,204,8.17,0.6,51.14,75.7,57.9,0,0.97,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1015.48,NA,2016-04-05
"66",0,9.9,98,4.4,0.54,46.28,81.09,51.06,0,0.93,"NA","NA","clear-day","Clear throughout the day.",1021.26,NA,2016-04-04
"67",0,10,254,5.04,0.54,43.59,77.37,46.99,0,0.9,"NA","NA","clear-day","Clear throughout the day.",1020.34,NA,2016-04-03
"68",0,10,277,1.79,0.53,38.28,73.29,42.67,0,0.86,"NA","NA","clear-day","Clear throughout the day.",1021.05,NA,2016-04-02
"69",0.02,10,320,8.05,0.54,36.21,63.44,45.83,0,0.83,"NA","NA","clear-day","Clear throughout the day.",1018.31,NA,2016-04-01
"70",0.3,9.49,348,6.4,0.66,48.9,68.89,52.35,0.0019,0.79,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1011.33,NA,2016-03-31
"71",0.51,8.1,188,8.42,0.85,66.25,82.87,65.69,0.0363,0.76,"NA","NA","rain","Rain starting in the evening.",1005.47,NA,2016-03-30
"72",0.3,9.83,152,14.14,0.74,58.67,75.03,59.05,0,0.72,"NA","NA","rain","Breezy starting in the afternoon and heavy rain overnight.",1013.61,NA,2016-03-29
"73",0.17,10,85,5.69,0.51,43.2,76.87,50.18,0,0.69,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1018.35,NA,2016-03-28
"74",0.12,9.93,353,5.06,0.63,46.91,70.77,51.49,0,0.66,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1018.86,NA,2016-03-27
"75",0.38,8.34,171,6.96,0.9,62.88,68.09,61.92,0.0086,0.63,"NA","NA","rain","Rain until afternoon.",1015.04,NA,2016-03-26
"76",0.02,9.77,91,2.81,0.61,47.36,78.2,47.04,0,0.6,"NA","NA","clear-day","Clear throughout the day.",1014.71,NA,2016-03-25
"77",0,10,6,5.18,0.64,41.29,65.99,44.23,0,0.57,"NA","NA","clear-day","Clear throughout the day.",1014.12,NA,2016-03-24
"78",0.35,9.32,215,6.33,0.77,55.84,69.91,52.81,0.0071,0.54,"NA","NA","rain","Rain until afternoon.",1010.13,NA,2016-03-23
"79",0.27,10,172,12.41,0.64,50.71,75.6,49.35,0,0.51,"NA","NA","wind","Breezy until afternoon and partly cloudy in the afternoon.",1016.19,NA,2016-03-22
"80",0.02,9.99,183,9.62,0.56,36.82,70.13,37.88,0,0.48,"NA","NA","clear-day","Clear throughout the day.",1022.69,NA,2016-03-21
"81",0,10,297,3.09,0.53,29.6,60.96,34.29,0,0.45,"NA","NA","clear-day","Clear throughout the day.",1027.78,NA,2016-03-20
"82",0.09,10,329,8.73,0.58,30.5,53.19,38.49,0,0.42,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1023.08,NA,2016-03-19
"83",0.5,8.2,341,8.78,0.79,47.03,61.18,46.1,0.0017,0.38,"NA","NA","clear-day","Clear throughout the day.",1016.18,NA,2016-03-18
"84",0.39,9.12,123,3.95,0.86,56.11,72.73,52.91,0.0114,0.35,"NA","NA","rain","Rain in the morning and afternoon.",1011.74,NA,2016-03-17
"85",0.21,8.83,60,4.2,0.6,46.12,73.26,54.39,0.0133,0.32,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1014.23,NA,2016-03-16
"86",0.06,9.01,304,0.87,0.53,50.18,78.13,62.77,0,0.28,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1014.43,NA,2016-03-15
"87",0.03,8.86,189,11.45,0.64,57.37,85.82,59.4,0,0.25,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1009.06,NA,2016-03-14
"88",0.14,9.94,233,7.94,0.63,56.68,81.21,64.24,0,0.21,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1008.94,NA,2016-03-13
"89",0.36,9.77,201,8.89,0.74,57.9,76.15,61.91,0,0.18,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1009.73,NA,2016-03-12
