"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.03,9.68,181,6.79,0.62,63.05,93.18,63.62,1e-04,0.17,"NA","NA","clear-day","Clear throughout the day.",1014.07,330.76,2016-06-08
"2",0.04,9.86,146,3.89,0.65,57.32,84.2,56.5,0,0.13,"NA","NA","clear-day","Clear throughout the day.",1015.01,324.08,2016-06-07
"3",0.05,9.99,319,3.86,0.58,53.8,79.31,58.99,0,0.1,"NA","NA","clear-day","Clear throughout the day.",1012.87,328.1,2016-06-06
"4",0.06,9.96,264,6.11,0.6,58.44,88.23,61.34,0.0034,0.06,"NA","NA","rain","Light rain starting in the evening.",1009.76,324.86,2016-06-05
"5",0.01,8.82,299,6.91,0.66,57.82,79.73,60.83,4e-04,0.03,"NA","NA","clear-day","Clear throughout the day.",1010.93,322.72,2016-06-04
"6",0.65,9.15,276,3.97,0.78,63.98,81.27,65.18,0.006,0.98,"NA","NA","rain","Light rain until afternoon, starting again in the evening.",1011.21,333.84,2016-06-03
"7",0.86,7.1,118,4.36,0.83,64.46,74.43,63.82,0.0083,0.95,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1016.08,320.79,2016-06-02
"8",0.46,9.19,42,3.29,0.65,59.93,84.03,63.49,1e-04,0.91,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1016.77,331.04,2016-06-01
"9",0.66,8.37,334,1.44,0.78,66.05,82.79,66.06,0.005,0.87,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1013.97,328.51,2016-05-31
"10",0.45,9.72,150,4.14,0.77,64.29,81.8,63.95,0.007,0.84,"NA","NA","rain","Light rain in the morning and evening.",1013.19,323.84,2016-05-30
"11",0.37,9.81,181,3.59,0.73,62.54,86.04,62.84,0.0089,0.8,"NA","NA","rain","Light rain starting in the evening.",1016.27,330.22,2016-05-29
"12",0.11,9.99,245,2.87,0.71,62.97,84.56,62.32,0.0041,0.76,"NA","NA","rain","Light rain starting in the evening.",1017.45,345.9,2016-05-28
"13",0.27,9.95,198,7.74,0.78,64.97,82.24,64.05,0.0053,0.73,"NA","NA","rain","Light rain in the morning and evening.",1011.18,337.59,2016-05-27
"14",0.72,8.12,154,9.06,0.85,66.82,80.6,65.46,0.0261,0.69,"NA","NA","rain","Rain in the morning and afternoon.",1008.68,302.7,2016-05-26
"15",0.23,9.41,165,3.79,0.78,66.76,85.54,66.82,0.0158,0.65,"NA","NA","rain","Rain in the morning and evening.",1011.5,NA,2016-05-25
"16",0.07,10,140,6.33,0.76,62.94,82.94,61.14,0.0016,0.62,"NA","NA","rain","Light rain in the morning.",1012.7,NA,2016-05-24
"17",0.12,9.57,155,5.22,0.84,61.82,72.78,61.24,0.0085,0.59,"NA","NA","rain","Rain until afternoon.",1013.48,NA,2016-05-23
"18",0.03,10,156,7.68,0.61,52.82,79.49,52.9,0,0.56,"NA","NA","clear-day","Clear throughout the day.",1012.99,NA,2016-05-22
"19",0,9.97,127,4.56,0.59,48.38,79.8,48.87,0,0.53,"NA","NA","clear-day","Clear throughout the day.",1017.73,NA,2016-05-21
"20",0.05,9.72,8,4.02,0.63,48.89,75.52,50.8,0,0.48,"NA","NA","clear-day","Clear throughout the day.",1019.48,NA,2016-05-20
"21",0.71,9.93,17,3.33,0.73,51.82,66.72,54.03,0.0054,0.46,"NA","NA","rain","Rain in the morning.",1017,NA,2016-05-19
"22",0.15,9.18,102,4.43,0.66,44.65,68.69,42.42,0,0.43,"NA","NA","rain","Light rain overnight.",1019.63,NA,2016-05-18
"23",0.09,8.41,36,3.69,0.69,43.54,66.84,43.41,0,0.4,"NA","NA","fog","Foggy in the morning.",1022.33,NA,2016-05-17
"24",0.73,7.02,66,8.29,0.89,47.77,53.94,48.14,0.0199,0.37,"NA","NA","rain","Rain until afternoon.",1020.14,NA,2016-05-16
"25",0.98,8.3,106,9.41,0.83,46.75,58.36,47.99,0.0214,0.34,"NA","NA","rain","Rain in the morning and evening.",1019.95,NA,2016-05-15
"26",0.06,10,319,2.69,0.53,35.64,66.71,39.17,0,0.31,"NA","NA","clear-day","Clear throughout the day.",1021.63,NA,2016-05-14
"27",0.09,9.99,317,11.58,0.49,32.22,59.13,45.72,0,0.28,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1021.31,NA,2016-05-13
"28",0.1,9.71,245,6.46,0.63,47.43,79.8,45.72,9e-04,0.25,"NA","NA","rain","Light rain in the evening.",1017.32,NA,2016-05-12
"29",0.09,9.96,307,10.18,0.6,49.68,71.9,53.18,0,0.22,"NA","NA","wind","Breezy and partly cloudy starting in the afternoon, continuing until evening.",1017.7,NA,2016-05-11
"30",0.18,9.38,190,1.39,0.74,62.59,85.88,59.68,3e-04,0.18,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1011.99,NA,2016-05-10
"31",0.23,9.95,176,4.63,0.74,59.11,80.73,58.91,0.0031,0.15,"NA","NA","rain","Drizzle in the morning.",1008.12,NA,2016-05-09
"32",0.32,9.64,133,8.9,0.82,60.25,70,62.8,0.0028,0.11,"NA","NA","rain","Light rain in the afternoon.",1006.38,NA,2016-05-08
"33",0.16,8.86,154,2.05,0.77,59.99,77.9,57.41,0.0018,0.07,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1009.35,NA,2016-05-07
"34",0.03,10,254,6.33,0.61,53.18,84.65,52.34,0,0.04,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1011.35,NA,2016-05-06
"35",0,9.96,238,5.12,0.57,43.85,79.79,42.73,0,0.01,"NA","NA","clear-day","Clear throughout the day.",1016.08,NA,2016-05-05
"36",0,10,345,6.09,0.53,37.19,69.93,43.98,0,0.96,"NA","NA","clear-day","Clear throughout the day.",1015.41,NA,2016-05-04
"37",0.11,9.99,319,8.61,0.49,40.29,69.01,50.48,0,0.92,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1010.38,NA,2016-05-03
