"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.48,9.96,81,3.04,0.72,48.96,69.06,50.39,0,0.17,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1010.63,342.24,2016-06-08
"2",0.42,9.33,346,3.88,0.71,43.73,62.37,44.42,0,0.14,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1007.75,354.87,2016-06-07
"3",0.5,8.9,287,2.92,0.8,44.63,57.23,45.62,0.0084,0.1,"NA","NA","rain","Light rain until afternoon.",1015.2,361.37,2016-06-06
"4",0.57,6.09,248,3.08,0.88,46.32,52.1,47.63,0.0281,0.07,"NA","NA","rain","Light rain throughout the day.",1016.14,351.13,2016-06-05
"5",0.91,6.71,109,2.96,0.88,45.16,52.63,43.69,0.0369,0.03,"NA","NA","rain","Rain throughout the day.",1015.67,334.47,2016-06-04
"6",0.75,9.09,165,5.51,0.91,44.95,50.57,44.59,0.0274,0.98,"NA","NA","rain","Rain until afternoon.",1024.17,353.52,2016-06-03
"7",0.83,7.63,137,4.03,0.88,44.98,51.27,45.52,0.0209,0.95,"NA","NA","rain","Light rain throughout the day.",1010.08,357.68,2016-06-02
"8",0.59,8.04,143,2.96,0.87,43.64,51.95,42.74,0.007,0.92,"NA","NA","rain","Light rain in the morning and evening.",1006.54,354.57,2016-06-01
"9",0.82,7.66,136,4.11,0.91,42.91,47.2,43.02,0.014,0.88,"NA","NA","rain","Light rain until evening, starting again overnight.",1006.46,365.51,2016-05-31
"10",0.74,9.62,88,2.24,0.82,41.22,52.31,40.79,0.0028,0.84,"NA","NA","rain","Light rain starting in the evening.",1016.42,355.03,2016-05-30
"11",0.69,9.64,147,3.88,0.9,42.25,47.48,42.73,0.011,0.8,"NA","NA","rain","Light rain until afternoon.",1023.98,365.96,2016-05-29
"12",0.74,9.93,74,3.3,0.77,40.67,51.31,43.07,0.0076,0.77,"NA","NA","rain","Light rain starting in the afternoon.",1016.11,361.58,2016-05-28
"13",0.28,10,47,5.51,0.72,39.72,55.65,41.69,9e-04,0.73,"NA","NA","rain","Drizzle overnight.",1014.19,366.17,2016-05-27
