"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.08,10,211,4.07,0.63,60.2,90.65,60.15,0,0.2,"NA","NA","clear-day","Clear throughout the day.",1017.86,322.81,2016-06-08
"2",0,9.76,184,2.26,0.6,52.14,84.25,52.89,0,0.16,"NA","NA","clear-day","Clear throughout the day.",1017.76,327.48,2016-06-07
"3",0,9.92,345,1.46,0.6,48.89,75.8,52.46,0,0.13,"NA","NA","clear-day","Clear throughout the day.",1014.92,333.81,2016-06-06
"4",0.11,10,288,5.02,0.63,55.86,77.58,62.36,4e-04,0.1,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1007.73,342.99,2016-06-05
"5",0.03,10,225,6.64,0.71,60.93,83.18,59.09,8e-04,0.06,"NA","NA","rain","Drizzle in the evening.",1008.81,318.07,2016-06-04
"6",0.57,7.89,238,7.49,0.77,64.26,81.23,67,0.0047,0.03,"NA","NA","rain","Light rain in the morning.",1008.03,320.81,2016-06-03
"7",0.94,7.38,198,3.1,0.85,68.12,80.97,68.12,0.0253,0.98,"NA","NA","rain","Rain throughout the day.",1012.33,305.22,2016-06-02
"8",0.66,6.56,319,0.55,0.78,64.75,83.62,63.68,8e-04,0.95,"NA","NA","fog","Foggy in the morning.",1016.52,311.59,2016-06-01
"9",0.77,6.99,207,2.29,0.86,67.24,79.15,66.7,0.0159,0.91,"NA","NA","rain","Rain until evening.",1016.17,315.52,2016-05-31
"10",0.33,9.32,191,2,0.69,63.3,88.17,62.1,0.0083,0.87,"NA","NA","rain","Rain starting in the afternoon.",1013.91,323.49,2016-05-30
"11",0.42,9.99,90,2.43,0.67,61.06,85.15,61.68,0,0.83,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1014.49,329.14,2016-05-29
"12",0.19,9.79,338,2.59,0.69,62.67,85.03,63.79,9e-04,0.8,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1015.87,334.9,2016-05-28
"13",0.33,9.99,212,3.44,0.76,66.2,85.22,65.29,0.0049,0.76,"NA","NA","rain","Light rain in the morning and evening.",1017.88,324.21,2016-05-27
"14",0.22,9.84,182,5.83,0.76,65.98,83.51,66.19,0.0063,0.72,"NA","NA","rain","Light rain until afternoon.",1017.52,312.98,2016-05-26
"15",0.37,9.12,174,5.16,0.75,64.64,85.9,61.83,9e-04,0.69,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1015.85,307.04,2016-05-25
"16",0.56,9.53,192,6.45,0.83,64.79,80.77,64.51,0.0096,0.65,"NA","NA","rain","Light rain until evening.",1017.57,311.08,2016-05-24
