"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.76,9.92,141,6.34,0.8,63.84,84.24,59.11,0.0054,0.2,"NA","NA","rain","Light rain in the afternoon.",1014.87,322.65,2016-06-08
"2",0.56,9.88,215,3.67,0.62,46.69,75.64,44.86,1e-04,0.16,"NA","NA","rain","Light rain overnight.",1016.89,344.39,2016-06-07
"3",0.18,9.83,289,7.22,0.63,44.14,68.47,46.56,0,0.13,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1014.07,369.03,2016-06-06
"4",0.58,9.99,301,8.59,0.76,49.56,62.65,52.36,0.0019,0.1,"NA","NA","rain","Drizzle until afternoon.",1007.21,360.35,2016-06-05
"5",0.04,10,251,10.34,0.69,54.85,78.08,55.58,6e-04,0.06,"NA","NA","clear-day","Clear throughout the day.",1002.99,334.32,2016-06-04
"6",0.61,7.53,246,9.42,0.82,59.99,69.79,62.01,0.0098,0.03,"NA","NA","rain","Light rain until afternoon.",1002.54,345.93,2016-06-03
"7",0.86,6.7,141,5.68,0.75,60.06,82.88,60.19,0.0079,0.98,"NA","NA","rain","Light rain starting in the evening.",1011.68,326.96,2016-06-02
"8",0.13,8.78,288,1.98,0.63,52.84,79.13,52.87,0,0.95,"NA","NA","partly-cloudy-night","Mostly cloudy starting in the evening.",1017.12,334.33,2016-06-01
"9",0.18,9.07,257,6.61,0.66,55.37,78.68,60.57,0.001,0.91,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1014.93,324.96,2016-05-31
"10",0.42,9.85,124,4.13,0.66,56.39,78.69,57.78,0.0043,0.87,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1015.21,330.22,2016-05-30
"11",0.2,9.99,72,3.48,0.61,53.82,81.22,55.26,0,0.83,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1016.41,332.08,2016-05-29
"12",0.04,10,271,5.59,0.68,58.55,80.71,60.02,4e-04,0.8,"NA","NA","clear-day","Clear throughout the day.",1014.98,340.91,2016-05-28
"13",0.33,9.92,219,8.91,0.72,63.86,82.16,67.13,0.0017,0.76,"NA","NA","rain","Drizzle in the evening.",1014.9,326.07,2016-05-27
"14",0.33,9.76,177,8.95,0.71,64.93,83.82,66.56,0.0042,0.72,"NA","NA","rain","Light rain starting in the evening.",1014.64,308.9,2016-05-26
"15",0.32,9.39,167,5.21,0.73,64.29,83.57,62.55,0.0018,0.69,"NA","NA","rain","Drizzle starting in the evening.",1013.49,308.32,2016-05-25
"16",0.26,9.67,215,7.75,0.72,63.62,82.75,64.2,0.0057,0.65,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1013.18,NA,2016-05-24
"17",0.09,10,200,6.84,0.54,56.36,82.65,64.2,1e-04,0.62,"NA","NA","rain","Light rain overnight.",1015.9,NA,2016-05-23
"18",0.01,9.99,226,6.05,0.46,45.69,83.59,49.4,0,0.59,"NA","NA","clear-day","Clear throughout the day.",1015.72,NA,2016-05-22
"19",0,9.91,195,2.16,0.48,38.5,77.35,42.53,0,0.56,"NA","NA","clear-day","Clear throughout the day.",1017.25,NA,2016-05-21
"20",0.1,10,30,5.84,0.55,42.96,69.57,51.83,0,0.53,"NA","NA","clear-day","Clear throughout the day.",1017.2,NA,2016-05-20
"21",0.03,10,24,5.27,0.51,42.7,72.35,52.72,0,0.48,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1018.18,NA,2016-05-19
"22",0.01,10,97,4.57,0.52,40.38,69.4,43.75,0,0.46,"NA","NA","clear-day","Clear throughout the day.",1022.18,NA,2016-05-18
"23",0.02,9.91,321,1.93,0.55,38.17,69.53,40.22,0,0.43,"NA","NA","clear-day","Clear throughout the day.",1022.75,NA,2016-05-17
"24",0.08,10,47,5.34,0.54,35.39,64.03,39.58,0,0.4,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1023.63,NA,2016-05-16
"25",0.32,10,39,4.5,0.62,42.02,63.32,47.61,1e-04,0.37,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1022,NA,2016-05-15
"26",0.14,9.97,243,11.11,0.52,34.75,67.11,38.1,3e-04,0.34,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1019.01,NA,2016-05-14
"27",0.3,9.74,289,9.77,0.62,28.03,47.03,34.57,1e-04,0.31,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1017.48,NA,2016-05-13
"28",NA,9.01,299,10.15,0.76,36.95,50.69,39.77,0.0115,0.28,"NA","NA","rain","Light rain in the morning and afternoon.",1010.06,NA,2016-05-12
"29",0.21,9.37,263,10.48,0.7,46.56,63.21,49.88,4e-04,0.25,"NA","NA","rain","Rain overnight.",1012.15,NA,2016-05-11
"30",0.33,7.33,202,5.05,0.85,57.8,72.94,57.21,0.0106,0.21,"NA","NA","rain","Rain in the evening.",1013.47,NA,2016-05-10
"31",0.5,9.68,95,4.68,0.78,51.02,66.64,50.21,0,0.18,"NA","NA","clear-day","Clear throughout the day.",1018.81,NA,2016-05-09
"32",0.66,8.47,102,9.82,0.74,42.07,53.79,47.48,0.0127,0.15,"NA","NA","rain","Rain starting in the afternoon.",1019.09,NA,2016-05-08
"33",0.04,10,120,5.23,0.51,34.37,64.71,38.57,0,0.11,"NA","NA","clear-day","Clear throughout the day.",1017.88,NA,2016-05-07
"34",0.07,10,281,7.31,0.43,30.66,65.87,39.54,0,0.07,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1012.67,NA,2016-05-06
"35",0.13,10,314,4.23,0.53,42.83,70.19,50.17,0,0.04,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1005.56,NA,2016-05-05
"36",0.01,9.98,276,2.4,0.59,40.84,71.7,41.75,0,0.01,"NA","NA","clear-day","Clear throughout the day.",1013.04,NA,2016-05-04
"37",0.29,9.61,14,8.47,0.72,43.76,64.51,44.84,2e-04,0.96,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1011.79,NA,2016-05-03
"38",0.5,8.41,182,1.22,0.79,43.9,54.93,47.04,0.0102,0.92,"NA","NA","rain","Rain in the afternoon and overnight.",1002.79,NA,2016-05-02
"39",0.17,9.11,266,5.5,0.62,38.2,64.36,38.03,7e-04,0.88,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1012.15,NA,2016-05-01
"40",NA,9.03,26,5.3,0.82,41.86,53.94,42.06,0.0133,0.85,"NA","NA","clear-day","Clear throughout the day.",1016.9,NA,2016-04-30
"41",NA,5.97,39,8.65,0.92,44.26,50.36,44.44,0.0093,0.81,"NA","NA","rain","Rain in the morning and overnight.",1015.87,NA,2016-04-29
"42",0.12,8.55,84,6.59,0.73,38,55.47,38.38,0.0091,0.77,"NA","NA","rain","Rain starting in the afternoon.",1019.62,NA,2016-04-28
"43",NA,9.94,36,5.24,0.74,36.91,49.79,40.62,7e-04,0.74,"NA","NA","clear-day","Clear throughout the day.",1019.3,NA,2016-04-27
"44",0.38,9.32,62,8.02,0.65,30.69,48.11,37.85,0.0113,0.7,"NA","NA","rain","Rain in the morning and afternoon.",1015.61,NA,2016-04-26
"45",0.04,10,62,9.11,0.56,30.39,59.28,34.44,0,0.67,"NA","NA","clear-day","Clear throughout the day.",1015.45,NA,2016-04-25
"46",0.54,6.03,23,7.46,0.9,42.07,51.98,39.03,0.0054,0.64,"NA","NA","fog","Foggy in the morning.",1010.27,NA,2016-04-24
"47",0.2,9.68,169,4.87,0.52,42.46,75.97,47.64,4e-04,0.61,"NA","NA","rain","Rain overnight.",1009.36,NA,2016-04-23
"48",0.03,10,139,5.24,0.46,32.64,66.67,39.4,0,0.58,"NA","NA","clear-day","Clear throughout the day.",1017.91,NA,2016-04-22
"49",0,10,45,4.87,0.6,31.95,57.54,34.32,0,0.55,"NA","NA","clear-day","Clear throughout the day.",1022.03,NA,2016-04-21
"50",0.39,6.2,25,5.03,0.88,49.11,56.23,46.49,0,0.52,"NA","NA","fog","Foggy in the morning.",1014.4,NA,2016-04-20
"51",0.53,8.3,174,4.77,0.8,48.28,60.87,48.43,0.0084,0.48,"NA","NA","rain","Light rain in the morning.",1012.09,NA,2016-04-19
"52",0.18,10,116,8.84,0.4,30.72,66.63,46.1,0,0.45,"NA","NA","rain","Light rain overnight.",1022.36,NA,2016-04-18
"53",0.16,9.89,54,8.45,0.62,38.49,60.85,44.73,3e-04,0.42,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1025.74,NA,2016-04-17
"54",0,9.95,272,4.61,0.45,41.72,79.84,48.74,0,0.39,"NA","NA","clear-day","Clear throughout the day.",1025.69,NA,2016-04-16
"55",0,9.93,125,2.69,0.41,35.88,77.7,40.95,0,0.36,"NA","NA","clear-day","Clear throughout the day.",1029.51,NA,2016-04-15
"56",0,9.97,132,4.85,0.41,34.2,75.51,42.32,0,0.33,"NA","NA","clear-day","Clear throughout the day.",1027.84,NA,2016-04-14
"57",0,10,115,4.98,0.49,31.02,69.51,33.78,0,0.3,"NA","NA","clear-day","Clear throughout the day.",1026.06,NA,2016-04-13
"58",0,9.99,98,5.74,0.52,27.51,59.53,32.58,0,0.26,"NA","NA","clear-day","Clear throughout the day.",1027.38,NA,2016-04-12
"59",0.2,10,144,5.68,0.59,27.5,51.99,31.13,0,0.23,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1028.79,NA,2016-04-11
"60",0.12,10,303,5.86,0.58,23.78,46.28,30.07,0,0.2,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1025.2,NA,2016-04-10
"61",0.31,6.97,260,10.61,0.74,36.51,52.69,35.65,0.0017,0.16,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1010.49,NA,2016-04-09
"62",0.67,6.16,161,12.04,0.77,24.4,38.78,27.51,0.0142,0.12,"NA","NA","rain","Mixed precipitation throughout the day.",1017.44,NA,2016-04-08
"63",0.28,8.42,342,7.73,0.62,15.33,31.32,23.02,8e-04,0.09,"NA","NA","snow","Light snow in the afternoon.",1019.7,NA,2016-04-07
"64",0.27,7.4,306,5.07,0.75,24.75,38.26,25.84,0.004,0.05,"NA","NA","rain","Mixed precipitation starting in the evening.",1008.4,NA,2016-04-06
"65",NA,6.42,307,9.75,0.86,31.83,40.27,32.19,0.0048,0.01,"NA","NA","rain","Light rain until afternoon.",1000.42,NA,2016-04-05
"66",0.58,8.52,170,8.53,0.75,31.99,47.14,32.19,0.0046,0.97,"NA","NA","rain","Light rain in the morning.",1007.17,NA,2016-04-04
"67",0.09,10,165,4.68,0.58,15.99,40.76,19.98,0,0.93,"NA","NA","partly-cloudy-night","Mostly cloudy overnight.",1030.15,NA,2016-04-03
"68",0.56,8.55,23,10.49,0.77,23.44,36.83,26.36,0,0.9,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1017.38,NA,2016-04-02
"69",0.28,9.96,206,5.57,0.66,23.11,50.55,21.19,0.0016,0.86,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1011.99,NA,2016-04-01
"70",0.35,7.75,286,6.76,0.8,26.79,37.43,26.44,0.0043,0.82,"NA","NA","snow","Mixed precipitation starting in the afternoon, continuing until evening.",1003.35,NA,2016-03-31
"71",0.33,9.98,274,11.47,0.68,32,48.26,37.84,5e-04,0.79,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1004.01,NA,2016-03-30
"72",0.35,7.67,208,14.69,0.86,52.55,61.77,50.48,0.0284,0.75,"NA","NA","rain","Heavy rain in the morning and evening.",996.76,NA,2016-03-29
"73",0.17,9.98,179,10.32,0.59,32.85,59.42,33.93,0.0013,0.72,"NA","NA","rain","Rain overnight.",1015.06,NA,2016-03-28
"74",0,10,350,2.53,0.62,25.92,50.78,29.19,0,0.69,"NA","NA","clear-day","Clear throughout the day.",1025.77,NA,2016-03-27
"75",0.51,8.91,305,11.84,0.83,37.58,48.21,35.7,0.0085,0.66,"NA","NA","rain","Rain in the morning.",1012.32,NA,2016-03-26
"76",0.08,9.76,162,6.28,0.64,36.9,68.86,33.51,9e-04,0.63,"NA","NA","rain","Light rain in the evening and overnight.",1015.24,NA,2016-03-25
"77",0,9.13,137,6.15,0.71,29.45,50.94,27.79,0,0.6,"NA","NA","clear-day","Clear throughout the day.",1023.62,NA,2016-03-24
"78",0.26,9.76,335,5.92,0.73,25.18,42.83,26.38,0,0.57,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1016,NA,2016-03-23
"79",NA,4.99,41,5.95,0.94,35.18,42.2,32.55,0.0176,0.54,"NA","NA","rain","Rain in the morning and afternoon.",1004.38,NA,2016-03-22
"80",NA,7.16,54,10.12,0.85,34.16,47.6,33.75,0.005,0.51,"NA","NA","rain","Light rain starting in the evening.",1013.25,NA,2016-03-21
"81",0.24,10,197,6.83,0.54,29.21,59.41,32.65,0,0.48,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1011.19,NA,2016-03-20
"82",0.15,10,294,7.07,0.52,18.51,44.19,27.38,0,0.45,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1019.59,NA,2016-03-19
"83",0.02,10,343,4.82,0.59,17.99,41.7,23.07,0,0.42,"NA","NA","clear-day","Clear throughout the day.",1021.35,NA,2016-03-18
"84",0.14,10,56,8.48,0.61,20.46,38.98,26.35,0,0.38,"NA","NA","clear-day","Clear throughout the day.",1023.15,NA,2016-03-17
"85",0.28,9.94,354,2.96,0.74,28.82,45.75,28.53,0,0.35,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1016.39,NA,2016-03-16
