"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.6,10,305,8.89,0.69,45.27,66.65,44.81,2e-04,0.2,"NA","NA","partly-cloudy-day","Mostly cloudy until evening.",1010.3,355.12,2016-06-08
"2",0.69,10,282,12.37,0.6,41.48,63.3,48.78,7e-04,0.16,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1001.33,370.93,2016-06-07
"3",0.53,9.72,284,7.83,0.69,49.19,66.26,53.33,0.0056,0.13,"NA","NA","rain","Light rain in the morning.",996.1,371.37,2016-06-06
"4",0.32,9.07,160,2.35,0.86,58.45,72.01,53.46,0.0072,0.1,"NA","NA","rain","Rain until evening, starting again overnight.",998.93,336.6,2016-06-05
"5",0.51,10,171,3.57,0.86,58.29,75.31,53.64,0.0241,0.06,"NA","NA","rain","Light rain in the morning.",1001.21,327.34,2016-06-04
"6",0.9,3.64,114,5.41,0.94,54.76,60.3,53.81,0.034,0.03,"NA","NA","rain","Heavy rain starting in the afternoon.",1012.4,322.86,2016-06-03
"7",0.76,6.26,161,2.13,0.84,58.39,77.6,54.87,0.0016,0.98,"NA","NA","fog","Foggy overnight.",1014.94,331.46,2016-06-02
"8",0.96,3.9,153,4.94,0.92,53.97,61.85,52.1,0.0011,0.95,"NA","NA","rain","Drizzle overnight.",1017.96,322.81,2016-06-01
"9",0.46,8.12,127,6.24,0.78,49.38,64.9,47.64,0,0.91,"NA","NA","fog","Foggy overnight.",1023.33,325.55,2016-05-31
"10",0.21,9.52,39,1.94,0.68,53.18,74.15,54.33,0,0.87,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1020.48,332.87,2016-05-30
"11",0.2,9.78,264,4.89,0.66,56.48,82.87,57.04,0,0.83,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1010.31,335.3,2016-05-29
"12",0.72,8.95,172,5.03,0.88,55.21,73.36,49.42,0.0023,0.8,"NA","NA","rain","Drizzle in the morning.",1014.41,303.42,2016-05-28
"13",0.75,9.67,116,5.96,0.81,52.49,64.06,50.5,0.0016,0.76,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1023.51,301.7,2016-05-27
"14",0.54,8.61,113,1.06,0.79,60.98,85.71,52.24,0.0029,0.72,"NA","NA","rain","Light rain starting in the afternoon.",1017.92,315.65,2016-05-26
"15",0.65,8.55,119,5.45,0.84,52.17,64.75,52.79,0.0026,0.69,"NA","NA","rain","Light rain in the morning.",1019.81,325.33,2016-05-25
"16",0.16,9.86,310,1.15,0.67,52.23,77.03,54.47,2e-04,0.65,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1018.28,342.13,2016-05-24
"17",0.09,7.69,192,4.17,0.84,55.32,72.64,53.24,0,0.62,"NA","NA","fog","Foggy in the morning.",1014.4,NA,2016-05-23
"18",0.15,9.86,80,4.11,0.84,53.42,63.3,52.94,6e-04,0.59,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1015.19,NA,2016-05-22
"19",0.06,10,28,4.26,0.64,47.47,78.07,48.7,0,0.56,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1012.96,NA,2016-05-21
"20",0.03,10,156,4.7,0.65,47.12,69.36,52.19,0,0.53,"NA","NA","clear-day","Clear throughout the day.",1011.35,NA,2016-05-20
"21",0.01,10,202,5.65,0.51,42.06,77.43,47.54,0,0.48,"NA","NA","clear-day","Clear throughout the day.",1017.47,NA,2016-05-19
"22",0.14,9.97,282,3.78,0.51,40.83,73.52,49.34,0,0.46,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1020.27,NA,2016-05-18
"23",0.14,10,190,3.99,0.58,39.62,65.74,43.68,0,0.43,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1019.35,NA,2016-05-17
"24",0.1,9.98,346,1.07,0.55,36.76,65.2,42.86,0,0.4,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1020.06,NA,2016-05-16
"25",0.13,10,304,8.11,0.46,31.47,64.74,42.8,0,0.37,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1016.54,NA,2016-05-15
"26",0.18,10,281,12.97,0.53,27.06,47.1,39.17,3e-04,0.34,"NA","NA","wind","Breezy in the evening and partly cloudy overnight.",1007.19,NA,2016-05-14
"27",0.21,9.96,269,6.84,0.7,41.83,55.32,46.03,0.0014,0.31,"NA","NA","rain","Drizzle in the afternoon.",998.76,NA,2016-05-13
"28",0.05,8.7,223,4.72,0.67,48.94,75.61,53.04,6e-04,0.28,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1003.12,NA,2016-05-12
"29",0.03,7.29,155,6.25,0.76,46.54,66.97,46.43,0.0014,0.25,"NA","NA","rain","Light rain overnight.",1011.98,NA,2016-05-11
"30",0,10,213,3.37,0.33,29.61,76.23,42.92,0,0.21,"NA","NA","clear-day","Clear throughout the day.",1019.03,NA,2016-05-10
"31",0,10,332,8.68,0.38,27.79,70.76,44.33,0,0.18,"NA","NA","clear-day","Clear throughout the day.",1019.32,NA,2016-05-09
"32",0.02,10,295,7.37,0.43,32.43,69.4,41.56,0,0.15,"NA","NA","clear-day","Clear throughout the day.",1018.07,NA,2016-05-08
"33",0.14,10,282,10.98,0.45,22.68,51.22,35.26,0,0.11,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1012.23,NA,2016-05-07
"34",NA,6.37,228,3.72,0.88,42.82,52.14,42.97,0.0033,0.07,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1002.64,NA,2016-05-06
"35",NA,9.59,106,2.72,0.85,44.66,54.06,43.82,1e-04,0.04,"NA","NA","fog","Foggy overnight.",1011.82,NA,2016-05-05
"36",0.09,9.98,29,5.01,0.7,42.76,65.9,45.01,8e-04,0.01,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1010.13,NA,2016-05-04
"37",NA,8.26,26,12.36,0.88,40.64,46.84,42.17,0.0039,0.96,"NA","NA","clear-day","Clear throughout the day.",1010.19,NA,2016-05-03
"38",NA,9.86,57,3.64,0.79,40.64,52.33,42.29,0.0036,0.92,"NA","NA","rain","Light rain starting in the evening.",1012.82,NA,2016-05-02
"39",0.26,9.75,1,3.89,0.8,39.9,51.88,40.01,4e-04,0.88,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1012.69,NA,2016-05-01
"40",NA,5.14,47,5.11,0.89,38.72,44.24,38.63,0.0234,0.85,"NA","NA","rain","Rain starting in the afternoon.",1018.1,NA,2016-04-30
"41",0.09,10,166,5.79,0.65,32.09,56.33,35.48,0,0.81,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1024.02,NA,2016-04-29
"42",0.02,10,177,1.86,0.65,31.97,59.32,31.48,0,0.77,"NA","NA","clear-day","Clear throughout the day.",1023.18,NA,2016-04-28
"43",0.05,10,162,2.38,0.5,21.75,49.74,27.16,0,0.74,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1022.16,NA,2016-04-27
"44",0.01,10,323,5.39,0.38,14.97,49.9,27.95,0,0.7,"NA","NA","clear-day","Clear throughout the day.",1017.03,NA,2016-04-26
"45",0.01,9.78,283,7.08,0.48,18.97,52.73,29.24,0,0.67,"NA","NA","clear-day","Clear throughout the day.",1010.43,NA,2016-04-25
"46",0.07,7.85,4,1.87,0.67,22.59,38.37,29.95,0.0026,0.64,"NA","NA","snow","Mixed precipitation until afternoon.",1012.04,NA,2016-04-24
"47",0,10,299,6.99,0.3,14.97,56.89,33.87,0,0.61,"NA","NA","clear-day","Clear throughout the day.",1015.17,NA,2016-04-23
"48",0,10,342,10.27,0.3,12.25,52.35,33.87,0,0.58,"NA","NA","clear-day","Clear throughout the day.",1016.02,NA,2016-04-22
"49",0.12,10,350,11.52,0.6,39.16,58.94,45.22,0,0.55,"NA","NA","clear-day","Clear throughout the day.",1010.11,NA,2016-04-21
"50",0.11,10,182,2.34,0.48,36.49,68.78,44.27,0,0.52,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1011.58,NA,2016-04-20
"51",0,9.99,270,5.06,0.32,22.22,73.24,37.73,0,0.48,"NA","NA","clear-day","Dry throughout the day.",1016.28,NA,2016-04-19
"52",0.07,10,342,10.42,0.43,23.59,55.94,37.1,0,0.45,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1021.55,NA,2016-04-18
"53",0.25,8.67,338,2.9,0.73,35.28,54.97,39.21,0.0124,0.42,"NA","NA","rain","Light rain in the morning and afternoon.",1016.89,NA,2016-04-17
"54",0.14,9.67,358,4.5,0.55,32.47,58.83,40.45,0.0061,0.39,"NA","NA","rain","Rain starting in the evening.",1023.24,NA,2016-04-16
"55",0,10,190,1.64,0.48,27.09,67.76,31.34,0,0.36,"NA","NA","clear-day","Clear throughout the day.",1028.61,NA,2016-04-15
"56",0,10,24,9.84,0.39,20.13,58.11,33.21,0,0.33,"NA","NA","clear-day","Clear throughout the day.",1033.07,NA,2016-04-14
"57",0,10,5,12.52,0.29,12.35,55.07,32.12,0,0.3,"NA","NA","clear-day","Clear throughout the day.",1031.42,NA,2016-04-13
"58",0,10,7,10.03,0.37,16.5,53.11,33.11,0,0.26,"NA","NA","clear-day","Clear throughout the day.",1029.45,NA,2016-04-12
"59",0.08,10,330,5.8,0.52,23.92,49.8,33.01,0,0.23,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1027.2,NA,2016-04-11
"60",NA,6.91,215,4.13,0.87,41.69,50.02,37.44,0.0141,0.2,"NA","NA","rain","Rain until evening.",1015.77,NA,2016-04-10
"61",NA,9.96,173,6.75,0.68,29.42,46.99,29.51,4e-04,0.16,"NA","NA","clear-day","Clear throughout the day.",1022.38,NA,2016-04-09
