"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.27,10,295,5.78,0.57,52.7,77.41,60.32,0,0.2,"NA","NA","partly-cloudy-night","Partly cloudy starting in the afternoon.",1017.41,344.63,2016-06-08
"2",0.01,9.98,280,8.23,0.5,47.55,79.63,56.64,0,0.16,"NA","NA","clear-day","Clear throughout the day.",1014.25,347.26,2016-06-07
"3",0.11,9.99,288,8.85,0.52,47.99,70.85,60.63,6e-04,0.13,"NA","NA","rain","Drizzle until afternoon.",1008.44,358.66,2016-06-06
"4",0.13,9.91,274,3.43,0.66,63.53,83.21,69.6,7e-04,0.1,"NA","NA","clear-day","Clear throughout the day.",1002.33,334.43,2016-06-05
"5",0.39,10,221,6.22,0.74,66.53,83.44,68.97,0.0021,0.06,"NA","NA","partly-cloudy-night","Mostly cloudy starting in the evening.",1006.76,315.04,2016-06-04
"6",0.89,6.88,184,6.46,0.87,70.51,82.04,70.73,0.0318,0.03,"NA","NA","rain","Rain in the morning and afternoon.",1007.89,304.11,2016-06-03
"7",0.89,7.63,151,4.74,0.87,69.49,78.2,69.42,9e-04,0.98,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1015.47,307.08,2016-06-02
"8",0.87,5.08,116,3.96,0.92,68.4,74.38,68.73,0.0071,0.95,"NA","NA","rain","Light rain in the morning and afternoon.",1016.81,313.37,2016-06-01
"9",0.58,7.39,92,4.48,0.86,66.82,76.47,66.2,5e-04,0.91,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1018.34,322.77,2016-05-31
"10",0.27,8.52,124,2.69,0.79,66.88,82.67,65.75,5e-04,0.87,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1017.09,334.97,2016-05-30
"11",0.37,9.55,153,1.55,0.85,68.33,80.33,66.98,0.0021,0.83,"NA","NA","rain","Drizzle until afternoon.",1014.62,329.73,2016-05-29
"12",0.71,9.33,160,2.5,0.91,68.23,75.46,67.93,0.0195,0.8,"NA","NA","rain","Light rain until evening.",1015.81,309.44,2016-05-28
"13",0.5,9.2,158,4.01,0.85,66.53,79.15,63.71,0.0067,0.76,"NA","NA","rain","Light rain starting in the afternoon.",1019.85,309.37,2016-05-27
"14",0.13,9.85,163,8.37,0.74,64.94,81.11,67.82,0,0.72,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1020.41,324.26,2016-05-26
"15",0.17,9.15,165,7.98,0.77,66.95,82.39,68.75,0.0014,0.69,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1018.03,325.28,2016-05-25
"16",0.32,8.78,182,7.11,0.72,62.88,82.04,63.65,0,0.65,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1018.65,322.78,2016-05-24
"17",0.06,9.65,240,6.6,0.56,55.55,84.42,62.83,0,0.62,"NA","NA","clear-day","Clear throughout the day.",1019.15,NA,2016-05-23
"18",0.15,9.02,278,7.09,0.62,53.61,81.26,58.77,0.0013,0.59,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1014.47,NA,2016-05-22
"19",0.34,6.44,327,4.04,0.87,56.97,68.8,56.86,0.02,0.56,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1012.89,NA,2016-05-21
"20",0.71,5.97,356,8.79,0.92,53.64,59.49,53.69,0.0042,0.53,"NA","NA","rain","Light rain in the evening and overnight.",1010.89,NA,2016-05-20
"21",0.32,7.06,40,8.51,0.84,52.7,64.4,54.46,0.0129,0.48,"NA","NA","rain","Rain in the morning and afternoon.",1016.08,NA,2016-05-19
"22",0.07,9.71,137,1.32,0.6,47.39,72.48,52.56,0,0.46,"NA","NA","clear-day","Dry throughout the day.",1023.14,NA,2016-05-18
"23",0.31,10,3,1.77,0.68,49.98,67.7,55.8,0,0.43,"NA","NA","clear-day","Clear throughout the day.",1019.74,NA,2016-05-17
"24",NA,8.02,20,6.73,0.73,48.86,63.62,52.86,0,0.4,"NA","NA","clear-day","Clear throughout the day.",1019.31,NA,2016-05-16
"25",0.25,8.07,257,1.35,0.83,50.5,58.24,53.23,0.0083,0.37,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1022.42,NA,2016-05-15
"26",0.13,10,278,8.43,0.48,34.51,65.4,44.87,0,0.34,"NA","NA","clear-day","Clear throughout the day.",1021.85,NA,2016-05-14
"27",0.25,10,289,17.01,0.47,34.05,59.46,48.8,0,0.31,"NA","NA","wind","Breezy until afternoon and partly cloudy until evening.",1013.35,NA,2016-05-13
"28",0.13,9.29,269,7.64,0.68,51.55,72.17,54.92,0.0046,0.28,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1008.39,NA,2016-05-12
"29",0.31,7.18,187,6.3,0.87,59.8,73.19,61.37,8e-04,0.25,"NA","NA","fog","Foggy in the morning.",1011.38,NA,2016-05-11
"30",NA,6.53,227,1.5,0.92,58.5,64.71,56.83,0,0.21,"NA","NA","fog","Foggy in the morning.",1019.2,NA,2016-05-10
"31",0.66,5.57,37,4.09,0.91,53.13,57.43,52.29,0.0175,0.18,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1021.65,NA,2016-05-09
"32",0.31,9.64,43,5.47,0.71,47.78,59.74,54.63,4e-04,0.15,"NA","NA","partly-cloudy-day","Mostly cloudy in the morning.",1022.78,NA,2016-05-08
"33",0.27,10,236,5.04,0.72,48.09,62.17,49.67,0,0.11,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1018.26,NA,2016-05-07
"34",0.14,9.5,283,8.79,0.59,44.72,69.54,54.66,4e-04,0.07,"NA","NA","wind","Breezy until afternoon and dry throughout the day.",1008.37,NA,2016-05-06
"35",0.49,8.3,81,1.72,0.82,49.79,60.51,50.77,0.0017,0.04,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1007.28,NA,2016-05-05
"36",0.42,6.45,18,3.38,0.9,49.24,53.97,50.74,0.0242,0.01,"NA","NA","rain","Rain until evening, starting again overnight.",1004.41,NA,2016-05-04
"37",NA,7.23,38,9.2,0.85,48.01,54.77,50.63,8e-04,0.96,"NA","NA","clear-day","Clear throughout the day.",1004.39,NA,2016-05-03
"38",NA,8.58,61,8.15,0.91,51.62,56.74,51.54,0.0033,0.92,"NA","NA","clear-day","Clear throughout the day.",1006.31,NA,2016-05-02
"39",0.56,5.48,46,6.62,0.93,58.04,62.62,56.88,0.0017,0.88,"NA","NA","rain","Light rain in the morning and overnight.",1008.76,NA,2016-05-01
"40",0.29,5.51,116,4.25,0.93,57.15,68.2,54.57,0.0179,0.85,"NA","NA","rain","Rain starting in the evening.",1013.34,NA,2016-04-30
"41",NA,6.5,127,8.07,0.91,50.83,55.63,51.63,0.0133,0.81,"NA","NA","rain","Rain until afternoon, starting again overnight.",1019.27,NA,2016-04-29
"42",NA,8.27,83,4.14,0.81,47.8,58.14,49.69,4e-04,0.77,"NA","NA","clear-day","Clear throughout the day.",1022,NA,2016-04-28
"43",NA,6.44,57,7.14,0.92,47.5,52.74,47.63,0,0.74,"NA","NA","fog","Foggy in the morning.",1017.34,NA,2016-04-27
"44",0.77,7.15,76,8.29,0.87,48.02,54.8,46.54,0.0054,0.7,"NA","NA","rain","Rain until afternoon.",1015.21,NA,2016-04-26
"45",0.67,9.04,77,7.46,0.83,50.27,68.51,51.74,4e-04,0.67,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1011.73,NA,2016-04-25
"46",0.14,9.5,245,13.17,0.57,56.33,84.57,61.97,0,0.64,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1006.44,NA,2016-04-24
"47",0.1,10,184,10.65,0.71,51.58,70.19,51.95,0,0.61,"NA","NA","clear-day","Clear throughout the day.",1014.46,NA,2016-04-23
"48",0.1,10,21,5.29,0.37,29.67,61.98,49.35,0,0.58,"NA","NA","clear-day","Clear throughout the day.",1018.23,NA,2016-04-22
"49",0.27,8.81,355,6.29,0.74,52.73,66.5,58.55,0.0038,0.55,"NA","NA","rain","Light rain until afternoon.",1011.14,NA,2016-04-21
"50",0.2,10,195,10.38,0.78,59.73,74.46,61.36,0,0.52,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1013.02,NA,2016-04-20
"51",0.12,9.8,188,11.71,0.66,47.86,67.52,49.06,0,0.48,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1019.84,NA,2016-04-19
"52",0.11,9.94,70,2.8,0.38,31.58,64.27,51.05,0,0.45,"NA","NA","clear-day","Clear throughout the day.",1024.02,NA,2016-04-18
"53",0.09,9.9,345,6.34,0.45,43.2,81.51,56.84,0,0.42,"NA","NA","clear-day","Clear throughout the day.",1017.38,NA,2016-04-17
"54",0.11,9.98,229,1.09,0.44,37.91,73.81,49.75,0,0.39,"NA","NA","clear-day","Dry throughout the day.",1022.66,NA,2016-04-16
"55",0.08,10,140,1.43,0.56,39.48,63.72,45.36,0,0.36,"NA","NA","clear-day","Clear throughout the day.",1029.54,NA,2016-04-15
"56",0.04,10,64,0.44,0.56,36.62,62.54,42.25,0,0.33,"NA","NA","clear-day","Clear throughout the day.",1030.3,NA,2016-04-14
"57",0.09,10,132,3.3,0.58,37.32,59.4,43.16,0,0.3,"NA","NA","clear-day","Clear throughout the day.",1029.46,NA,2016-04-13
"58",0.1,9.94,136,1.93,0.57,34.76,58.08,39.67,0,0.26,"NA","NA","clear-day","Clear throughout the day.",1026.78,NA,2016-04-12
"59",0.1,10,38,9.46,0.49,29.86,52.99,44.12,0,0.23,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1027.75,NA,2016-04-11
"60",0.25,9.77,261,4.06,0.58,42.2,64.19,51.51,0.0033,0.2,"NA","NA","rain","Light rain in the morning.",1017.85,NA,2016-04-10
"61",0.28,10,179,16.99,0.6,40.76,64.23,46.78,0,0.16,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1020.15,NA,2016-04-09
"62",0.1,10,219,3.55,0.51,22.52,47.94,32.56,0,0.12,"NA","NA","clear-day","Clear throughout the day.",1026.7,NA,2016-04-08
"63",0.43,9.26,293,10.1,0.67,31.15,48.34,36.77,0.005,0.09,"NA","NA","rain","Light rain in the morning and evening.",1009.62,NA,2016-04-07
"64",0.21,10,284,14.2,0.49,28.79,51.52,42.83,0,0.05,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1006.41,NA,2016-04-06
"65",0.24,8.6,199,10.42,0.81,47.42,60.82,49,0.0125,0.01,"NA","NA","rain","Rain in the morning and evening.",1002.43,NA,2016-04-05
"66",0.08,9.94,163,13.28,0.54,28.2,51.03,33.08,0,0.97,"NA","NA","clear-day","Clear throughout the day.",1023.87,NA,2016-04-04
"67",0.15,10,354,15.92,0.43,15.75,42.79,31.53,0,0.93,"NA","NA","wind","Breezy in the morning.",1025.27,NA,2016-04-03
"68",0.13,9.43,230,8.96,0.58,40.47,72.38,44.21,0.0067,0.9,"NA","NA","rain","Rain in the evening.",1010.73,NA,2016-04-02
"69",0.15,10,291,17.72,0.41,20.86,50.74,37.61,0,0.86,"NA","NA","wind","Windy and partly cloudy in the morning.",1011.08,NA,2016-04-01
"70",0.49,9.45,280,2.66,0.67,44.34,65.86,48.8,0.005,0.82,"NA","NA","rain","Light rain in the morning and windy overnight.",1000.32,NA,2016-03-31
"71",0.27,9.92,195,14.14,0.76,59.01,78.85,58.89,8e-04,0.79,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1003.73,NA,2016-03-30
"72",0.22,9.94,181,17.35,0.68,49.58,72.8,49.86,0,0.75,"NA","NA","partly-cloudy-night","Partly cloudy starting in the afternoon.",1014.8,NA,2016-03-29
"73",0.09,10,143,7.84,0.5,29.85,54.65,41.68,0,0.72,"NA","NA","clear-day","Clear throughout the day.",1026.15,NA,2016-03-28
"74",0.11,10,306,16.38,0.41,28.29,56.79,46.66,0,0.69,"NA","NA","clear-day","Clear throughout the day.",1018.33,NA,2016-03-27
"75",0.33,7.05,292,10.57,0.71,43.03,67.43,46.33,0.0075,0.66,"NA","NA","rain","Light rain in the morning and windy starting in the afternoon, continuing until evening.",1009.11,NA,2016-03-26
"76",NA,7.99,89,6.83,0.84,44.84,53.88,46.54,8e-04,0.63,"NA","NA","rain","Rain overnight.",1025.39,NA,2016-03-25
"77",0.09,10,29,5.51,0.6,34.05,51.79,41.49,0,0.6,"NA","NA","partly-cloudy-night","Partly cloudy in the evening.",1024.38,NA,2016-03-24
"78",0.28,9.98,225,5.21,0.67,48.91,66.08,52.66,0,0.57,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1009.04,NA,2016-03-23
"79",0.08,10,178,9.75,0.56,42.1,66.69,49.67,0,0.54,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1013.04,NA,2016-03-22
"80",0.08,10,198,7.5,0.36,28.91,66.04,45,0,0.51,"NA","NA","clear-day","Clear throughout the day.",1015.19,NA,2016-03-21
"81",0.13,10,203,5.73,0.54,28.75,60,35.84,0,0.48,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1020.43,NA,2016-03-20
"82",0.2,9.88,305,12.74,0.56,25.33,50.66,34.89,0,0.45,"NA","NA","wind","Partly cloudy in the afternoon and breezy starting in the afternoon, continuing until evening.",1014.33,NA,2016-03-19
"83",NA,8.65,44,10.55,0.73,31.06,41.8,36.89,0,0.42,"NA","NA","clear-day","Clear throughout the day.",1016.79,NA,2016-03-18
"84",0.29,8.3,38,8.02,0.73,34.23,52.8,37.54,0.005,0.38,"NA","NA","rain","Light rain starting in the evening.",1018.25,NA,2016-03-17
"85",0.19,10,281,9.41,0.4,30.04,63,45.19,0,0.35,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1012.4,NA,2016-03-16
"86",0.18,8.98,303,3.52,0.6,38.47,66.2,46.61,0,0.32,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1010.92,NA,2016-03-15
"87",0.14,7.44,148,5.18,0.79,46.84,64.32,44.71,0,0.28,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1008.97,NA,2016-03-14
