"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.72,9.22,124,7.8,0.69,63.6,88.23,62.42,0.0048,0.17,"NA","NA","rain","Light rain in the morning.",1008.34,326.34,2016-06-08
"2",0.23,9.87,114,3.66,0.59,50.31,77.64,52.95,1e-04,0.13,"NA","NA","rain","Light rain overnight.",1013.94,338.71,2016-06-07
"3",0.1,10,337,4.32,0.56,45.26,71.42,51.45,1e-04,0.1,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1013.58,352.09,2016-06-06
"4",0.25,9.89,319,6.76,0.65,51.16,68.51,56.8,0.0044,0.06,"NA","NA","rain","Light rain starting in the afternoon.",1007.24,349.01,2016-06-05
"5",0.07,8.51,292,8.73,0.63,53.31,80.87,54.65,7e-04,0.03,"NA","NA","clear-day","Clear throughout the day.",1006.38,329.04,2016-06-04
"6",0.47,8.53,297,3.77,0.83,59.19,70.87,58.71,0.0105,0.98,"NA","NA","rain","Light rain until evening.",1008.42,364.95,2016-06-03
"7",0.73,8.59,148,4.72,0.77,57.26,70.39,58.55,0.02,0.95,"NA","NA","rain","Rain starting in the afternoon.",1012.79,341.84,2016-06-02
"8",0.2,9.76,285,4.48,0.62,49.71,72.15,55.84,0,0.91,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1016.12,348.77,2016-06-01
"9",0.26,9.69,234,8.35,0.68,50.46,65.11,57.58,0,0.87,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1011.49,364.07,2016-05-31
"10",0.57,9.28,168,6.55,0.77,60.08,70.92,62.96,0.0134,0.84,"NA","NA","rain","Rain until evening.",1010.71,331.84,2016-05-30
