"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.54,9.78,291,6.37,0.58,50.45,77.93,54.23,0.0064,0.17,"NA","NA","rain","Light rain until evening.",1006.04,313.01,2016-06-09
"2",0.36,9.89,229,2.91,0.54,50.87,82.97,55.73,0.0036,0.13,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1006.07,302.61,2016-06-08
"3",0.34,9.96,287,0.78,0.52,51.7,85.34,59.17,0.0084,0.1,"NA","NA","rain","Light rain in the morning and afternoon.",1007.95,303.12,2016-06-07
"4",0.02,10,117,0.96,0.47,48.68,86.8,53.37,0,0.06,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1012.4,308.06,2016-06-06
"5",0.02,10,11,3.11,0.42,42.88,82.6,50.92,0,0.03,"NA","NA","clear-day","Clear throughout the day.",1015.63,301.77,2016-06-05
"6",0.02,10,298,1.56,0.45,43.09,82.32,47.97,0,0.98,"NA","NA","clear-day","Clear throughout the day.",1020.82,297.39,2016-06-04
"7",0.41,10,283,9.55,0.5,42.37,73.61,50.59,0,0.95,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1020.59,313.49,2016-06-03
"8",0.66,9.92,268,8.9,0.53,42.82,66.72,53.36,0.0017,0.91,"NA","NA","rain","Drizzle in the morning.",1012.21,344.39,2016-06-02
"9",0.44,9.79,233,2.63,0.51,36.08,71.5,38.61,0.002,0.88,"NA","NA","rain","Light rain in the evening.",1013.54,341.1,2016-06-01
"10",0.19,10,0,2.43,0.58,34.66,61.02,38.99,0,0.84,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1021.06,349.93,2016-05-31
"11",0.24,10,317,7.41,0.55,35.68,60.29,44.39,0.0015,0.8,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1017.77,367.3,2016-05-30
"12",0.31,10,261,2.66,0.51,35.02,67.05,40.31,0.0038,0.76,"NA","NA","rain","Light rain starting in the afternoon.",1014.87,360.89,2016-05-29
"13",0.25,9.99,280,6.58,0.54,31.99,59.98,37.08,4e-04,0.73,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1015.1,365.7,2016-05-28
"14",0.52,8.89,279,3.41,0.74,40.74,55.82,42.8,0.0129,0.69,"NA","NA","rain","Light rain until evening.",1010.99,356.53,2016-05-27
"15",0.27,9.72,278,2.19,0.7,43.28,64.96,44.44,0.0036,0.66,"NA","NA","rain","Light rain in the evening and overnight.",1013.65,356.99,2016-05-26
"16",0.19,9.99,255,6.95,0.64,39.93,68.86,39.85,5e-04,0.62,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1013.92,NA,2016-05-25
"17",0.39,9.87,220,1.05,0.72,40.43,59.57,42.32,0.0039,0.59,"NA","NA","rain","Light rain in the evening.",1013.76,NA,2016-05-24
"18",0.37,9.99,260,7.83,0.58,34.63,53.93,45.46,0.0015,0.56,"NA","NA","rain","Light rain overnight.",1009.67,NA,2016-05-23
"19",0.22,10,240,11.07,0.57,33.24,58.45,38.27,0,0.53,"NA","NA","wind","Breezy in the morning and partly cloudy starting in the afternoon, continuing until evening.",1008.41,NA,2016-05-22
"20",0.38,9.09,292,3.49,0.83,41.41,50.69,42.96,0.0094,0.49,"NA","NA","rain","Rain until afternoon, starting again in the evening.",1009.79,NA,2016-05-21
"21",0.26,9.26,303,6.16,0.8,42.41,53.75,43.96,0.0096,0.46,"NA","NA","rain","Rain starting in the evening.",1009.12,NA,2016-05-20
"22",0.14,9.65,241,4.67,0.7,43.56,57.66,48.59,0.0016,0.43,"NA","NA","rain","Drizzle in the morning.",1005.95,NA,2016-05-19
"23",0.11,10,260,4.99,0.51,41.81,77.3,46.19,0,0.4,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1014.49,NA,2016-05-18
"24",0.15,10,214,2.3,0.55,40.22,71.57,45.56,0,0.37,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1020.78,NA,2016-05-17
"25",0.36,9.97,269,0.68,0.7,39.48,59.43,42.84,8e-04,0.34,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1019.87,NA,2016-05-16
"26",0.32,9.22,334,5.3,0.7,35.9,48.08,41.46,0.007,0.31,"NA","NA","rain","Light rain in the afternoon and evening.",1016.66,NA,2016-05-15
"27",0.26,9.99,52,5.28,0.49,30.48,59.46,41.53,0,0.28,"NA","NA","clear-day","Clear throughout the day.",1023.99,NA,2016-05-14
"28",NA,9.98,344,4.63,0.62,32.15,51.34,38.43,0,0.25,"NA","NA","partly-cloudy-day","Mostly cloudy until afternoon.",1029.96,NA,2016-05-13
"29",0.08,9.98,344,5.81,0.64,35.66,65.99,37.24,1e-04,0.22,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1022.34,NA,2016-05-12
"30",0.21,10,254,5.49,0.61,31.97,57.43,32.03,0,0.18,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1026.36,NA,2016-05-11
"31",0.57,8.46,321,10.15,0.76,31.73,42.65,35.24,0.0029,0.15,"NA","NA","rain","Light rain in the morning.",1024.32,NA,2016-05-10
"32",0.48,9.39,327,11.18,0.73,34.48,58.24,37.73,0.0052,0.11,"NA","NA","rain","Light rain starting in the afternoon.",1009.81,NA,2016-05-09
"33",0.05,10,262,7.52,0.44,38.32,79.53,47.39,3e-04,0.08,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1002.13,NA,2016-05-08
"34",0.17,9.98,73,3.52,0.52,41.03,75.41,48.37,0,0.04,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1014.95,NA,2016-05-07
"35",0.24,9.94,343,10.44,0.67,41.59,57.32,49.61,1e-04,0.01,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1021.46,NA,2016-05-06
"36",0.03,10,23,2.66,0.38,36.77,80.87,49.34,0,0.96,"NA","NA","clear-day","Clear throughout the day.",1011.49,NA,2016-05-05
"37",0.06,10,232,5.14,0.36,33.33,82.42,45.2,0,0.92,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1014.84,NA,2016-05-04
"38",0,10,182,1.45,0.37,31.43,79.65,39.96,0,0.89,"NA","NA","clear-day","Clear throughout the day.",1019.76,NA,2016-05-03
"39",0,10,273,1.04,0.45,29.72,74.38,36.62,0,0.85,"NA","NA","clear-day","Clear throughout the day.",1022.31,NA,2016-05-02
"40",0,10,294,1.71,0.57,32.62,66.17,34.72,0,0.81,"NA","NA","clear-day","Clear throughout the day.",1026.38,NA,2016-05-01
"41",0.41,10,344,4.93,0.64,34.81,51.73,40.94,4e-04,0.78,"NA","NA","partly-cloudy-night","Mostly cloudy in the morning.",1022.99,NA,2016-04-30
