"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.11,9.8,27,2.5,0.52,58.08,94.5,63.24,0,0.17,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1015.21,299.83,2016-06-08
"2",0.05,9.91,343,2.6,0.57,61.29,89.77,69.05,0,0.13,"NA","NA","clear-day","Clear throughout the day.",1013.09,304.2,2016-06-07
"3",0.03,9.94,312,3.35,0.65,66.89,93.13,71.34,6e-04,0.1,"NA","NA","clear-day","Clear throughout the day.",1009.24,303.76,2016-06-06
"4",0.41,9.88,48,1.68,0.85,73.71,84.54,74.17,0.0181,0.06,"NA","NA","rain","Light rain throughout the day.",1009.24,288.94,2016-06-05
"5",0.87,7.65,182,2.86,0.82,72,85.41,73.66,0.0278,0.03,"NA","NA","rain","Light rain throughout the day.",1011.56,294.98,2016-06-04
"6",0.76,8.22,182,4.17,0.81,72.72,86.88,74.65,0.0136,0.98,"NA","NA","rain","Rain throughout the day.",1013.95,292.45,2016-06-03
"7",0.31,8.62,175,2.56,0.65,68.69,94.47,70.64,0.0073,0.95,"NA","NA","rain","Light rain starting in the afternoon.",1015.63,304.56,2016-06-02
"8",0.34,9,181,2.69,0.68,68.88,92.56,71.19,0.0044,0.91,"NA","NA","rain","Rain in the evening.",1015.98,311.49,2016-06-01
"9",0.29,9.06,195,2.32,0.69,68.18,93.63,68.83,0.0033,0.87,"NA","NA","rain","Light rain in the afternoon.",1014.37,321.75,2016-05-31
"10",0.22,9.85,287,1.08,0.67,66.65,93.99,68.46,0.0028,0.84,"NA","NA","rain","Light rain in the evening.",1012.72,326.99,2016-05-30
"11",0.19,9.78,310,2.34,0.68,67.7,93.23,68.74,0.0021,0.8,"NA","NA","rain","Light rain starting in the evening.",1014.95,328.71,2016-05-29
"12",0.21,10,334,2.23,0.68,67.18,90.1,69.45,2e-04,0.76,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1017.8,325.92,2016-05-28
"13",0.51,10,112,1.7,0.71,66.68,84.99,69.13,7e-04,0.73,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1017.35,308.27,2016-05-27
"14",0.29,9.23,124,4.82,0.67,65.49,88.21,67.14,0.0014,0.69,"NA","NA","rain","Light rain in the afternoon.",1016.49,302.61,2016-05-26
"15",0.13,9.81,175,4.08,0.67,64.26,88.9,66.77,0,0.65,"NA","NA","clear-day","Clear throughout the day.",1019.26,306.58,2016-05-25
"16",0.1,9.96,175,4.35,0.64,60.98,88.17,61.79,0,0.62,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1021.21,NA,2016-05-24
"17",0,9.6,195,0.54,0.62,57.32,87.4,59.88,0,0.59,"NA","NA","clear-day","Clear throughout the day.",1018.97,NA,2016-05-23
"18",0.01,9.83,327,0.71,0.62,54.62,83.98,56.95,0,0.56,"NA","NA","clear-day","Clear throughout the day.",1015.37,NA,2016-05-22
"19",0,10,352,6.73,0.58,53.44,81.52,60.21,0,0.53,"NA","NA","clear-day","Clear throughout the day.",1015.46,NA,2016-05-21
"20",0.28,9.2,278,5.58,0.73,64.67,84.67,67.72,1e-04,0.48,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1015.84,NA,2016-05-20
"21",0.24,9.76,155,6.52,0.83,66.75,77.24,67.83,0.0163,0.46,"NA","NA","rain","Rain in the morning.",1015.33,NA,2016-05-19
"22",0.24,9.98,351,3.84,0.71,65.09,84.85,67.35,3e-04,0.43,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1014.88,NA,2016-05-18
"23",0.48,9.74,44,2.92,0.81,67.95,83.45,68.53,0,0.4,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1014.62,NA,2016-05-17
"24",0.47,9.9,98,2.23,0.76,64.21,77.32,68.54,0.0037,0.37,"NA","NA","rain","Light rain starting in the evening.",1015.77,NA,2016-05-16
"25",0.07,10,54,5.29,0.56,51.37,79.88,56.47,0,0.34,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1019.62,NA,2016-05-15
"26",0.05,10,8,6.49,0.52,46.18,75.65,58.68,0,0.31,"NA","NA","clear-day","Clear throughout the day.",1019.57,NA,2016-05-14
"27",0,9.95,289,4.92,0.63,55.1,82.58,55.33,0,0.28,"NA","NA","clear-day","Clear throughout the day.",1016.12,NA,2016-05-13
"28",0.16,9.87,323,4.95,0.69,60.46,82.73,63.73,0.006,0.25,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1017.46,NA,2016-05-12
"29",0.14,9.97,226,3.73,0.7,65.6,87.24,68.68,0.0103,0.22,"NA","NA","rain","Heavy rain overnight.",1018.58,NA,2016-05-11
"30",0.08,8.75,174,2.07,0.71,64.2,86.73,63.88,0,0.18,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1020.1,NA,2016-05-10
"31",0.27,10,174,6.6,0.72,64.08,83.5,65.78,0,0.15,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1018.63,NA,2016-05-09
"32",0.13,10,179,4.59,0.67,58.12,79.7,61.38,0,0.11,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1017.58,NA,2016-05-08
"33",0.01,9.72,217,3.14,0.61,54.62,86.38,54.28,0,0.07,"NA","NA","clear-day","Clear throughout the day.",1016.42,NA,2016-05-07
"34",0,9.67,264,3.92,0.64,50.22,79.92,48.54,0,0.04,"NA","NA","clear-day","Clear throughout the day.",1016.53,NA,2016-05-06
"35",0.05,10,340,7.4,0.56,44.27,74.14,48.73,0,0.01,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1014.85,NA,2016-05-05
