"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.14,10,185,12.86,0.66,69.79,97.04,69.7,0.0017,0.2,"NA","NA","rain","Drizzle in the morning.",1009.53,323.29,2016-06-09
"2",0.27,9.96,189,13.91,0.56,64.18,95.37,70.7,8e-04,0.17,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1008.28,327.91,2016-06-08
"3",0.1,9.98,161,8.57,0.57,60.23,90.97,62.58,8e-04,0.13,"NA","NA","clear-day","Clear throughout the day.",1010.47,324.35,2016-06-07
"4",0,10,8,0.92,0.57,51.81,82.91,54.75,0,0.1,"NA","NA","clear-day","Clear throughout the day.",1014.45,317.54,2016-06-06
"5",0.03,10,327,6.97,0.54,53.85,85.45,58.26,0,0.06,"NA","NA","clear-day","Clear throughout the day.",1011.33,323.76,2016-06-05
"6",0,9.38,296,6.78,0.56,54.24,87.18,57.71,0,0.03,"NA","NA","clear-day","Clear throughout the day.",1012.56,318.26,2016-06-04
"7",0.07,10,320,10.42,0.67,58.22,81.89,60.22,8e-04,0.98,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1013.24,344.66,2016-06-03
"8",0.06,9.9,197,8.53,0.57,58.02,87.47,61.93,0.002,0.95,"NA","NA","rain","Light rain starting in the evening.",1013.23,338.2,2016-06-02
"9",0.02,9.56,203,3.97,0.58,54.07,85.16,54.59,1e-04,0.91,"NA","NA","clear-day","Clear throughout the day.",1016.41,338.2,2016-06-01
"10",0.01,9.82,306,4.41,0.58,51.15,78.72,55.53,0,0.87,"NA","NA","clear-day","Clear throughout the day.",1015.77,345.53,2016-05-31
"11",0.42,10,309,3.14,0.72,58.8,76.38,62.92,0.008,0.84,"NA","NA","rain","Light rain until afternoon.",1012.47,328.05,2016-05-30
"12",0.17,9.92,172,6.74,0.71,62.15,84.28,60.6,0.0035,0.8,"NA","NA","rain","Light rain in the morning and afternoon.",1013.18,336.21,2016-05-29
"13",0.07,9.95,217,3.27,0.7,58.78,84.34,56.03,4e-04,0.76,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1016.17,349.21,2016-05-28
"14",0.36,9.2,264,5.77,0.79,58.15,74.19,57.7,0.0066,0.73,"NA","NA","rain","Drizzle starting in the afternoon, continuing until evening.",1008.58,350.8,2016-05-27
"15",0.64,8.64,120,3.94,0.83,60.52,74.86,59.47,0.0352,0.69,"NA","NA","rain","Rain in the morning and afternoon.",1006.44,319.63,2016-05-26
"16",0.24,8.79,105,6.59,0.8,59.91,81,57.84,0.0385,0.65,"NA","NA","rain","Heavy rain starting in the afternoon.",1009.44,NA,2016-05-25
"17",0.25,9.57,176,7.98,0.77,62.43,77.46,63.04,0.0059,0.62,"NA","NA","rain","Light rain in the morning and breezy in the afternoon.",1009.45,NA,2016-05-24
"18",0.08,9.55,121,2.72,0.74,59.35,80.84,59.43,0.0104,0.59,"NA","NA","rain","Light rain overnight.",1010.49,NA,2016-05-23
"19",0.2,8.89,173,12.66,0.77,62.96,77.07,62.53,0.0166,0.56,"NA","NA","rain","Heavy rain until afternoon, starting again overnight.",1007.72,NA,2016-05-22
"20",0.12,9.97,157,15.53,0.59,55.51,82.42,58.62,0,0.53,"NA","NA","wind","Partly cloudy in the evening and breezy overnight.",1013.62,NA,2016-05-21
"21",0.06,9.96,136,9.11,0.61,48.15,73.57,50.2,0,0.48,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1020.02,NA,2016-05-20
"22",0.75,9.68,150,8.13,0.75,50.21,64.37,53.47,0,0.46,"NA","NA","clear-day","Clear throughout the day.",1017.65,NA,2016-05-19
"23",0.18,9.93,168,8.9,0.65,45.72,67.81,49.42,0,0.43,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1018.58,NA,2016-05-18
"24",0.12,9.87,118,1.23,0.6,41.99,70.63,41.99,0,0.4,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1022.78,NA,2016-05-17
"25",0.16,8.96,22,4.87,0.72,45.72,66.9,45.54,0,0.37,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1023.21,NA,2016-05-16
"26",0.58,8.66,92,5.91,0.82,45.96,53.17,49.09,0.0089,0.34,"NA","NA","rain","Light rain until afternoon.",1019.73,NA,2016-05-15
"27",0.08,10,229,6.33,0.53,33.24,62.7,38.14,1e-04,0.31,"NA","NA","partly-cloudy-day","Mostly cloudy in the evening.",1022.54,NA,2016-05-14
"28",0.02,10,335,10.66,0.45,27.36,59.87,37.36,0,0.28,"NA","NA","clear-day","Clear throughout the day.",1025.82,NA,2016-05-13
"29",0.08,9.72,339,9.83,0.6,41.72,74.14,45.67,0,0.25,"NA","NA","wind","Windy starting in the afternoon, continuing until evening, and partly cloudy in the evening.",1019.08,NA,2016-05-12
"30",0.04,9.79,314,9.88,0.51,39.66,70.23,49.07,0,0.22,"NA","NA","clear-day","Clear throughout the day.",1021.46,NA,2016-05-11
"31",0.23,9.55,348,11.44,0.71,51.74,71.66,53.32,0.0228,0.18,"NA","NA","rain","Heavy rain in the morning.",1015.02,NA,2016-05-10
"32",0.04,9.25,133,3.89,0.73,53.68,77.47,47.85,0,0.15,"NA","NA","rain","Light rain overnight.",1007.73,NA,2016-05-09
"33",0.38,8.45,115,9,0.83,55.41,70.03,56.13,0.0737,0.11,"NA","NA","rain","Heavy rain in the morning and afternoon.",1002.02,NA,2016-05-08
"34",0.09,7.59,114,11.99,0.52,47.01,75.25,55.59,0,0.07,"NA","NA","rain","Heavy rain overnight.",1007.34,NA,2016-05-07
"35",0.07,7.52,66,6.18,0.49,47.57,75.27,57.25,0,0.04,"NA","NA","clear-day","Clear throughout the day.",1011.38,NA,2016-05-06
"36",0,10,202,9.55,0.41,43.09,86.22,53.83,0,0.01,"NA","NA","clear-day","Clear throughout the day.",1013.97,NA,2016-05-05
