"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.09,10,292,8.02,0.53,46.52,77.58,53.01,0,0.2,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1015.82,369.78,2016-06-09
"2",0.05,9.99,273,10.78,0.5,43.08,75.55,51.33,0,0.16,"NA","NA","clear-day","Clear throughout the day.",1012,364.46,2016-06-08
"3",0.23,9.61,275,6.24,0.62,48.29,67.08,57.1,0.0128,0.13,"NA","NA","rain","Rain until afternoon.",1005.77,371.69,2016-06-07
"4",0.15,10,245,3.4,0.66,61.06,84.8,65.84,0.0011,0.1,"NA","NA","clear-day","Clear throughout the day.",1001.06,334.62,2016-06-06
"5",0.38,10,230,6.51,0.71,63.24,83.67,65.19,9e-04,0.06,"NA","NA","partly-cloudy-night","Mostly cloudy starting in the evening.",1005.29,318.21,2016-06-05
"6",0.91,7.45,174,4.64,0.84,66.46,81.32,66.05,0.0195,0.03,"NA","NA","rain","Rain throughout the day.",1008.03,307.07,2016-06-04
"7",0.86,9.63,186,3.37,0.8,66.52,83.62,64.71,0.0026,0.98,"NA","NA","rain","Light rain in the evening.",1015.4,308.7,2016-06-03
"8",0.92,6.08,103,2.3,0.87,63.73,72.42,63.8,0.009,0.95,"NA","NA","rain","Rain in the morning.",1017.41,314.81,2016-06-02
"9",0.53,8.23,77,4.94,0.78,61.04,79.7,59.93,0,0.91,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1019.21,323.38,2016-06-01
"10",0.34,9.01,90,2.88,0.71,62.56,84.91,63.54,0.0012,0.87,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1017.59,332.05,2016-05-31
"11",0.35,9.52,202,0.22,0.74,65.55,84.78,68.39,0.0017,0.83,"NA","NA","rain","Drizzle until afternoon.",1014.1,326.47,2016-05-30
"12",0.75,9.59,193,4.32,0.88,68.59,79.12,68.42,0.0128,0.8,"NA","NA","rain","Light rain until afternoon.",1015.44,304.56,2016-05-29
"13",0.43,9.92,189,5.47,0.66,63.25,87.08,65.19,0.0042,0.76,"NA","NA","rain","Light rain starting in the evening.",1019.7,310.14,2016-05-28
"14",0.13,10,198,6.65,0.65,65.32,89.12,67.02,0.001,0.72,"NA","NA","clear-day","Clear throughout the day.",1019.85,323.73,2016-05-27
"15",0.19,9.52,192,5.64,0.67,65.48,87.64,66.68,0.0048,0.69,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1017.56,322.59,2016-05-26
"16",0.05,9.96,223,4.33,0.52,55.93,87.41,62.51,0,0.65,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1018.25,NA,2016-05-25
