"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.44,10,339,4,0.34,40.5,88.22,55.88,0.002,0.17,"NA","NA","rain","Drizzle starting in the evening.",1009.77,319.87,2016-06-09
"2",0.17,10,234,1.99,0.3,36.07,83.99,60.28,0.0012,0.13,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1010.6,328.26,2016-06-08
"3",0.1,9.97,188,1.44,0.39,41.31,84.15,56.26,0.0021,0.1,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1011.92,311.53,2016-06-07
"4",0.07,9.89,118,0.75,0.45,44.38,82.28,54.79,0.0015,0.06,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1012.25,306.45,2016-06-06
"5",0.32,9.95,151,3.61,0.45,44.77,81.43,56.76,0.0018,0.03,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1014.6,305.93,2016-06-05
"6",0.17,10,126,5.46,0.45,45.46,78.19,56.35,0.003,0.98,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1017.55,308.04,2016-06-04
"7",0.18,9.86,8,4.62,0.37,36.5,83.44,51.19,3e-04,0.95,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1015.3,320.34,2016-06-03
"8",0.32,9.35,19,0.55,0.53,42.41,77.09,46.72,0.003,0.91,"NA","NA","rain","Drizzle in the afternoon and evening.",1016.32,330.48,2016-06-02
"9",0.74,9.82,134,7.29,0.6,43.44,67.14,50.2,0.0026,0.88,"NA","NA","rain","Light rain starting in the afternoon.",1015.46,323.22,2016-06-01
"10",0.45,9.98,116,5.14,0.4,34.13,71.03,49.37,0.005,0.84,"NA","NA","rain","Light rain until evening.",1011.24,317.16,2016-05-31
"11",0.14,9.96,187,3.91,0.38,31.31,76.54,46.26,0,0.8,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1011.74,323.22,2016-05-30
"12",0.03,10,173,5.1,0.21,20.74,77.61,48.36,0,0.76,"NA","NA","clear-day","Clear throughout the day.",1013.84,334.18,2016-05-29
"13",0.02,10,265,2.26,0.32,25.14,72.79,40.94,0,0.73,"NA","NA","clear-day","Clear throughout the day.",1012.4,335.46,2016-05-28
"14",0.22,10,297,6.04,0.35,25.81,68.07,41.61,5e-04,0.69,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1007.77,348.54,2016-05-27
"15",0.1,10,243,6.28,0.24,17.88,65.54,41.59,0,0.66,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1006.47,352.38,2016-05-26
"16",0.02,10,254,6.54,0.16,12.59,73.5,43.41,0,0.62,"NA","NA","clear-day","Clear throughout the day.",1010.53,NA,2016-05-25
"17",0.01,10,243,7.41,0.19,16.12,74.26,43.62,0,0.59,"NA","NA","clear-day","Clear throughout the day.",1007.56,NA,2016-05-24
"18",0.01,10,248,7.1,0.24,22.04,73.64,45.24,0,0.56,"NA","NA","clear-day","Clear throughout the day.",1006.27,NA,2016-05-23
"19",0.01,10,227,8.84,0.18,18.02,74.47,49.3,0,0.53,"NA","NA","clear-day","Clear throughout the day.",1007.33,NA,2016-05-22
"20",0.01,10,202,11.01,0.23,18.99,77.21,49.05,0,0.49,"NA","NA","clear-day","Clear throughout the day.",1009.06,NA,2016-05-21
"21",0.03,10,215,4.26,0.38,29.8,73.33,42,0,0.46,"NA","NA","clear-day","Clear throughout the day.",1009.75,NA,2016-05-20
"22",0.2,9.45,249,3.56,0.63,36.1,61.31,36.16,1e-04,0.43,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1012.41,NA,2016-05-19
"23",NA,9.46,155,10.19,0.76,36.83,49.28,40.3,0.0035,0.4,"NA","NA","rain","Drizzle in the afternoon.",1018.07,NA,2016-05-18
"24",0.12,9.73,131,10.23,0.57,32.89,57.23,42.07,0.0021,0.37,"NA","NA","rain","Light rain overnight.",1014.6,NA,2016-05-17
"25",0.09,9.57,249,5.39,0.5,33.72,68.71,47.22,0,0.34,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1005.89,NA,2016-05-16
"26",0.21,9.63,140,10.41,0.67,45.78,63.56,49.78,0.0104,0.31,"NA","NA","rain","Rain in the evening.",1009.41,NA,2016-05-15
