"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.07,10,284,8.07,0.59,43.36,72.31,44.78,0,0.2,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1014.37,367.42,2016-06-09
"2",0.37,9.92,277,12.02,0.58,41.93,66.79,50.22,0,0.16,"NA","NA","partly-cloudy-day","Mostly cloudy in the morning.",1008.92,381.79,2016-06-08
"3",0.35,9.92,278,6.95,0.68,47.79,63.66,53.01,0.0018,0.13,"NA","NA","rain","Drizzle in the afternoon.",1002.63,373.66,2016-06-07
"4",0.3,9.76,272,2.3,0.76,57.38,76.43,59.02,0.0037,0.1,"NA","NA","rain","Light rain in the morning and afternoon.",999.54,344.16,2016-06-06
"5",0.19,10,233,5.51,0.7,58.66,79.19,60.78,2e-04,0.06,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1002.25,323.1,2016-06-05
"6",0.93,6.57,148,6.49,0.9,63.08,68.88,63.35,0.0455,0.03,"NA","NA","rain","Rain in the morning and afternoon.",1007.08,315.35,2016-06-04
"7",0.52,9.91,28,0.62,0.7,59.67,81.16,58.72,5e-04,0.98,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1015.03,322.33,2016-06-03
"8",0.75,8.17,157,5.67,0.79,62.76,77.1,62.72,0.0067,0.95,"NA","NA","rain","Light rain in the morning and afternoon.",1016.15,320.09,2016-06-02
"9",0.46,9.86,150,8.58,0.64,57.81,81.74,60.88,3e-04,0.91,"NA","NA","rain","Drizzle overnight.",1018.64,319.06,2016-06-01
"10",0.23,9.55,123,1.12,0.65,55.56,80.65,54.18,0,0.87,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1018.75,327.27,2016-05-31
"11",0.16,9.88,284,5.99,0.62,55.55,80.86,60.19,4e-04,0.83,"NA","NA","clear-day","Clear throughout the day.",1013.95,330.94,2016-05-30
"12",0.64,9.61,177,4.72,0.79,65.15,82.13,66.59,0.0131,0.8,"NA","NA","rain","Rain in the morning and evening.",1013.73,307.43,2016-05-29
"13",0.45,9.41,150,3.17,0.79,67.95,85.8,66.08,0.0204,0.76,"NA","NA","rain","Rain in the morning and afternoon.",1018.3,303.21,2016-05-28
"14",0.38,9.65,197,1.45,0.71,66.88,89.85,65.57,0.008,0.72,"NA","NA","rain","Light rain in the morning.",1018.11,314.85,2016-05-27
"15",0.35,9.99,164,5.7,0.67,63.93,84.31,67.11,0.0138,0.69,"NA","NA","rain","Light rain throughout the day.",1016.19,320.95,2016-05-26
"16",0.15,9.83,203,0.81,0.62,56.68,84.04,57.62,0,0.65,"NA","NA","rain","Light rain overnight.",1017.71,NA,2016-05-25
"17",0.22,8.77,248,3.92,0.62,51.75,85.06,51.53,0,0.62,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1015.94,NA,2016-05-24
"18",0.54,9.73,21,0.4,0.73,52.94,65.4,58.27,0.0051,0.59,"NA","NA","rain","Light rain until afternoon.",1013.05,NA,2016-05-23
"19",0.25,9.83,27,5.79,0.56,45.68,80.02,49.17,0,0.56,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1012.45,NA,2016-05-22
"20",0.5,10,18,3.63,0.64,47.89,72.73,53.29,0,0.53,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1010.78,NA,2016-05-21
"21",0.27,9.99,196,4.2,0.62,44.56,68.69,44.93,0,0.48,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1017.96,NA,2016-05-20
"22",0.14,9.76,287,1.41,0.58,41.31,72.82,40.67,0,0.46,"NA","NA","clear-day","Clear throughout the day.",1022.56,NA,2016-05-19
"23",0.43,10,315,4.24,0.56,41.53,68.3,50.66,6e-04,0.43,"NA","NA","rain","Drizzle in the evening.",1018.72,NA,2016-05-18
