"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.33,9.34,304,5.04,0.59,59.74,90.05,65.75,0.0038,0.2,"NA","NA","partly-cloudy-day","Mostly cloudy in the morning.",1005.92,315.62,2016-06-09
"2",0.42,9.86,148,10.09,0.63,60.72,90.61,58.5,0.0072,0.17,"NA","NA","rain","Rain starting in the evening.",1003.73,306.88,2016-06-08
"3",0.28,9.9,163,10.94,0.59,52.74,82.42,53.71,0,0.13,"NA","NA","partly-cloudy-night","Mostly cloudy starting in the evening.",1008.66,320.12,2016-06-07
"4",0.09,10,140,7.81,0.69,49.9,74.39,46.48,0,0.1,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1014.43,321.57,2016-06-06
"5",0.23,10,350,9.35,0.68,48.09,68.17,50.18,2e-04,0.06,"NA","NA","partly-cloudy-day","Mostly cloudy until afternoon.",1015.82,344.74,2016-06-05
"6",0.32,9.73,312,13.42,0.51,46.41,77.14,54.07,0,0.03,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1010.53,322.77,2016-06-04
"7",0.15,10,318,10.58,0.67,53.2,78.14,55.07,7e-04,0.98,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1014.61,320.6,2016-06-03
"8",0.7,8.15,295,2.8,0.77,57.37,74.6,57.37,0.0124,0.95,"NA","NA","rain","Light rain until evening.",1008.5,359.77,2016-06-02
"9",0.28,8.74,160,8.12,0.67,48.27,75.16,45.04,0.0021,0.91,"NA","NA","rain","Light rain starting in the evening.",1011.99,349.05,2016-06-01
"10",0.58,8.04,330,13.76,0.77,45.04,63.09,45.85,0.004,0.87,"NA","NA","rain","Drizzle in the morning.",1012.89,361.3,2016-05-31
"11",0.77,8.17,4,8.48,0.9,52.79,61.73,48.83,0.06,0.84,"NA","NA","rain","Rain throughout the day and breezy overnight.",1005.37,367.26,2016-05-30
"12",0.34,9.92,99,1.3,0.58,46.24,76.89,48.67,0.0053,0.8,"NA","NA","rain","Rain starting in the evening.",1011.09,343.27,2016-05-29
"13",0.21,8.91,275,6.1,0.63,47.27,74.2,51.96,0.0039,0.76,"NA","NA","rain","Drizzle in the morning.",1013.07,349.67,2016-05-28
"14",0.66,9.4,44,6.47,0.82,52.77,66.62,52.65,0.0021,0.73,"NA","NA","rain","Light rain overnight.",1012.07,348.14,2016-05-27
"15",0.67,8.53,25,6.56,0.85,53.56,65.47,53.61,0.0145,0.69,"NA","NA","rain","Light rain in the morning and afternoon.",1009.92,352.98,2016-05-26
"16",0.43,8.13,351,4.59,0.86,53.22,63.16,54.27,0.0086,0.65,"NA","NA","rain","Light rain until afternoon, starting again in the evening.",1008.42,NA,2016-05-25
"17",0.23,9.34,68,4.73,0.84,52.12,61.19,52.98,0.0149,0.62,"NA","NA","rain","Rain throughout the day.",1009.9,NA,2016-05-24
"18",0.06,10,233,5.15,0.5,40.2,72.98,45.33,0,0.59,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1010.35,NA,2016-05-23
"19",0.07,9.95,228,9.05,0.49,41.15,75.91,50.5,0.0018,0.56,"NA","NA","clear-day","Clear throughout the day.",1002.34,NA,2016-05-22
"20",0.11,9.83,189,10.43,0.54,50.75,77.3,60.16,0.0023,0.53,"NA","NA","rain","Breezy in the morning and light rain starting in the evening.",1003.94,NA,2016-05-21
"21",0.1,10,150,17.09,0.55,47.11,78.06,48.64,0,0.48,"NA","NA","wind","Breezy until evening and partly cloudy until afternoon.",1014.26,NA,2016-05-20
"22",0.07,9.97,136,14.13,0.49,44.14,75.66,54.46,0.001,0.46,"NA","NA","clear-day","Clear throughout the day.",1012.26,NA,2016-05-19
"23",0.1,9.92,160,12.08,0.4,39.84,79.35,50.69,0,0.43,"NA","NA","clear-day","Clear throughout the day.",1007.59,NA,2016-05-18
"24",0.02,9.96,189,12.44,0.36,33.91,76.98,48.36,0,0.4,"NA","NA","clear-day","Clear throughout the day.",1016.33,NA,2016-05-17
"25",0.01,9.9,174,5.32,0.41,31.13,72.4,39.75,0,0.37,"NA","NA","clear-day","Clear throughout the day.",1024.79,NA,2016-05-16
"26",0.08,9.93,70,4.19,0.51,33.14,66.72,36.31,0,0.34,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1019.99,NA,2016-05-15
"27",0.08,9.87,298,8.4,0.43,28.12,69.28,35.05,0,0.31,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1016.84,NA,2016-05-14
"28",0.24,9.97,325,9.62,0.49,27.98,59.08,38.58,3e-04,0.28,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1023.74,NA,2016-05-13
"29",0.21,9.98,330,18.25,0.56,24.33,50.22,31.72,3e-04,0.25,"NA","NA","wind","Breezy until afternoon and partly cloudy in the afternoon.",1025.05,NA,2016-05-12
"30",NA,9.73,308,19.17,0.73,32.8,44.77,37.85,0,0.22,"NA","NA","wind","Breezy in the morning.",1019.29,NA,2016-05-11
"31",0,9.99,235,6.11,0.78,38.34,49.79,39.9,0.0013,0.18,"NA","NA","wind","Breezy overnight.",1010.02,NA,2016-05-10
"32",NA,8.12,124,11.69,0.84,48.53,56.41,47.53,0.0066,0.15,"NA","NA","rain","Light rain until afternoon, starting again in the evening.",1007.59,NA,2016-05-09
"33",0.07,9.97,136,13.32,0.5,40.58,75.46,46.76,0,0.11,"NA","NA","wind","Breezy until afternoon.",1004.18,NA,2016-05-08
"34",0,9.95,178,10.66,0.36,33.36,76.07,47.06,0,0.07,"NA","NA","clear-day","Clear throughout the day.",1007.15,NA,2016-05-07
