"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.69,9.66,214,4.61,0.71,63.81,89.88,61.8,0.0141,0.2,"NA","NA","rain","Rain until afternoon, starting again in the evening.",1016.97,325.72,2016-06-09
"2",0.21,9.62,290,4.02,0.53,47.55,82.05,52.05,0,0.16,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1017.4,343.81,2016-06-08
"3",0.22,6.6,292,6.1,0.56,46.44,73.34,53.66,0,0.13,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1013.81,356.74,2016-06-07
"4",0.4,3.82,299,5.89,0.64,53.11,72.48,60.13,0.0015,0.1,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1006.41,357.31,2016-06-06
"5",0.14,9.88,232,8.68,0.7,61.42,83.51,62.17,0.0046,0.06,"NA","NA","rain","Light rain starting in the evening.",1005.95,315.98,2016-06-05
"6",0.63,7.82,234,8.57,0.8,64.81,78.42,66.27,0.0095,0.03,"NA","NA","rain","Light rain until evening.",1005.68,328.77,2016-06-04
"7",0.89,7.12,150,3.06,0.77,65.78,81.12,68.81,0.0079,0.98,"NA","NA","rain","Light rain starting in the afternoon.",1012.43,308.64,2016-06-03
"8",0.67,8.26,304,1.12,0.67,62.84,85.51,67.26,0.002,0.95,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1016.11,318.24,2016-06-02
"9",0.78,8.45,237,2.97,0.77,65.96,81.85,66.95,0.007,0.91,"NA","NA","rain","Light rain throughout the day.",1015.17,315.57,2016-06-01
"10",0.29,9.62,141,1.8,0.64,61.17,87.52,62.61,0.0025,0.87,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1014.29,328.95,2016-05-31
"11",0.48,9.98,29,1.01,0.65,60.54,86.44,61.21,6e-04,0.83,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1014.75,328.21,2016-05-30
"12",0.23,9.87,315,2.27,0.69,61.69,83.9,63.27,0.0023,0.8,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1015.45,336.33,2016-05-29
"13",0.47,9.44,178,4.29,0.78,65.73,83.25,65.68,0.0066,0.76,"NA","NA","rain","Light rain in the morning and evening.",1017.68,317,2016-05-28
"14",0.27,9.76,189,4,0.77,66.76,84.6,67.17,0.0061,0.72,"NA","NA","rain","Light rain until evening.",1017.56,319.83,2016-05-27
"15",0.35,9.33,189,5.51,0.72,64.89,86.72,63.65,5e-04,0.69,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1015.79,311.87,2016-05-26
"16",0.3,9.75,197,8.51,0.77,64.51,79.91,65.59,0.0023,0.65,"NA","NA","rain","Drizzle in the morning.",1016.53,NA,2016-05-25
"17",0.15,9.99,184,6.71,0.64,55.46,79.68,54.78,0,0.62,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1019.09,NA,2016-05-24
"18",0.06,9.83,231,4.95,0.61,50.97,79.99,50.05,0,0.59,"NA","NA","clear-day","Clear throughout the day.",1017.85,NA,2016-05-23
"19",0.06,9.97,342,1.16,0.61,46.85,74.93,45.34,0,0.56,"NA","NA","clear-day","Clear throughout the day.",1016.7,NA,2016-05-22
"20",0.13,9.4,341,6.82,0.68,46.83,71.92,45.22,0,0.53,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1014.89,NA,2016-05-21
"21",0.63,6.12,1,6.83,0.92,55.06,60.29,54.95,0.0104,0.48,"NA","NA","rain","Light rain in the morning and afternoon.",1014.55,NA,2016-05-20
"22",0.13,9.57,91,6.7,0.62,46.41,70.9,49.21,0.0048,0.46,"NA","NA","rain","Rain starting in the evening.",1019.96,NA,2016-05-19
"23",0.11,10,33,4.9,0.55,40.38,69.69,43.17,0,0.43,"NA","NA","clear-day","Clear throughout the day.",1021.6,NA,2016-05-18
"24",0.45,8.69,24,7.96,0.72,46.75,64.25,49.09,0.0046,0.4,"NA","NA","rain","Light rain in the morning.",1020.22,NA,2016-05-17
"25",0.59,9.84,133,0.67,0.68,43.75,57.93,50.32,0.0021,0.37,"NA","NA","rain","Light rain starting in the evening.",1022.08,NA,2016-05-16
"26",0.05,10,222,5.25,0.53,31.49,62.45,32.42,0,0.34,"NA","NA","clear-day","Clear throughout the day.",1023.37,NA,2016-05-15
"27",0.42,10,294,11.3,0.58,31,52.05,40.35,0,0.31,"NA","NA","wind","Partly cloudy until afternoon and breezy in the morning.",1018.33,NA,2016-05-14
"28",0.43,9.43,274,9.97,0.77,42.36,55.26,41.41,0.004,0.28,"NA","NA","rain","Light rain and breezy in the morning.",1011.36,NA,2016-05-13
"29",0.29,9.47,278,8.36,0.72,50.13,65.24,54.66,0.0067,0.25,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1014.01,NA,2016-05-12
"30",0.18,9.61,205,5.64,0.78,60.04,75.4,60.34,0.0012,0.21,"NA","NA","rain","Rain overnight.",1014.84,NA,2016-05-11
"31",0.3,8.95,162,2.04,0.86,58.89,73.27,56.09,0.0024,0.18,"NA","NA","rain","Light rain in the morning.",1017.62,NA,2016-05-10
