"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.25,10,172,11.95,0.68,68.39,92.99,69.57,0,0.2,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1013.53,324.09,2016-06-09
"2",0.1,9.86,172,12.25,0.63,64.84,91.52,68.55,0,0.17,"NA","NA","clear-day","Clear throughout the day.",1012.49,321.77,2016-06-08
"3",0.09,9.83,179,8.44,0.61,63.39,91.07,66.85,0,0.13,"NA","NA","clear-day","Clear throughout the day.",1012.63,319.44,2016-06-07
"4",0.06,9.95,185,3.99,0.59,60.92,91.65,63.27,2e-04,0.1,"NA","NA","clear-day","Clear throughout the day.",1012.74,317.55,2016-06-06
"5",0,10,82,0.59,0.61,57.87,87.22,58.39,0,0.06,"NA","NA","clear-day","Clear throughout the day.",1012.47,313.61,2016-06-05
"6",0,9.13,1,5.05,0.59,55.98,84.94,59.65,0,0.03,"NA","NA","clear-day","Clear throughout the day.",1013.93,309.1,2016-06-04
"7",0.51,10,357,4.46,0.71,63.57,86.62,64.83,0.0043,0.98,"NA","NA","rain","Light rain until afternoon.",1013.65,320.32,2016-06-03
"8",0.89,6.91,73,4.03,0.87,67.38,78.85,66.01,0.0078,0.95,"NA","NA","rain","Light rain until afternoon, starting again in the evening.",1013.82,323.54,2016-06-02
"9",0.86,6.7,71,5.96,0.9,66.75,76.85,65.69,0.0191,0.91,"NA","NA","rain","Rain until evening.",1014.72,324.17,2016-06-01
"10",0.8,6.46,55,1.65,0.9,66.31,72.99,65.23,0.0216,0.87,"NA","NA","rain","Rain throughout the day.",1013.86,323.37,2016-05-31
"11",0.52,9.48,122,4.07,0.85,66.8,80.65,66.03,0.0106,0.84,"NA","NA","rain","Light rain throughout the day.",1011.45,315.39,2016-05-30
"12",0.5,9.52,139,5.08,0.8,65.17,80.21,65.08,0.0032,0.8,"NA","NA","partly-cloudy-day","Mostly cloudy until evening.",1014.34,321.33,2016-05-29
"13",0.26,9.69,168,3.71,0.71,65.07,87.53,67.72,0.0036,0.76,"NA","NA","rain","Light rain in the morning and overnight.",1016.91,330.42,2016-05-28
"14",0.1,9.47,192,4.57,0.74,62.73,83.8,62.6,4e-04,0.73,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1011.59,346.13,2016-05-27
"15",0.48,9.38,177,9.5,0.73,63.12,81.43,65.71,0.0066,0.69,"NA","NA","rain","Light rain starting in the afternoon.",1004.4,325.72,2016-05-26
"16",0.27,8.45,171,17.88,0.77,70.35,83.92,71.72,0.0026,0.65,"NA","NA","rain","Light rain starting in the afternoon.",1007.87,NA,2016-05-25
"17",0.28,9.52,178,17.18,0.78,72.05,87.68,74.53,1e-04,0.62,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1010.04,NA,2016-05-24
"18",0.28,9.85,176,14.26,0.77,69.26,86.33,70.29,9e-04,0.59,"NA","NA","rain","Light rain starting in the evening.",1009.91,NA,2016-05-23
"19",0.4,9.68,163,13.65,0.84,65.6,76.53,65.76,0.0029,0.56,"NA","NA","rain","Light rain in the morning.",1009.68,NA,2016-05-22
"20",0.26,10,150,12.76,0.75,64.75,80.38,65.82,0,0.53,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1014.13,NA,2016-05-21
"21",0.4,10,146,10.89,0.74,61.85,79.96,63.07,0,0.48,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1016.92,NA,2016-05-20
"22",0.56,8.48,137,3.66,0.82,56.69,73.2,55.74,0,0.46,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1015.49,NA,2016-05-19
"23",0.6,8.63,97,5.21,0.89,52.94,60.16,52.53,0.0082,0.43,"NA","NA","rain","Light rain in the morning and afternoon.",1017.42,NA,2016-05-18
"24",0.54,10,51,9.47,0.73,48.37,65.7,52.36,5e-04,0.4,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1021.38,NA,2016-05-17
"25",0.65,8.98,5,9.41,0.87,54.36,66.17,55.54,0.0289,0.37,"NA","NA","rain","Rain in the morning.",1016.86,NA,2016-05-16
"26",0.74,9.7,154,9.28,0.84,58.47,72.34,55.37,0.0033,0.34,"NA","NA","rain","Heavy rain in the morning and overnight.",1012.74,NA,2016-05-15
"27",0.7,9.98,99,5.67,0.57,42.59,65.12,51.69,0.0015,0.31,"NA","NA","rain","Light rain overnight.",1020.83,NA,2016-05-14
"28",0.28,10,22,13.85,0.55,39.82,63.47,50.7,1e-04,0.28,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1023.16,NA,2016-05-13
"29",0.09,9.88,193,9.68,0.57,50.12,82.4,52.55,0.0099,0.25,"NA","NA","rain","Rain starting in the evening.",1019.74,NA,2016-05-12
"30",0.16,10,24,9.6,0.54,50.61,78.16,61.98,0.0018,0.22,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1021.01,NA,2016-05-11
"31",0.22,9.88,207,5.55,0.59,59.71,82.24,66.29,0,0.18,"NA","NA","rain","Light rain overnight.",1011.77,NA,2016-05-10
"32",0.03,9.99,168,9.09,0.59,55.8,89.42,53.32,0,0.15,"NA","NA","clear-day","Clear throughout the day.",1006.3,NA,2016-05-09
"33",0.25,9.91,173,16.84,0.73,60.7,78.64,63.25,0.001,0.11,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1001.71,NA,2016-05-08
"34",0.22,10,170,17.37,0.76,60.5,74.81,63.67,1e-04,0.07,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1006.02,NA,2016-05-07
"35",0.09,10,172,13.11,0.6,53.55,80.74,55.39,0,0.04,"NA","NA","clear-day","Clear throughout the day.",1012.61,NA,2016-05-06
"36",0.08,10,169,7.94,0.56,49.5,81.53,51.44,0,0.01,"NA","NA","clear-day","Clear throughout the day.",1016.85,NA,2016-05-05
"37",0.03,9.98,20,3.68,0.46,42.55,79.94,49.13,0,0.96,"NA","NA","clear-day","Clear throughout the day.",1017.45,NA,2016-05-04
"38",0.01,9.97,330,7.32,0.58,46.95,80.08,48.46,0,0.92,"NA","NA","clear-day","Clear throughout the day.",1016.36,NA,2016-05-03
"39",0.12,9.97,212,5.38,0.65,43.47,70,43.14,0,0.88,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1018.13,NA,2016-05-02
"40",0.31,10,351,10.15,0.69,43.23,61.72,46.5,0,0.85,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1020.65,NA,2016-05-01
"41",0.19,10,344,12.78,0.66,42.81,63.7,45.58,2e-04,0.81,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1017.78,NA,2016-04-30
"42",0.19,9.21,316,10.06,0.71,47.81,70.13,48.18,0,0.77,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1008.42,NA,2016-04-29
"43",0.64,8.74,52,7.84,0.89,57.36,69.39,55.96,0.014,0.74,"NA","NA","rain","Rain in the morning and evening.",1006.03,NA,2016-04-28
"44",0.09,9.96,66,8.26,0.59,47.22,74.77,50.24,0,0.7,"NA","NA","clear-day","Clear throughout the day.",1011.61,NA,2016-04-27
"45",0.17,8.97,257,6.81,0.71,51.53,72.22,54.67,1e-04,0.67,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1003.68,NA,2016-04-26
"46",0.41,9.34,169,13.4,0.82,65.61,77.23,58.03,0.0351,0.64,"NA","NA","rain","Heavy rain starting in the evening.",1001.67,NA,2016-04-25
"47",0.29,10,176,16.2,0.75,64.1,83.24,65.82,0,0.61,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1003.92,NA,2016-04-24
"48",0.13,10,174,19,0.65,55.99,78.03,59.11,0,0.58,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1007.29,NA,2016-04-23
"49",0.06,10,175,10.01,0.59,50.94,79.67,54.04,0,0.55,"NA","NA","clear-day","Clear throughout the day.",1015.39,NA,2016-04-22
"50",0.02,9.99,329,4.55,0.6,49.15,77.58,50.2,0,0.52,"NA","NA","clear-day","Clear throughout the day.",1018.27,NA,2016-04-21
"51",0.14,9.54,341,5.89,0.69,50.13,72.25,50.96,3e-04,0.48,"NA","NA","clear-day","Clear throughout the day.",1015.2,NA,2016-04-20
"52",0.43,9.24,333,5.06,0.81,52.38,66.29,53.35,1e-04,0.46,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1015.11,NA,2016-04-19
"53",0.45,8.25,57,4.7,0.87,56.11,69.17,55.57,0.0304,0.43,"NA","NA","rain","Heavy rain in the morning and evening.",1018.85,NA,2016-04-18
"54",0.67,8.21,340,6.09,0.88,54.25,63.28,50.52,0.0126,0.4,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1020.94,NA,2016-04-17
"55",0.73,7.35,121,9.89,0.9,59.43,66.62,60.16,0.0689,0.36,"NA","NA","rain","Heavy rain until afternoon, starting again in the evening.",1016.38,NA,2016-04-16
