"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.79,9.3,247,5.97,0.74,47.76,66.9,46.34,0.0013,0.17,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1013.57,366.59,2016-06-09
"2",0.56,10,247,4.62,0.69,48.63,65.26,52.3,1e-04,0.13,"NA","NA","partly-cloudy-day","Mostly cloudy until evening.",1011.62,345.55,2016-06-08
"3",0.33,10,276,2.19,0.61,51.45,81.3,53.18,0,0.1,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1009.9,307.11,2016-06-07
"4",0.05,10,350,1.51,0.57,56.05,87.51,58.21,0,0.07,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1012.16,299.05,2016-06-06
"5",0.21,9.53,347,1.22,0.57,57.87,91.53,57.85,0,0.03,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1012.09,310.39,2016-06-05
"6",0.11,10,33,5.11,0.62,56.58,83.97,57.23,0,0.98,"NA","NA","clear-day","Clear throughout the day.",1017.05,307.71,2016-06-04
"7",0.27,8.34,18,2.69,0.67,54.6,79.8,52.57,0,0.95,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1022.48,299.14,2016-06-03
"8",0.68,8.48,236,5.53,0.8,54.39,67.85,56.15,0.0041,0.91,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1018.06,334.42,2016-06-02
"9",0.74,9.21,253,4.58,0.7,51.76,73.04,52.15,0.0016,0.88,"NA","NA","rain","Light rain starting in the evening.",1013.96,345.5,2016-06-01
"10",0.43,10,3,2.23,0.58,47.15,79.24,46.05,0,0.84,"NA","NA","partly-cloudy-night","Mostly cloudy starting in the afternoon.",1017.8,339.75,2016-05-31
"11",0.34,9.81,20,3.75,0.62,43.76,70.31,42.01,0,0.8,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1023.97,344.46,2016-05-30
"12",0.54,9.97,262,3.37,0.74,48.36,64.72,51.07,7e-04,0.76,"NA","NA","partly-cloudy-day","Mostly cloudy until evening.",1020.35,369.33,2016-05-29
"13",0.76,9.71,211,5.75,0.82,48.57,59.7,48.25,0.0052,0.73,"NA","NA","rain","Light rain until afternoon, starting again in the evening.",1018.46,374.09,2016-05-28
"14",0.38,9.45,252,6.85,0.68,43.09,61.28,45.79,3e-04,0.69,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1020.99,380.24,2016-05-27
"15",0.19,9.91,226,7.22,0.7,43.96,58.6,47.59,0,0.66,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1022.15,379.13,2016-05-26
"16",0.32,10,225,7.46,0.77,47.16,60.18,47.71,0,0.62,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1020.65,NA,2016-05-25
"17",0.25,9.75,258,3.99,0.74,48.89,65.43,48.27,0,0.59,"NA","NA","clear-day","Clear throughout the day.",1015.25,NA,2016-05-24
"18",0.46,10,229,1.96,0.72,47.88,66.24,50.67,1e-04,0.56,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1013.54,NA,2016-05-23
"19",0.33,9.89,216,7.87,0.77,47.97,61.34,50.56,0.001,0.53,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1013.46,NA,2016-05-22
"20",0.49,9.48,210,6.19,0.86,48.4,56.04,48.01,0.0043,0.49,"NA","NA","rain","Light rain until afternoon, starting again in the evening.",1009.83,NA,2016-05-21
"21",0.3,9.89,15,1.63,0.68,44.11,65.32,48.32,0,0.46,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1009.54,NA,2016-05-20
"22",0.32,9.8,222,9.45,0.75,44.19,57.27,46.76,0.0033,0.44,"NA","NA","rain","Light rain in the afternoon and evening.",1013.11,NA,2016-05-19
