"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.26,10,293,7.57,0.57,45.72,72.69,50.69,0,0.2,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1012.08,374.68,2016-06-09
"2",0.14,9.99,268,11.77,0.52,41.93,71.21,51.88,0,0.16,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1006.27,379.56,2016-06-08
"3",0.25,9.96,277,6.61,0.63,50.45,71.92,57.43,0.0055,0.13,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",999.82,365.85,2016-06-07
"4",0.3,8.66,205,4.01,0.73,63.29,84.01,64.5,0.0059,0.1,"NA","NA","rain","Light rain until afternoon, starting again in the evening.",999.33,326.88,2016-06-06
"5",0.29,10,218,6.19,0.75,63.01,81.16,63.98,0.0044,0.06,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1003.05,323.11,2016-06-05
"6",0.94,4.53,146,6.08,0.94,62.39,65.9,62.4,0.0191,0.03,"NA","NA","rain","Rain throughout the day.",1010.49,313.03,2016-06-04
"7",0.57,6.62,176,2.64,0.8,63.98,82.37,62.73,5e-04,0.98,"NA","NA","fog","Foggy overnight.",1015.15,323.05,2016-06-03
"8",0.91,6.54,160,3.46,0.85,59.42,69.67,60.02,5e-04,0.95,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1017.9,317.87,2016-06-02
"9",0.53,7.52,70,4.18,0.82,56.56,73.5,53.51,0,0.91,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1021.71,325.53,2016-06-01
"10",0.22,9.8,36,5.21,0.66,56,78.21,58.59,0,0.87,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1019.45,327.52,2016-05-31
"11",0.41,9.96,224,4.57,0.72,62.98,82.85,66.49,0.0028,0.83,"NA","NA","rain","Light rain in the morning.",1013.12,322.95,2016-05-30
"12",0.79,8.52,174,3.09,0.92,61.75,72.96,56.96,0.0134,0.8,"NA","NA","rain","Light rain until afternoon.",1015.65,297.42,2016-05-29
"13",0.39,9.61,67,2.76,0.77,61.04,75.58,59.33,8e-04,0.76,"NA","NA","rain","Light rain overnight.",1020.84,308.01,2016-05-28
"14",0.22,9.41,189,5.94,0.71,64.62,86.31,63.69,0.0015,0.72,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1018.69,317.74,2016-05-27
"15",0.27,9.56,167,5.77,0.72,60.13,80.43,58.64,3e-04,0.69,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1018.56,325.53,2016-05-26
"16",0.17,10,191,3.56,0.55,54.63,82.61,64.8,0,0.65,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1017.7,NA,2016-05-25
"17",0.23,9.33,222,2.73,0.62,51.24,88,55.6,0,0.62,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1015.17,NA,2016-05-24
"18",NA,8.6,51,9.4,0.85,52.7,63.43,54.86,0.0017,0.59,"NA","NA","rain","Light rain in the morning.",1012.1,NA,2016-05-23
"19",0.26,10,71,4.46,0.58,46.15,78,51.6,0,0.56,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1011.98,NA,2016-05-22
"20",0.47,10,53,7.65,0.68,48.84,65.74,55,4e-04,0.53,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1009.85,NA,2016-05-21
"21",0.29,10,186,6.5,0.61,45.32,66.56,54.11,0,0.48,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1018.79,NA,2016-05-20
"22",0.4,9.92,336,1.21,0.61,45.32,72.7,50.23,2e-04,0.46,"NA","NA","clear-day","Clear throughout the day.",1021.61,NA,2016-05-19
"23",0.41,10,180,3.82,0.58,42.41,64.3,53.34,0,0.43,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1018.87,NA,2016-05-18
"24",0.29,10,153,1.83,0.54,40.3,63.93,52.69,0,0.4,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1019.27,NA,2016-05-17
"25",0.25,10,263,7.89,0.48,38.05,70.28,47.48,0,0.37,"NA","NA","clear-day","Clear throughout the day.",1018.9,NA,2016-05-16
"26",0.2,10,301,14.65,0.37,24.43,61,42.14,0,0.34,"NA","NA","wind","Partly cloudy until evening and breezy until afternoon.",1012.91,NA,2016-05-15
"27",0.35,10,297,12.32,0.48,33.56,58.33,46.74,0,0.31,"NA","NA","wind","Partly cloudy in the morning and breezy until afternoon.",1004.04,NA,2016-05-14
"28",0.24,9.92,230,5.33,0.65,50.88,75.29,57.48,4e-04,0.28,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1004.95,NA,2016-05-13
"29",0.34,9.15,188,6,0.81,52.92,65.82,51.8,0.009,0.25,"NA","NA","rain","Rain starting in the evening.",1011.39,NA,2016-05-12
"30",0.06,10,157,2.34,0.44,36.86,70.78,53.25,0,0.21,"NA","NA","clear-day","Clear throughout the day.",1019.12,NA,2016-05-11
"31",0.13,10,196,3.45,0.42,35.16,70.45,49.84,0,0.18,"NA","NA","clear-day","Clear throughout the day.",1019.47,NA,2016-05-10
"32",0.09,10,287,4,0.38,29.39,67.82,43.52,0,0.15,"NA","NA","clear-day","Clear throughout the day.",1020.39,NA,2016-05-09
"33",0.2,10,304,6.48,0.41,31.58,68.98,45.5,0,0.11,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1013.54,NA,2016-05-08
