"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.25,9.87,209,6.15,0.57,52.49,90.78,54.19,0,0.17,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1011.89,329.93,2016-06-08
"2",0.14,8.39,200,5.92,0.6,52.98,84.31,56.35,0,0.13,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1011.48,309.96,2016-06-07
"3",0.13,8.37,202,6.04,0.62,56.33,87.69,59.55,0,0.1,"NA","NA","partly-cloudy-night","Mostly cloudy in the morning.",1010.39,306.66,2016-06-06
"4",0.01,6.86,208,4.33,0.52,55.61,91.89,62.49,0,0.07,"NA","NA","clear-day","Clear throughout the day.",1007.52,305.7,2016-06-05
"5",0.01,10,229,3.13,0.42,51.16,99.14,61.4,0,0.03,"NA","NA","clear-day","Clear throughout the day.",1009.91,324.98,2016-06-04
"6",0.61,10,213,0.9,0.35,49.2,94.81,67.11,0,0.98,"NA","NA","partly-cloudy-day","Mostly cloudy until evening.",1011.4,320.22,2016-06-03
"7",0.06,10,326,1.83,0.33,46.8,100.96,61.83,0,0.95,"NA","NA","clear-day","Dry throughout the day.",1013.88,320.68,2016-06-02
"8",0.13,9.86,246,1.01,0.48,51.2,96.67,58.03,0,0.91,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1013.79,321.71,2016-06-01
"9",0.04,10,210,5.16,0.4,49.47,96.55,63.81,0,0.88,"NA","NA","clear-day","Clear throughout the day.",1009.9,322.75,2016-05-31
"10",0.07,9.95,240,2.3,0.42,51.91,99.81,61.31,0,0.84,"NA","NA","clear-day","Clear throughout the day.",1009.52,324.44,2016-05-30
"11",0.09,9.95,263,2.21,0.47,51.24,95.22,57.61,0,0.8,"NA","NA","clear-day","Clear throughout the day.",1012.73,336.28,2016-05-29
"12",0.05,9.96,244,2.94,0.42,48.15,91.62,58.62,0,0.76,"NA","NA","clear-day","Clear throughout the day.",1012.3,351.24,2016-05-28
"13",0.27,9.98,334,4.27,0.36,43.6,88.93,60.66,0,0.73,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1009.42,365.17,2016-05-27
"14",0.03,9.7,299,2.15,0.5,48.46,87.91,54.42,0,0.69,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1011.92,355.21,2016-05-26
"15",0,9.84,216,4.37,0.63,51.31,83.64,51.46,0,0.66,"NA","NA","clear-day","Clear throughout the day.",1016.2,360.17,2016-05-25
"16",0.1,9.92,203,5.85,0.67,50.8,78.09,52.27,3e-04,0.62,"NA","NA","clear-day","Clear throughout the day.",1017.01,367.99,2016-05-24
"17",0.16,9.91,189,7.3,0.66,49.87,74.53,53.26,0,0.59,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1012.95,NA,2016-05-23
"18",0.09,9.99,197,4.47,0.59,45.84,73.9,49.87,0,0.56,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1012.66,NA,2016-05-22
"19",0.1,9.99,189,6.55,0.63,45.24,71.01,47.91,0,0.53,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1017.18,NA,2016-05-21
"20",0.18,9.97,191,6.83,0.66,45.48,66.61,50.1,0,0.49,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1014.83,NA,2016-05-20
"21",0.21,9.55,180,9.79,0.58,42.54,67.33,50.66,0.0123,0.46,"NA","NA","rain","Rain in the evening.",1007.19,NA,2016-05-19
"22",0.03,9.65,194,9.55,0.49,46.76,80.21,57.87,0,0.44,"NA","NA","clear-day","Clear throughout the day.",1007.56,NA,2016-05-18
"23",0.03,9.94,256,2.65,0.42,49.13,95.02,59.74,0,0.41,"NA","NA","clear-day","Clear throughout the day.",1011.43,NA,2016-05-17
"24",0.01,9.97,335,11.49,0.36,46.21,92.41,63.7,0,0.38,"NA","NA","clear-day","Clear throughout the day.",1011.49,NA,2016-05-16
"25",0.03,9.95,318,4.88,0.51,47.45,85.51,53.69,0,0.35,"NA","NA","clear-day","Clear throughout the day.",1012.11,NA,2016-05-15
"26",0.03,9.97,224,3.2,0.63,50.82,82,52.09,0,0.31,"NA","NA","clear-day","Clear throughout the day.",1012.95,NA,2016-05-14
"27",0.09,9.94,192,8.18,0.62,49.22,77.15,51.72,0,0.28,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1014.9,NA,2016-05-13
"28",0.04,9.84,187,10.16,0.61,49.15,78.53,53.26,0,0.25,"NA","NA","clear-day","Clear throughout the day.",1013.42,NA,2016-05-12
"29",0.04,9.8,201,4.75,0.58,52.17,89.53,53.83,0,0.22,"NA","NA","clear-day","Clear throughout the day.",1014.34,NA,2016-05-11
"30",0.02,9.66,203,2.86,0.57,50.09,88.4,52.95,0,0.18,"NA","NA","clear-day","Clear throughout the day.",1013.99,NA,2016-05-10
"31",0.01,9.78,258,1.67,0.62,50.61,87.08,52.5,0,0.15,"NA","NA","clear-day","Clear throughout the day.",1012.91,NA,2016-05-09
"32",0.11,9.51,192,6.51,0.71,52.74,75.15,54,0,0.11,"NA","NA","clear-day","Clear throughout the day.",1013.29,NA,2016-05-08
"33",0.26,9.74,188,3.97,0.77,54.51,72.18,55.36,4e-04,0.08,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1013.55,NA,2016-05-07
"34",0.25,9.39,207,5.95,0.81,53.13,63.65,55.43,0.0023,0.04,"NA","NA","rain","Light rain in the morning.",1013.24,NA,2016-05-06
"35",0.17,8.58,194,4.19,0.82,53.73,64.43,55.93,5e-04,0.01,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1010.49,NA,2016-05-05
"36",0.15,9.72,185,5.16,0.72,50.69,63.65,55.9,0.0021,0.96,"NA","NA","rain","Light rain until afternoon.",1010.38,NA,2016-05-04
"37",0.02,9.84,192,5.91,0.62,52.21,77.47,58.16,0,0.93,"NA","NA","clear-day","Clear throughout the day.",1009.61,NA,2016-05-03
"38",0.02,9.92,185,2.82,0.57,50.24,82.55,53.13,0,0.89,"NA","NA","clear-day","Clear throughout the day.",1013.41,NA,2016-05-02
"39",0.03,9.86,193,4.29,0.49,46.62,82.61,54.76,0,0.85,"NA","NA","clear-day","Clear throughout the day.",1014.87,NA,2016-05-01
"40",0.02,9.98,165,1.07,0.42,42.66,84,52.19,0,0.81,"NA","NA","clear-day","Clear throughout the day.",1010.1,NA,2016-04-30
"41",0,9.94,347,16.05,0.37,38.64,82.08,56.3,0,0.78,"NA","NA","wind","Breezy until afternoon.",1011.11,NA,2016-04-29
"42",0.02,9.6,180,6.3,0.63,48.79,77.15,51.88,0,0.74,"NA","NA","clear-day","Clear throughout the day.",1012.92,NA,2016-04-28
"43",0.01,9.29,317,6.82,0.57,42.77,80.08,46.37,0,0.71,"NA","NA","clear-day","Clear throughout the day.",1010.55,NA,2016-04-27
"44",0.14,9.58,156,4.48,0.65,43.9,68.51,47.44,0.0232,0.67,"NA","NA","rain","Heavy rain in the evening.",1012.05,NA,2016-04-26
"45",0.05,9.97,258,3.73,0.46,37.29,71.6,46.17,0,0.64,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1015.85,NA,2016-04-25
"46",0.01,9.99,320,11.69,0.38,31.73,70.75,48.48,0,0.61,"NA","NA","wind","Breezy in the morning.",1014.37,NA,2016-04-24
"47",0.14,9.87,278,3.19,0.61,45.41,73.41,50.27,0,0.58,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1015.27,NA,2016-04-23
"48",0.08,9.95,243,0.74,0.67,45.1,70.09,45.2,0,0.55,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1020.61,NA,2016-04-22
"49",0.24,9.17,205,9.97,0.72,49.17,63.2,51.75,0.0107,0.52,"NA","NA","rain","Rain until afternoon.",1011.55,NA,2016-04-21
"50",0.14,9.94,201,7.08,0.71,52.8,73.47,53.97,0,0.49,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1011.61,NA,2016-04-20
"51",0.04,9.97,198,5.97,0.42,38.59,79.52,49.98,0,0.46,"NA","NA","clear-day","Clear throughout the day.",1012.57,NA,2016-04-19
"52",0.02,9.99,181,3.61,0.47,44.6,85.48,52.48,0,0.43,"NA","NA","clear-day","Clear throughout the day.",1013.4,NA,2016-04-18
"53",0.05,9.95,224,0.97,0.52,48.15,87.01,52.87,0,0.4,"NA","NA","clear-day","Clear throughout the day.",1016.39,NA,2016-04-17
"54",0.02,9.97,121,1.42,0.54,47.18,83.7,47.71,0,0.37,"NA","NA","clear-day","Clear throughout the day.",1016.39,NA,2016-04-16
"55",0.02,9.97,352,4.54,0.44,39.91,83.51,47.49,0,0.33,"NA","NA","clear-day","Clear throughout the day.",1017.97,NA,2016-04-15
"56",0.04,9.97,331,13.28,0.47,36.6,73.88,44.56,0,0.3,"NA","NA","wind","Breezy until afternoon.",1019.07,NA,2016-04-14
"57",0.17,9.71,244,5.22,0.6,42.61,66.97,49.71,0.0019,0.27,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1018.42,NA,2016-04-13
"58",0.07,9.96,177,6.78,0.63,45.01,69.23,49.26,0,0.23,"NA","NA","clear-day","Clear throughout the day.",1019.86,NA,2016-04-12
"59",0.17,9.59,186,7.92,0.76,51.55,68,53.01,0,0.2,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1020.82,NA,2016-04-11
"60",0.18,9.82,200,3.97,0.76,52.26,69.63,51.91,0,0.16,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1017.93,NA,2016-04-10
"61",0.17,8.74,188,6.18,0.85,53.59,63.81,54.75,0.007,0.13,"NA","NA","rain","Light rain in the morning.",1011.97,NA,2016-04-09
"62",NA,8.85,183,7.55,0.9,55.39,60.13,57.47,0.0084,0.09,"NA","NA","rain","Light rain until evening, starting again overnight.",1011.59,NA,2016-04-08
"63",0.1,9.49,197,5.02,0.73,53.24,73.15,54.74,6e-04,0.05,"NA","NA","rain","Drizzle overnight.",1010.79,NA,2016-04-07
"64",0,9.79,186,7.14,0.65,51.44,74.63,56.23,0,0.02,"NA","NA","clear-day","Clear throughout the day.",1012.02,NA,2016-04-06
"65",0.02,9.91,347,3.92,0.53,47.94,86.44,50.05,0,0.97,"NA","NA","clear-day","Clear throughout the day.",1018.18,NA,2016-04-05
"66",0.04,9.93,334,8.25,0.45,41.02,81.15,51.33,0,0.94,"NA","NA","clear-day","Clear throughout the day.",1020.95,NA,2016-04-04
"67",0.02,9.94,334,1.65,0.63,47.91,76.55,49.34,0,0.9,"NA","NA","clear-day","Clear throughout the day.",1020.88,NA,2016-04-03
"68",0.04,9.86,187,4.79,0.7,49.61,76.13,49.55,0,0.86,"NA","NA","clear-day","Clear throughout the day.",1018.05,NA,2016-04-02
"69",0.02,9.51,182,3.5,0.7,49.9,74.82,47.94,0,0.83,"NA","NA","clear-day","Clear throughout the day.",1020.27,NA,2016-04-01
"70",0.02,9.91,178,5.88,0.7,47.86,71.24,47.07,0,0.79,"NA","NA","clear-day","Clear throughout the day.",1019.8,NA,2016-03-31
"71",0.02,9.77,172,5.67,0.72,47.88,71.68,47.54,0,0.76,"NA","NA","clear-day","Clear throughout the day.",1017.75,NA,2016-03-30
"72",0.03,9.9,188,1.91,0.61,40.9,69.84,41.87,0,0.73,"NA","NA","clear-day","Clear throughout the day.",1014.11,NA,2016-03-29
"73",0.04,10,316,4.16,0.49,33.43,65.23,42.81,0,0.69,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1010.98,NA,2016-03-28
"74",0.13,9.95,324,4.86,0.57,37.29,60.91,43.83,0,0.66,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1011.86,NA,2016-03-27
"75",0.05,9.89,185,6.23,0.74,50.97,68.84,52.54,0,0.63,"NA","NA","clear-day","Clear throughout the day.",1015.6,NA,2016-03-26
"76",0.03,9.96,311,5.4,0.55,42.94,74.23,50.3,0,0.6,"NA","NA","clear-day","Clear throughout the day.",1013.8,NA,2016-03-25
"77",0.06,9.41,310,3.55,0.67,45.95,72.61,46.72,0,0.57,"NA","NA","clear-day","Clear throughout the day.",1016.35,NA,2016-03-24
"78",0.02,9.94,257,0.68,0.68,45.85,70.94,45.15,0,0.54,"NA","NA","clear-day","Clear throughout the day.",1022.58,NA,2016-03-23
"79",0.05,10,326,5.58,0.64,41.86,67.55,44.17,0,0.51,"NA","NA","clear-day","Clear throughout the day.",1024.85,NA,2016-03-22
"80",0.08,9.94,276,1.23,0.67,40.98,63.07,43.67,0,0.48,"NA","NA","clear-day","Clear throughout the day.",1022.15,NA,2016-03-21
"81",0.21,9.74,192,8.09,0.77,48.62,62.71,49.55,0.0019,0.45,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1017.62,NA,2016-03-20
"82",0.19,9.65,193,6.85,0.8,52.51,67.07,50.93,0.0027,0.42,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1017.05,NA,2016-03-19
"83",0.09,9.89,183,6.39,0.79,51.8,71.53,49.21,0,0.39,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1015.65,NA,2016-03-18
"84",0.02,9.73,178,4.68,0.77,51.24,72.09,47.73,0,0.35,"NA","NA","clear-day","Clear throughout the day.",1013.85,NA,2016-03-17
"85",0,9.84,207,0.45,0.72,48.83,74.58,45.32,0,0.32,"NA","NA","clear-day","Clear throughout the day.",1013.89,NA,2016-03-16
"86",0.01,9.98,335,3.41,0.67,44.15,69.53,42.79,0,0.29,"NA","NA","clear-day","Clear throughout the day.",1018.32,NA,2016-03-15
"87",0.02,9.79,322,6.34,0.68,41.71,65.46,42.84,0,0.25,"NA","NA","clear-day","Clear throughout the day.",1023.12,NA,2016-03-14
"88",0.14,9.85,211,5.79,0.72,45.79,61.47,48.44,0.0049,0.21,"NA","NA","rain","Drizzle in the morning.",1021.24,NA,2016-03-13
"89",NA,7.42,155,15.65,0.9,51.18,55.75,51.23,0.0174,0.18,"NA","NA","rain","Light rain throughout the day.",1016.47,NA,2016-03-12
"90",0.27,7.8,156,10.27,0.84,47.96,58.08,48.58,0.021,0.14,"NA","NA","rain","Rain starting in the afternoon.",1019.03,NA,2016-03-11
"91",0.16,7.44,155,9.32,0.87,49.45,57.1,50.47,0.0205,0.1,"NA","NA","rain","Rain throughout the day.",1009.12,NA,2016-03-10
"92",0.11,8.48,145,5.95,0.82,52.31,62.85,54.61,0.0216,0.07,"NA","NA","rain","Rain starting in the afternoon.",1015.88,NA,2016-03-09
"93",0.23,9.97,159,5.57,0.79,49.48,64.94,47.42,2e-04,0.03,"NA","NA","clear-day","Clear throughout the day.",1018.74,NA,2016-03-08
"94",0.12,9,200,2.76,0.77,41.64,57.32,38.73,0,0.99,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1018.14,NA,2016-03-07
"95",0.03,8.56,201,1.13,0.87,45.15,54.61,43.28,0.0156,0.95,"NA","NA","rain","Light rain until afternoon.",1009.46,NA,2016-03-06
"96",0.21,9.01,173,9.13,0.76,46.38,59,49.37,0.013,0.92,"NA","NA","rain","Rain starting in the evening.",1011.54,NA,2016-03-05
"97",NA,7.6,154,16.39,0.88,56.56,63.8,55,0.053,0.88,"NA","NA","rain","Heavy rain throughout the day and breezy in the evening.",1008.33,NA,2016-03-04
"98",NA,7.93,167,4.64,0.9,57.76,67.17,56.76,0.0257,0.85,"NA","NA","rain","Rain starting in the afternoon.",1014.89,NA,2016-03-03
"99",0.22,9.93,182,3.67,0.78,53.26,65.23,54.6,2e-04,0.81,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1018.64,NA,2016-03-02
"100",0.11,9.09,196,4.76,0.78,51.28,71.23,47.72,0,0.78,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1018.36,NA,2016-03-01
"101",0.05,9.98,197,6.26,0.68,47.8,71.41,49.43,0,0.75,"NA","NA","clear-day","Clear throughout the day.",1019.59,NA,2016-02-29
"102",0.06,9.68,329,4.11,0.67,45.4,72.59,44.67,0,0.72,"NA","NA","clear-day","Clear throughout the day.",1021.19,NA,2016-02-28
"103",0.02,9.93,325,1.49,0.77,46.36,67.33,44.4,0,0.69,"NA","NA","clear-day","Clear throughout the day.",1021.73,NA,2016-02-27
"104",0.06,8.67,341,1.76,0.79,48.23,64.74,46.11,0,0.66,"NA","NA","clear-day","Clear throughout the day.",1021.39,NA,2016-02-26
"105",0.08,9.39,195,4.75,0.76,49.2,69.16,47.33,0,0.63,"NA","NA","partly-cloudy-night","Partly cloudy in the evening.",1019.47,NA,2016-02-25
"106",0.04,9.19,344,1.45,0.72,47.02,71.46,44.43,0,0.6,"NA","NA","clear-day","Clear throughout the day.",1019.72,NA,2016-02-24
"107",0.07,9.25,310,2.36,0.73,45.93,69.46,42.88,0,0.57,"NA","NA","clear-day","Clear throughout the day.",1020.19,NA,2016-02-23
"108",0.03,9.86,143,1.37,0.64,40.6,68.22,39.71,0,0.54,"NA","NA","clear-day","Clear throughout the day.",1017.93,NA,2016-02-22
"109",0.05,9.48,328,6.19,0.68,40.89,68.07,40.58,0,0.51,"NA","NA","clear-day","Clear throughout the day.",1022.09,NA,2016-02-21
"110",0.05,8.66,316,3.06,0.77,43.04,64.27,37.32,0,0.47,"NA","NA","clear-day","Clear throughout the day.",1024.03,NA,2016-02-20
"111",0.11,8.01,320,4.9,0.81,44.1,59.47,43.7,0,0.44,"NA","NA","fog","Foggy in the morning.",1023.07,NA,2016-02-19
"112",0.19,9.86,165,6.22,0.79,45.09,61,44.45,2e-04,0.41,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1019.88,NA,2016-02-18
"113",0.2,9.41,163,9.5,0.77,45.34,58.6,47.37,0.0156,0.37,"NA","NA","rain","Light rain in the afternoon.",1013.03,NA,2016-02-17
"114",0.11,8.18,190,9.55,0.69,50.07,66.86,49.23,0.023,0.34,"NA","NA","rain","Heavy rain starting in the evening.",1002.42,NA,2016-02-16
"115",0.07,8.42,12,0.49,0.76,51.19,73.74,46.4,0,0.3,"NA","NA","clear-day","Clear throughout the day.",1013.2,NA,2016-02-15
"116",0.06,9.05,102,1.9,0.7,49.3,74.83,45.93,0,0.27,"NA","NA","clear-day","Clear throughout the day.",1019.96,NA,2016-02-14
"117",0.03,9.91,328,9.51,0.66,47.31,74.26,45.17,0,0.23,"NA","NA","clear-day","Clear throughout the day.",1023.29,NA,2016-02-13
"118",0.05,7.8,323,4.49,0.73,46.59,71.06,45.71,0,0.19,"NA","NA","clear-day","Clear throughout the day.",1023.22,NA,2016-02-12
"119",0.05,8.21,324,1.27,0.78,47.6,68.22,42.41,0,0.16,"NA","NA","clear-day","Clear throughout the day.",1022,NA,2016-02-11
"120",0.02,9.32,136,0.41,0.75,47.19,69.54,43.77,0,0.12,"NA","NA","clear-day","Clear throughout the day.",1021.1,NA,2016-02-10
"121",0.01,9.14,341,2.74,0.77,46.36,67.92,42.04,0,0.08,"NA","NA","clear-day","Clear throughout the day.",1022.97,NA,2016-02-09
"122",0.02,9.43,340,2.78,0.73,46.45,71.38,43.96,0,0.04,"NA","NA","clear-day","Clear throughout the day.",1022.8,NA,2016-02-08
"123",0.01,7.92,79,1.25,0.74,45.14,72.27,40.11,0,0.01,"NA","NA","clear-day","Clear throughout the day.",1023.55,NA,2016-02-07
"124",0.02,8.96,80,1.84,0.76,44.07,68.27,39.27,0,0.97,"NA","NA","clear-day","Clear throughout the day.",1024.75,NA,2016-02-06
"125",0.07,8.06,323,4.29,0.79,42.51,62.92,37,0,0.93,"NA","NA","clear-day","Clear throughout the day.",1028.86,NA,2016-02-05
"126",0.05,8.56,215,0.27,0.82,41.51,59.84,36.35,0,0.9,"NA","NA","clear-day","Clear throughout the day.",1030.07,NA,2016-02-04
"127",0.05,9.82,330,7.34,0.8,42.14,57.55,42.01,0,0.87,"NA","NA","clear-day","Clear throughout the day.",1030.47,NA,2016-02-03
"128",0.14,8.81,61,0.66,0.8,38.21,52.95,34.1,0,0.83,"NA","NA","partly-cloudy-night","Partly cloudy in the evening.",1029.04,NA,2016-02-02
"129",0.17,9.54,123,2.17,0.77,36.98,48.84,38.92,0.0024,0.8,"NA","NA","rain","Light rain in the morning.",1024.98,NA,2016-02-01
"130",0.04,9.99,333,11.35,0.49,27,55.12,36.99,0,0.77,"NA","NA","clear-day","Clear throughout the day.",1020.63,NA,2016-01-31
"131",0.17,9.99,323,13.61,0.63,36,55.08,45.51,0,0.74,"NA","NA","wind","Partly cloudy in the morning and breezy starting in the afternoon.",1010.08,NA,2016-01-30
"132",0.19,9.96,220,2.84,0.77,45.63,58.55,48.4,0.0011,0.71,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1016.1,NA,2016-01-29
"133",NA,4.92,164,8.91,0.86,51.08,58,53.07,0.0083,0.68,"NA","NA","rain","Rain starting in the evening.",1019.29,NA,2016-01-28
"134",0.13,7.02,141,4.2,0.85,45.52,56.08,41.72,4e-04,0.65,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1024.6,NA,2016-01-27
"135",0.05,7.12,328,1.76,0.82,45.15,62.47,41.86,1e-04,0.62,"NA","NA","clear-day","Clear throughout the day.",1026.72,NA,2016-01-26
"136",0.08,6.2,107,1.01,0.88,44.83,58.23,40.87,0,0.59,"NA","NA","clear-day","Clear throughout the day.",1026.75,NA,2016-01-25
"137",0.18,8.13,322,5.1,0.85,45.89,59.47,45.16,3e-04,0.56,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1024.42,NA,2016-01-24
"138",0.16,9.38,143,2.98,0.84,44.06,56.55,39.11,0,0.53,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1022.22,NA,2016-01-23
"139",0.2,8.86,183,8.86,0.82,47.37,57.61,47.91,0.0095,0.49,"NA","NA","rain","Light rain until afternoon.",1016.73,NA,2016-01-22
"140",0.3,7.76,149,10.23,0.83,49.7,57.32,53.01,0.0106,0.46,"NA","NA","rain","Rain until afternoon, starting again overnight.",1015.89,NA,2016-01-21
"141",0.11,7.41,156,1.73,0.84,49.47,62.02,47.82,0,0.43,"NA","NA","fog","Foggy in the morning.",1021.02,NA,2016-01-20
"142",0.1,6.96,259,1.06,0.89,48.74,59.2,46.71,1e-04,0.39,"NA","NA","clear-day","Clear throughout the day.",1023.89,NA,2016-01-19
"143",0.29,8.02,152,13.69,0.89,51.99,58.52,53.16,0.028,0.36,"NA","NA","rain","Rain until afternoon and breezy in the morning.",1017.28,NA,2016-01-18
"144",0.21,9.06,143,6.49,0.83,51.16,61.99,52.24,0.025,0.32,"NA","NA","rain","Rain in the morning.",1020.21,NA,2016-01-17
"145",0.31,8.39,150,9.03,0.84,49.49,56.6,50.58,0.0186,0.28,"NA","NA","rain","Rain starting in the afternoon.",1019.52,NA,2016-01-16
"146",0.13,8.66,140,6.85,0.86,48.29,58.08,48.18,0.0096,0.25,"NA","NA","rain","Light rain in the morning.",1021.69,NA,2016-01-15
"147",0.21,6.95,316,1.62,0.9,45.63,53.42,43.32,0.0025,0.21,"NA","NA","rain","Rain overnight.",1019.21,NA,2016-01-14
"148",0.11,8.78,149,7.21,0.85,41.84,53.01,38.85,0.0031,0.17,"NA","NA","rain","Light rain in the afternoon and overnight.",1019.48,NA,2016-01-13
"149",0.18,8.43,169,11.05,0.77,45.19,58.7,43.41,0.0159,0.13,"NA","NA","rain","Rain in the morning.",1019.1,NA,2016-01-12
"150",0.05,8.04,132,3,0.82,42.38,57.7,38.48,0,0.1,"NA","NA","rain","Light rain overnight.",1023.09,NA,2016-01-11
"151",0.15,9.64,349,2.66,0.81,43.36,58.78,43.48,0,0.06,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1026.82,NA,2016-01-10
"152",0.14,8.04,334,3.16,0.86,45.09,55.41,42.19,0.0048,0.03,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1023.28,NA,2016-01-09
"153",NA,8.25,138,4.4,0.84,43.81,52,44.97,0.0032,0.98,"NA","NA","rain","Light rain overnight.",1021.04,NA,2016-01-08
"154",0.19,5.58,179,1.81,0.9,39.69,51.46,35.26,0,0.95,"NA","NA","rain","Light rain overnight.",1019.18,NA,2016-01-07
"155",0.03,8.58,312,1.13,0.89,42.82,51.33,37.79,0.0023,0.92,"NA","NA","fog","Foggy overnight.",1013.92,NA,2016-01-06
"156",0.16,8.91,147,12.36,0.86,44.48,51.36,46.61,0.0254,0.89,"NA","NA","rain","Rain in the morning and evening and breezy in the morning.",1006.68,NA,2016-01-05
"157",0.25,7.2,160,9.53,0.88,46.94,54,47.63,0.0458,0.86,"NA","NA","rain","Rain in the morning and afternoon.",1005.79,NA,2016-01-04
"158",0.16,8.44,130,4.12,0.8,40.56,53.48,39.59,0.0061,0.83,"NA","NA","rain","Rain until afternoon, starting again overnight.",1008.11,NA,2016-01-03
"159",0.1,9.91,337,3.89,0.64,33.42,55.15,36.94,0,0.8,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1012.82,NA,2016-01-02
"160",0.18,9.86,338,4.48,0.65,29.74,48.66,35.45,0,0.77,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1018.79,NA,2016-01-01
"161",0.15,9.87,344,5.05,0.6,24.78,47.7,32.18,0,0.74,"NA","NA","partly-cloudy-night","Partly cloudy in the evening.",1021.47,NA,2015-12-31
"162",0.05,7.1,338,3.04,0.76,29.84,50.83,27.85,0,0.71,"NA","NA","fog","Foggy in the morning.",1023.54,NA,2015-12-30
"163",0.1,9.51,328,2.07,0.79,34.23,48.32,32.25,0,0.68,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1024.48,NA,2015-12-29
"164",0.01,9.31,145,2.53,0.81,33.16,49.85,29.69,0,0.65,"NA","NA","clear-day","Clear throughout the day.",1019.48,NA,2015-12-28
"165",0.08,9.86,330,5.69,0.79,34.78,48.68,33.8,0.0012,0.62,"NA","NA","clear-day","Clear throughout the day.",1017.91,NA,2015-12-27
"166",0.09,9.76,41,1.2,0.79,31.84,44.82,29.31,0,0.58,"NA","NA","rain","Light rain overnight.",1024.42,NA,2015-12-26
"167",0,10,339,5.31,0.61,27.49,52.66,34.63,0,0.55,"NA","NA","clear-day","Clear throughout the day.",1029.57,NA,2015-12-25
"168",0.03,9.99,35,0.9,0.78,33.6,50.54,32.85,0,0.52,"NA","NA","clear-day","Clear throughout the day.",1023.06,NA,2015-12-24
