"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.74,9.68,257,4.19,0.74,50.18,69.68,49.3,0.0015,0.17,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1014.25,359.25,2016-06-09
"2",0.4,9.88,244,3.74,0.65,51.21,72.24,56.05,0,0.13,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1012.26,342.17,2016-06-08
"3",0.15,10,328,2.34,0.5,51.54,86.65,58.2,0,0.1,"NA","NA","clear-day","Clear throughout the day.",1009.05,305.47,2016-06-07
"4",0.01,10,348,4.08,0.53,55.95,90.31,61.67,0,0.07,"NA","NA","clear-day","Clear throughout the day.",1011.03,300.69,2016-06-06
"5",0.27,9.25,285,3.53,0.63,63.83,90.05,65.69,0,0.03,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1011.54,313.2,2016-06-05
"6",0.2,10,0,4.2,0.59,61.12,94.59,61.9,0,0.98,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1013.87,309,2016-06-04
"7",0.32,7.68,15,4.22,0.68,57.45,84.5,55.08,0,0.95,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1020.52,301.74,2016-06-03
"8",0.63,8.22,234,2.49,0.8,55.9,69.68,56.66,0.0033,0.91,"NA","NA","rain","Light rain in the morning.",1018.81,324.33,2016-06-02
"9",0.62,9.99,299,2.61,0.59,49.53,79.27,53.02,0,0.88,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1014.22,340.58,2016-06-01
"10",0.33,10,349,3.54,0.55,48.22,83.84,49.6,0,0.84,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1016.21,340.68,2016-05-31
"11",0.29,10,15,5.54,0.6,45.52,75.14,45.43,0,0.8,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1021.93,347.23,2016-05-30
"12",0.48,10,325,3.05,0.7,48.82,68.96,49.21,0,0.76,"NA","NA","partly-cloudy-day","Mostly cloudy until evening.",1020.21,364.66,2016-05-29
"13",0.15,10,284,1.97,0.67,44.81,71.25,41.26,0,0.73,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1019.1,367.78,2016-05-28
"14",0.5,9.47,303,3.64,0.7,44.33,61.82,47.59,4e-04,0.69,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1022.33,370.99,2016-05-27
"15",0.63,9.9,307,3.74,0.7,44.69,60.04,49.46,0,0.66,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1023.57,365,2016-05-26
"16",0.56,10,267,3.44,0.69,47.24,63.73,53.2,0,0.62,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1021,NA,2016-05-25
"17",0.41,10,312,3.65,0.67,48.54,69.91,50.98,0,0.59,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1014.95,NA,2016-05-24
"18",0.43,9.95,200,5.42,0.77,49,63.73,49.3,6e-04,0.56,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1014,NA,2016-05-23
"19",0.58,9.43,197,6.81,0.78,48.34,61.95,50.8,0.0137,0.53,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1015.08,NA,2016-05-22
"20",0.68,9.99,181,4.07,0.73,45.74,60.1,49.66,2e-04,0.49,"NA","NA","clear-day","Clear throughout the day.",1011.41,NA,2016-05-21
"21",0.48,10,301,2.78,0.69,43.01,61.88,45.93,0,0.46,"NA","NA","partly-cloudy-night","Mostly cloudy in the morning.",1009.41,NA,2016-05-20
"22",0.57,10,246,5.74,0.73,44.03,57.87,48.11,0.0046,0.44,"NA","NA","rain","Rain in the afternoon.",1015.62,NA,2016-05-19
"23",0.14,9.98,290,6.81,0.69,49.01,73.47,50.79,0,0.41,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1018.64,NA,2016-05-18
"24",0.16,10,6,5.49,0.64,49.38,74.84,52.93,0,0.38,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1022.83,NA,2016-05-17
"25",NA,9.43,357,3.92,0.74,48.16,60.02,51.4,0.0022,0.35,"NA","NA","rain","Light rain in the morning.",1022.66,NA,2016-05-16
"26",NA,9.54,198,2.54,0.85,51.71,61.58,52.94,0.002,0.31,"NA","NA","rain","Light rain in the morning.",1017.52,NA,2016-05-15
"27",0.6,8.73,200,4.93,0.87,50.41,55.88,53.12,0.0172,0.28,"NA","NA","rain","Rain until afternoon, starting again in the evening.",1015.59,NA,2016-05-14
"28",0.07,10,278,5.7,0.56,47.03,79.89,49.56,0,0.25,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1013.06,NA,2016-05-13
"29",0.01,10,272,3,0.46,42.03,82.09,46.7,0,0.22,"NA","NA","clear-day","Clear throughout the day.",1015.02,NA,2016-05-12
"30",0.01,9.98,354,3.51,0.41,40.13,84.6,46.1,0,0.18,"NA","NA","clear-day","Dry throughout the day.",1016.31,NA,2016-05-11
"31",0.02,9.99,356,6.19,0.54,41.97,78.56,43.07,0,0.15,"NA","NA","clear-day","Dry throughout the day.",1020.7,NA,2016-05-10
"32",0.19,10,343,0.67,0.56,39.59,67.02,44.13,0,0.11,"NA","NA","partly-cloudy-night","Mostly cloudy in the morning.",1019.46,NA,2016-05-09
"33",0.33,9.8,304,6.95,0.63,43.41,64.88,51.37,0,0.08,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1016.33,NA,2016-05-08
"34",0.02,10,309,6.19,0.48,46.5,83.54,55.79,0,0.04,"NA","NA","partly-cloudy-day","Dry throughout the day and partly cloudy in the afternoon.",1011.78,NA,2016-05-07
