"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.25,10,190,3.21,0.36,46.55,88.56,64.89,6e-04,0.17,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1007.26,302.06,2016-06-09
"2",0.09,10,116,1.15,0.33,46.25,90.52,66.16,4e-04,0.13,"NA","NA","clear-day","Clear throughout the day.",1009.41,312.74,2016-06-08
"3",0.19,10,26,0.56,0.35,46.8,86.29,68.84,0.0034,0.1,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1008.71,324.4,2016-06-07
"4",0.13,10,91,6.52,0.3,45.55,92.97,70.93,0.003,0.06,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1007.15,316.8,2016-06-06
"5",0.15,10,53,1.43,0.4,47.66,86.19,59.57,1e-04,0.03,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1012.14,306.22,2016-06-05
"6",0.01,10,332,1.53,0.5,52.51,85.03,61.24,0,0.98,"NA","NA","clear-day","Clear throughout the day.",1018.54,312.52,2016-06-04
"7",0.3,10,327,2.9,0.45,46.27,77.35,57.88,0,0.95,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1019.69,313.93,2016-06-03
"8",0.31,10,188,1.3,0.35,39.73,79.38,56.45,0,0.91,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1014.93,330.62,2016-06-02
"9",0.04,10,16,0.81,0.44,37.24,71.75,48.2,0,0.88,"NA","NA","clear-day","Clear throughout the day.",1014.8,333.51,2016-06-01
"10",0.08,10,321,3,0.48,38.57,69.15,48.92,0,0.84,"NA","NA","clear-day","Clear throughout the day.",1014.66,336.27,2016-05-31
"11",0.26,10,324,2.27,0.55,44.47,70.84,52.48,0.0011,0.8,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1014.8,345.52,2016-05-30
"12",0.28,10,155,1.32,0.5,42.42,72.08,51.11,9e-04,0.76,"NA","NA","rain","Drizzle overnight.",1014.49,348.18,2016-05-29
"13",0.09,10,322,2.23,0.57,42.3,67.36,48.58,5e-04,0.73,"NA","NA","clear-day","Clear throughout the day.",1013.36,355.85,2016-05-28
"14",0.16,9.83,265,1.61,0.58,40.29,62.73,46.53,0.0033,0.69,"NA","NA","rain","Light rain in the afternoon.",1010.91,357.71,2016-05-27
"15",0.22,10,316,2.77,0.59,40.46,67.93,45.79,6e-04,0.66,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1012.03,359.62,2016-05-26
"16",0.25,10,187,1.35,0.53,39.4,64.53,50.05,3e-04,0.62,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1012.6,NA,2016-05-25
"17",0.32,10,164,1.45,0.49,38.21,68.37,51.29,3e-04,0.59,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1006.82,NA,2016-05-24
"18",0.26,9.99,307,1.32,0.52,35.58,67.08,43.68,0,0.56,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1009.74,NA,2016-05-23
"19",0.32,9.89,74,1.62,0.58,36.72,58.23,45.96,9e-04,0.53,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1012.04,NA,2016-05-22
