"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.15,10,173,3.25,0.65,65.7,92.02,67.21,0,0.2,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1018.38,315.92,2016-06-09
"2",0.15,9.82,73,2.6,0.56,57.17,87.6,63.78,0,0.16,"NA","NA","partly-cloudy-day","Partly cloudy starting in the evening.",1016.34,306.94,2016-06-08
"3",0.02,9.91,310,2.16,0.55,57.18,86.61,64.58,0,0.13,"NA","NA","clear-day","Clear throughout the day.",1011.2,312.01,2016-06-07
"4",0.33,9.81,286,4.08,0.7,66.87,90.07,71.34,0.0167,0.1,"NA","NA","rain","Rain in the morning.",1006.06,303.99,2016-06-06
"5",0.76,9.08,188,4.97,0.91,71.87,78.18,72,0.053,0.06,"NA","NA","rain","Rain throughout the day.",1010.9,286.57,2016-06-05
"6",0.83,7.32,194,7.17,0.8,72.89,89.06,72.57,0.0329,0.03,"NA","NA","rain","Rain throughout the day.",1011.86,291.81,2016-06-04
"7",0.3,9.34,181,4.35,0.73,72.7,92.85,73,0.011,0.98,"NA","NA","rain","Rain starting in the evening.",1014.52,300.65,2016-06-03
"8",0.38,8.46,188,2.01,0.72,70.52,92.82,71.6,0.0041,0.95,"NA","NA","rain","Light rain throughout the day.",1016.39,309.72,2016-06-02
"9",0.16,8.48,218,0.93,0.72,69.49,90.05,69.91,0.0083,0.91,"NA","NA","rain","Light rain starting in the afternoon.",1016.63,319.78,2016-06-01
"10",0.28,8.43,33,1.13,0.75,69.59,88.57,69.06,0.0102,0.87,"NA","NA","rain","Light rain until evening.",1015.3,333.16,2016-05-31
"11",0.29,9.47,22,2.67,0.78,69.11,87.07,69.15,0.0012,0.83,"NA","NA","rain","Drizzle overnight.",1013.21,334.02,2016-05-30
