"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.14,9.79,181,8.97,0.64,61.34,90.46,60.85,0.0017,0.17,"NA","NA","rain","Light rain in the morning.",1014.91,325.91,2016-06-08
"2",0.03,9.95,261,0.73,0.58,52.02,81.07,52.17,0,0.13,"NA","NA","clear-day","Clear throughout the day.",1015.51,329.35,2016-06-07
"3",0.04,10,308,7.73,0.55,50.32,77.17,58.21,0,0.1,"NA","NA","clear-day","Clear throughout the day.",1011.24,345.89,2016-06-06
"4",0.08,10,272,10.5,0.5,54.32,87.04,64.32,0,0.06,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1007.4,329.85,2016-06-05
"5",0.17,8.68,275,8.72,0.69,59.28,80.43,61.41,5e-04,0.03,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1008.27,332.36,2016-06-04
"6",0.79,9.78,218,4.15,0.77,63.69,80.25,65.43,0.0134,0.98,"NA","NA","rain","Light rain until evening.",1010.33,331.64,2016-06-03
"7",0.69,8.58,143,3.05,0.63,57.98,83.33,60.04,2e-04,0.95,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1016.43,324.67,2016-06-02
"8",0.42,9.07,318,3.72,0.62,57.8,82.96,61.4,0,0.91,"NA","NA","partly-cloudy-day","Mostly cloudy until afternoon.",1016.62,327.05,2016-06-01
"9",0.57,8.18,267,0.98,0.8,65.51,79.46,66.11,0.0078,0.87,"NA","NA","rain","Light rain in the morning and afternoon.",1013.57,329.33,2016-05-31
"10",0.49,9.68,174,2.62,0.73,63.57,80.65,65.61,0.0117,0.84,"NA","NA","rain","Light rain until evening, starting again overnight.",1013.85,324.76,2016-05-30
"11",0.26,9.68,231,2.71,0.67,62.48,86.06,63.69,0.0017,0.8,"NA","NA","rain","Light rain overnight.",1016.08,340.59,2016-05-29
