"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.05,10,146,1.85,0.59,60.42,92.57,61.26,0,0.2,"NA","NA","clear-day","Clear throughout the day.",1017.78,320.23,2016-06-09
"2",0.07,9.85,56,3.03,0.54,53.03,87.44,58.38,0,0.17,"NA","NA","clear-day","Clear throughout the day.",1017.15,322.23,2016-06-08
"3",0.02,9.93,312,3.41,0.57,53.26,82.07,56.67,0,0.13,"NA","NA","clear-day","Clear throughout the day.",1015.1,321.02,2016-06-07
"4",0.01,9.99,303,5.55,0.61,58.6,83.36,64.66,0,0.1,"NA","NA","clear-day","Clear throughout the day.",1009.93,330.42,2016-06-06
"5",0.06,10,285,2,0.69,62.14,84.8,62.6,0,0.06,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1010.26,319.08,2016-06-05
"6",0.67,8.2,252,4.27,0.76,66.15,84.36,68.27,0.0082,0.03,"NA","NA","rain","Light rain in the morning and afternoon.",1010.12,313.91,2016-06-04
"7",0.81,7.77,212,3.1,0.87,69.85,82.05,68.68,0.0193,0.98,"NA","NA","rain","Rain throughout the day.",1012.61,301.93,2016-06-03
"8",0.81,7.41,90,1.49,0.83,69.09,84,67.09,0.0168,0.95,"NA","NA","rain","Rain throughout the day.",1016.18,303.78,2016-06-02
"9",0.67,7.98,195,0.56,0.8,68.24,83.56,68.26,0.0138,0.91,"NA","NA","rain","Light rain until evening.",1016.37,316.43,2016-06-01
"10",0.42,8.51,178,2,0.75,67.57,89.24,66.98,0.0178,0.87,"NA","NA","rain","Rain throughout the day.",1014.18,320.46,2016-05-31
"11",0.36,9.99,78,1.74,0.66,63.12,87.38,63.85,6e-04,0.84,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1013.65,326.5,2016-05-30
"12",0.17,9.96,353,3.24,0.66,63.65,86.89,67.16,5e-04,0.8,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1016.1,332.62,2016-05-29
"13",0.23,9.57,248,1.86,0.75,66.98,87.58,64.83,0.0023,0.76,"NA","NA","rain","Drizzle in the evening.",1018.3,326.99,2016-05-28
"14",0.6,9.89,158,5.86,0.74,66.54,81.08,70.03,0.0023,0.73,"NA","NA","rain","Drizzle until afternoon.",1017.24,306.19,2016-05-27
"15",0.43,9.33,171,5.41,0.71,65.24,86.38,64.87,0.0031,0.69,"NA","NA","rain","Light rain starting in the afternoon.",1015.35,302.96,2016-05-26
"16",0.32,9.16,184,4,0.77,65.31,85.25,65.54,0.0057,0.65,"NA","NA","rain","Light rain in the afternoon and evening.",1017.91,NA,2016-05-25
"17",0.34,9.19,178,3.76,0.71,61.73,82.66,66.24,0.0224,0.62,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1019.46,NA,2016-05-24
"18",0.19,9.94,196,3.45,0.57,53.17,85.79,54.44,0,0.59,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1018.42,NA,2016-05-23
"19",0.09,9.97,48,2.83,0.56,49.79,83.26,52.66,0,0.56,"NA","NA","clear-day","Clear throughout the day.",1015.76,NA,2016-05-22
"20",0.08,8.15,340,3.69,0.63,49.8,78.8,50.74,0,0.53,"NA","NA","clear-day","Clear throughout the day.",1017.37,NA,2016-05-21
"21",0.39,8.68,314,6.62,0.77,56.37,70.86,58.38,1e-04,0.48,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1017.44,NA,2016-05-20
"22",0.48,8.6,83,1.64,0.84,57.2,66.3,59.8,0.0285,0.46,"NA","NA","rain","Rain until evening.",1015.95,NA,2016-05-19
"23",0.17,9.62,41,7.21,0.62,48.09,75.45,50.87,0,0.43,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1018.86,NA,2016-05-18
"24",0.65,9.69,11,8.15,0.8,51.61,60.67,53.84,0.0025,0.4,"NA","NA","rain","Light rain in the morning.",1018.69,NA,2016-05-17
"25",0.5,9.1,40,5.48,0.83,56.12,73.71,53.53,0.0048,0.37,"NA","NA","rain","Light rain in the morning.",1018.1,NA,2016-05-16
"26",0.48,9.99,67,5.45,0.58,41.39,68.69,48.14,0.0027,0.34,"NA","NA","rain","Light rain starting in the evening.",1022.32,NA,2016-05-15
"27",0.16,9.95,321,3.32,0.55,36.47,67.39,40.21,0,0.31,"NA","NA","clear-day","Clear throughout the day.",1022.15,NA,2016-05-14
"28",0.21,9.81,329,6.02,0.62,42.21,61.63,48.01,0,0.28,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1017.6,NA,2016-05-13
"29",0.13,9.99,316,4.87,0.58,49.49,76.21,56.79,0,0.25,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1018.57,NA,2016-05-12
"30",0.34,9.7,261,2.19,0.76,62.78,81.64,64.76,0.0094,0.22,"NA","NA","rain","Rain in the afternoon and evening.",1017.58,NA,2016-05-11
"31",0.29,9.39,193,4.63,0.68,64.58,87.78,67.71,0.0069,0.18,"NA","NA","rain","Rain in the morning.",1017.41,NA,2016-05-10
"32",0.43,9.94,186,9.97,0.71,59.96,81.14,58.86,0.004,0.15,"NA","NA","rain","Light rain in the morning.",1015.14,NA,2016-05-09
"33",0.31,10,183,7.64,0.64,54.49,74,60.37,2e-04,0.11,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1014.92,NA,2016-05-08
"34",0.18,10,249,6.46,0.47,51.66,85.22,62.58,0,0.07,"NA","NA","clear-day","Clear throughout the day.",1013.43,NA,2016-05-07
"35",0.15,10,258,7.38,0.53,48.14,84.9,48.99,0,0.04,"NA","NA","clear-day","Clear throughout the day.",1013.25,NA,2016-05-06
"36",0.16,9.97,324,6.3,0.59,43.15,72.14,46.47,0,0.01,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1015.76,NA,2016-05-05
"37",0.31,9.98,326,9.17,0.64,40.87,59.46,44.68,3e-04,0.96,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1012.03,NA,2016-05-04
"38",0.2,9.75,295,5.4,0.7,46.81,66.87,46.92,0.0044,0.92,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1009.51,NA,2016-05-03
"39",0.55,9.99,330,6.4,0.69,49.09,65.19,54.59,0,0.88,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1014.28,NA,2016-05-02
"40",0.48,9.12,338,2.49,0.85,57.72,67,57.59,0.0086,0.85,"NA","NA","rain","Rain until afternoon.",1014.98,NA,2016-05-01
"41",0.35,8.81,206,5.66,0.79,63.48,81.02,63.51,7e-04,0.81,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1013.65,NA,2016-04-30
"42",0.39,9.33,116,3.52,0.85,62.37,74.67,63.36,0.0081,0.77,"NA","NA","rain","Rain in the morning and evening.",1012.57,NA,2016-04-29
"43",0.21,9.89,76,1.65,0.7,55.38,79.04,54.87,1e-04,0.74,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1015.78,NA,2016-04-28
"44",0.31,9.86,237,5.49,0.66,58.78,82.94,63.45,4e-04,0.7,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1011.49,NA,2016-04-27
"45",0.32,9.71,193,5.84,0.76,62.32,83.04,63.47,0.0114,0.67,"NA","NA","rain","Light rain in the evening.",1008.27,NA,2016-04-26
"46",0.26,9.95,210,5.8,0.59,57.63,85.48,61.65,0.0031,0.64,"NA","NA","rain","Rain starting in the evening.",1010.88,NA,2016-04-25
"47",0.26,9.99,193,7.51,0.54,51.6,84.3,58.98,0,0.61,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1013.18,NA,2016-04-24
"48",0.06,8.75,175,3.55,0.61,48.57,81.47,48.03,0,0.58,"NA","NA","clear-day","Clear throughout the day.",1016.29,NA,2016-04-23
"49",0.14,9.54,5,5.71,0.68,51.34,73.79,52.58,0,0.55,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1017.86,NA,2016-04-22
"50",0.3,9.98,295,4.33,0.69,54.21,75.14,59.53,0.0018,0.52,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1013.91,NA,2016-04-21
"51",0.3,9.44,185,6.91,0.67,54.14,74.49,59.97,0.0109,0.48,"NA","NA","rain","Rain starting in the afternoon.",1014.32,NA,2016-04-20
"52",0.24,9.99,205,4.65,0.48,48.94,83.6,57.31,0,0.46,"NA","NA","clear-day","Clear throughout the day.",1017.5,NA,2016-04-19
"53",0.21,9.35,240,2.04,0.55,47.44,81.33,52.46,0,0.43,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1022.01,NA,2016-04-18
"54",0.11,9.89,211,2.73,0.5,44.52,83.36,49.25,0,0.4,"NA","NA","clear-day","Clear throughout the day.",1025.51,NA,2016-04-17
"55",0.02,9.92,119,2.86,0.49,42.72,81.09,50.98,0,0.36,"NA","NA","clear-day","Clear throughout the day.",1026.63,NA,2016-04-16
"56",0.13,9.93,101,4.71,0.47,42.74,78.44,49.27,0,0.33,"NA","NA","clear-day","Clear throughout the day.",1023.8,NA,2016-04-15
"57",0.2,9.88,143,5.6,0.5,43.45,78,55.69,0,0.3,"NA","NA","clear-day","Clear throughout the day.",1020.14,NA,2016-04-14
"58",0.38,9.81,95,3.87,0.67,51.64,73.19,54.75,7e-04,0.27,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1019.33,NA,2016-04-13
"59",0.15,9.95,45,4.7,0.52,37.58,68.92,39.49,0,0.23,"NA","NA","clear-day","Clear throughout the day.",1021.92,NA,2016-04-12
"60",0.16,9.48,16,10.43,0.55,35.92,64.36,45.28,5e-04,0.2,"NA","NA","clear-day","Clear throughout the day.",1023.2,NA,2016-04-11
