"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.03,9.87,185,12.83,0.61,64.74,92.81,67.8,0,0.17,"NA","NA","clear-day","Clear throughout the day.",1011.2,333.98,2016-06-08
"2",0.03,9.93,156,7.95,0.63,61.83,88.81,61.62,3e-04,0.13,"NA","NA","clear-day","Clear throughout the day.",1012.13,325.22,2016-06-07
"3",0.05,10,62,1.36,0.61,56.12,82.4,59.2,0,0.1,"NA","NA","clear-day","Clear throughout the day.",1014.02,318.7,2016-06-06
"4",0.02,9.99,287,5.81,0.58,58.74,88.85,61.03,0,0.06,"NA","NA","clear-day","Clear throughout the day.",1010.83,324.74,2016-06-05
"5",0,9.19,313,5.63,0.62,57.24,84.14,58.8,0,0.03,"NA","NA","clear-day","Clear throughout the day.",1012.81,314.65,2016-06-04
"6",0.1,10,309,8.2,0.7,61.74,82.48,62.74,0.001,0.98,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1012.66,338.8,2016-06-03
"7",0.25,9.07,169,3.77,0.67,61.77,85.53,58.32,8e-04,0.95,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1014.21,333.79,2016-06-02
"8",0.21,9.28,101,3.17,0.62,56.44,85.18,56.65,0,0.91,"NA","NA","partly-cloudy-day","Partly cloudy in the morning.",1016.78,330.92,2016-06-01
"9",0.26,8.95,354,3.49,0.68,58.72,81.8,60.71,2e-04,0.87,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon.",1015.08,332.6,2016-05-31
"10",0.38,9.11,196,1.52,0.81,62.87,78.49,60.21,0.0021,0.84,"NA","NA","rain","Drizzle in the afternoon.",1012.58,324,2016-05-30
"11",0.26,9.73,170,7.1,0.75,64.05,83.64,61.33,0.0021,0.8,"NA","NA","rain","Drizzle starting in the evening.",1014.69,331.75,2016-05-29
"12",0.11,9.97,208,4.25,0.7,61.25,85.25,58.36,3e-04,0.76,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1017.02,347.88,2016-05-28
"13",0.35,10,231,4.98,0.79,59.93,76.74,58.32,0.0052,0.73,"NA","NA","rain","Light rain in the morning.",1009.82,353.16,2016-05-27
"14",0.72,8.41,133,4.85,0.88,62.57,74.11,60.03,0.0217,0.69,"NA","NA","rain","Light rain starting in the afternoon.",1006.42,316.47,2016-05-26
"15",0.64,8.18,134,6.28,0.88,66.8,79.71,62.7,0.067,0.65,"NA","NA","rain","Rain throughout the day.",1009.34,306.08,2016-05-25
"16",0.25,9.31,165,8.67,0.74,63.89,82.56,63.79,0.017,0.62,"NA","NA","rain","Rain in the morning and evening.",1010.38,NA,2016-05-24
"17",0.17,9.64,150,5.46,0.79,63.23,81.15,61.13,0.0154,0.59,"NA","NA","rain","Rain in the morning and overnight.",1011.62,NA,2016-05-23
"18",0.1,9.83,146,8.15,0.76,60.55,72.43,64.69,0.0054,0.56,"NA","NA","rain","Rain in the afternoon.",1010.16,NA,2016-05-22
"19",0.11,10,139,10.11,0.68,58.25,81.34,56.56,0,0.53,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1015.79,NA,2016-05-21
"20",0.1,9.76,108,6.34,0.68,52.32,73.6,51.83,0.0017,0.48,"NA","NA","rain","Light rain in the evening.",1020.06,NA,2016-05-20
"21",NA,9.36,105,4.78,0.78,52.83,65.87,55.75,0.0019,0.46,"NA","NA","rain","Light rain in the morning.",1017.46,NA,2016-05-19
"22",0.12,9.37,135,5.86,0.74,47.89,66.37,46.81,0.0016,0.43,"NA","NA","rain","Light rain in the evening.",1019.51,NA,2016-05-18
"23",0.14,9.26,71,1.56,0.7,46.02,68.32,44.26,0,0.4,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1023.38,NA,2016-05-17
"24",0.41,9.37,46,9.51,0.81,48.19,62.52,49.58,0.0048,0.37,"NA","NA","rain","Light rain in the morning.",1021.27,NA,2016-05-16
"25",NA,7.3,88,8.96,0.9,49.51,54.28,50.28,0.0269,0.34,"NA","NA","rain","Rain until evening.",1017.88,NA,2016-05-15
"26",0.06,9.95,69,1.88,0.59,38.66,65.12,42.05,8e-04,0.31,"NA","NA","rain","Rain overnight.",1022.59,NA,2016-05-14
"27",0.01,10,335,10.21,0.51,32.83,61.15,42.58,0,0.28,"NA","NA","clear-day","Clear throughout the day.",1024.72,NA,2016-05-13
