"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.56,10,299,8.04,0.74,43.33,64.18,41.21,4e-04,0.2,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1013.48,358.52,2016-06-09
"2",0.91,9.35,288,12.43,0.71,40.6,57.11,44.12,0.0011,0.16,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1006.09,376.7,2016-06-08
"3",0.65,7.86,292,6.37,0.77,47.33,61.02,48.19,0.003,0.13,"NA","NA","rain","Drizzle overnight.",999.98,374.28,2016-06-07
"4",0.42,6.35,301,0.34,0.79,53.22,71.5,50.46,0.009,0.1,"NA","NA","rain","Light rain in the morning and afternoon.",998.81,350.13,2016-06-06
"5",0.47,10,210,5.39,0.74,55.91,73.27,57.03,0.0035,0.06,"NA","NA","rain","Drizzle in the afternoon.",1000.42,330.85,2016-06-05
"6",0.84,6.82,128,4.67,0.9,56.01,62.56,52.93,0.0391,0.03,"NA","NA","rain","Rain throughout the day.",1008.04,321.98,2016-06-04
"7",0.49,9.74,299,2.04,0.68,54.11,76.91,53.13,9e-04,0.98,"NA","NA","partly-cloudy-day","Partly cloudy throughout the day.",1015.16,328.5,2016-06-03
"8",0.77,8.47,189,1.78,0.7,55.87,78.87,56.96,0.0026,0.95,"NA","NA","rain","Drizzle starting in the afternoon, continuing until evening.",1015.33,324.99,2016-06-02
"9",0.61,9.65,141,7.68,0.69,53.95,73.89,55.14,7e-04,0.91,"NA","NA","rain","Drizzle overnight.",1019,322.23,2016-06-01
"10",0.39,9.24,110,1.22,0.72,54.12,74.12,52.18,9e-04,0.87,"NA","NA","partly-cloudy-day","Mostly cloudy until evening.",1019.78,332.8,2016-05-31
"11",0.09,9.96,272,5.01,0.61,52.64,77.57,57.42,0,0.83,"NA","NA","clear-day","Clear throughout the day.",1012.34,337.68,2016-05-30
"12",0.52,9.64,184,4.84,0.77,60.82,80.61,58.47,0.0052,0.8,"NA","NA","rain","Light rain in the morning.",1012.68,306.68,2016-05-29
"13",0.5,9.55,143,4.62,0.83,61.8,76.5,60.01,0.0033,0.76,"NA","NA","rain","Light rain starting in the evening.",1019.55,299.75,2016-05-28
"14",0.45,9.7,300,1.68,0.73,63.51,84.37,61.43,0.0016,0.72,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1018.11,311.65,2016-05-27
"15",0.44,9.4,165,5.04,0.7,60.62,82.98,60.69,0.0095,0.69,"NA","NA","rain","Light rain in the morning and evening.",1016.04,320.96,2016-05-26
"16",0.1,9.68,357,2.32,0.64,52.86,78.86,53.64,3e-04,0.65,"NA","NA","rain","Light rain overnight.",1018.93,NA,2016-05-25
"17",0.2,7.7,246,2.63,0.67,51.85,80.05,51.89,1e-04,0.62,"NA","NA","fog","Foggy in the morning.",1015.39,NA,2016-05-24
"18",0.26,9.8,172,3.25,0.72,49.02,70.49,46.11,0.0032,0.59,"NA","NA","rain","Light rain in the afternoon and evening.",1014.34,NA,2016-05-23
"19",0.12,6.54,9,2.99,0.62,43.68,77.92,46.79,0,0.56,"NA","NA","fog","Foggy in the morning and dry throughout the day.",1014.41,NA,2016-05-22
"20",0.33,8.86,344,1.05,0.77,49.7,70.51,50.96,0.0031,0.53,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1012.2,NA,2016-05-21
"21",0.06,10,190,2.08,0.56,40.76,73.23,40.48,0,0.48,"NA","NA","clear-day","Clear throughout the day.",1018.19,NA,2016-05-20
"22",0.1,8.56,348,1.07,0.62,39.5,71.9,39.47,0,0.46,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1023.06,NA,2016-05-19
"23",0.38,10,312,1.83,0.62,40.15,64.81,44.26,9e-04,0.43,"NA","NA","rain","Drizzle starting in the evening.",1020.08,NA,2016-05-18
"24",0.16,10,324,3.82,0.61,36.65,61.85,40.41,0,0.4,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1021.85,NA,2016-05-17
"25",0.16,10,317,7.69,0.5,30.05,61.2,36.67,1e-04,0.37,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1019.67,NA,2016-05-16
"26",0.62,7.99,291,10.55,0.64,27.66,47.15,33.37,0.0018,0.34,"NA","NA","partly-cloudy-night","Mostly cloudy in the morning.",1012.24,NA,2016-05-15
"27",0.92,8.84,292,7.67,0.78,37.56,52.22,36.43,0.0169,0.31,"NA","NA","rain","Light rain in the morning and afternoon.",1002.89,NA,2016-05-14
"28",0.14,9.34,201,5.25,0.63,45.15,69.78,44.73,0.0033,0.28,"NA","NA","rain","Rain overnight.",1004.58,NA,2016-05-13
"29",0.24,8.52,181,6.95,0.71,47.68,65.16,47.98,0.0083,0.25,"NA","NA","rain","Rain starting in the afternoon, continuing until evening.",1010.17,NA,2016-05-12
"30",0.01,10,150,2.22,0.46,35.54,79.52,36.9,0,0.21,"NA","NA","clear-day","Clear throughout the day.",1019.76,NA,2016-05-11
