"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.45,8.61,211,8.43,0.78,70.17,91.58,66.57,0.0124,0.2,"NA","NA","rain","Light rain in the morning and overnight.",1011.7,318.22,2016-06-09
"2",0.71,9.01,162,7.12,0.72,59.84,85.11,55.47,0.0124,0.17,"NA","NA","rain","Rain until afternoon, starting again in the evening.",1013.07,331.98,2016-06-08
"3",0.13,9.88,328,1.43,0.61,48.04,74.61,51.3,0,0.13,"NA","NA","clear-day","Clear throughout the day.",1015.27,347.51,2016-06-07
"4",0.47,10,323,7.46,0.68,47.69,66.66,52.48,4e-04,0.1,"NA","NA","partly-cloudy-day","Mostly cloudy throughout the day.",1011.03,359.58,2016-06-06
"5",0.18,10,286,9.69,0.71,54.46,72.95,55.68,0.0044,0.06,"NA","NA","rain","Light rain until afternoon.",1004.85,342.3,2016-06-05
"6",0.31,7.97,288,10.5,0.76,58.27,78.87,58.82,0.0053,0.03,"NA","NA","rain","Light rain starting in the evening.",1004.49,338.31,2016-06-04
"7",0.76,8.66,211,2.98,0.79,62.13,77.27,63.02,0.0117,0.98,"NA","NA","rain","Light rain until afternoon, starting again in the evening.",1008.57,339.98,2016-06-03
"8",0.36,8.26,192,4.62,0.72,58.5,83.33,52.82,0.0075,0.95,"NA","NA","rain","Light rain starting in the afternoon.",1015.77,335.64,2016-06-02
"9",0.07,9.15,274,4.93,0.7,52.88,71.28,53.69,0,0.91,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1016.04,336.85,2016-06-01
"10",0.32,8.46,226,5.98,0.77,60.16,77.13,60.22,0.0291,0.87,"NA","NA","rain","Heavy rain in the morning.",1012.8,342.89,2016-05-31
"11",0.35,9.49,136,7.45,0.78,60.51,76.49,61.48,0.0082,0.84,"NA","NA","rain","Rain until afternoon, starting again overnight.",1014.48,328.98,2016-05-30
"12",0.06,9.57,299,2,0.66,57.15,81.34,58.75,1e-04,0.8,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1015.39,338.67,2016-05-29
"13",0.31,9.81,239,8.51,0.79,61.12,77.31,61.33,0.003,0.76,"NA","NA","rain","Light rain in the evening.",1013.32,348.08,2016-05-28
"14",0.51,9.9,181,12.16,0.83,65.6,79.94,65.45,0.0072,0.73,"NA","NA","rain","Light rain in the morning and evening.",1009.34,317.32,2016-05-27
"15",0.49,8.65,155,5.4,0.84,64.21,77.28,60.84,0.0183,0.69,"NA","NA","rain","Rain until evening, starting again overnight.",1009.63,307.15,2016-05-26
"16",0.2,9.47,217,5.79,0.72,61.01,82.73,64.13,0.0028,0.65,"NA","NA","rain","Light rain in the morning.",1010.59,NA,2016-05-25
"17",0.18,9.74,155,6.88,0.75,62.32,82.72,60.38,0.0038,0.62,"NA","NA","rain","Light rain starting in the afternoon.",1012.68,NA,2016-05-24
"18",0.2,10,207,4.88,0.58,54.73,81.09,59.72,0,0.59,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1012.9,NA,2016-05-23
"19",0.08,10,185,8.76,0.45,45.98,82.26,55.17,0,0.56,"NA","NA","clear-day","Clear throughout the day.",1013.6,NA,2016-05-22
"20",0.14,9.97,273,2.61,0.49,45.08,81.81,49.41,0,0.53,"NA","NA","clear-day","Clear throughout the day.",1017.5,NA,2016-05-21
"21",0.11,9.78,4,3.87,0.55,42.98,77.26,45.48,0,0.48,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1019.81,NA,2016-05-20
"22",0.1,9.93,124,4.74,0.51,39.39,70.8,42.2,0,0.46,"NA","NA","clear-day","Clear throughout the day.",1020.96,NA,2016-05-19
"23",0.13,9.61,183,5.05,0.54,38.57,69.59,40.82,0,0.43,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1021.86,NA,2016-05-18
"24",0.1,10,43,2.69,0.53,33.46,65.89,35.87,0,0.4,"NA","NA","partly-cloudy-day","Partly cloudy in the afternoon.",1024.28,NA,2016-05-17
"25",0.25,9.98,32,7.23,0.6,37.42,60.54,42.73,2e-04,0.37,"NA","NA","partly-cloudy-day","Partly cloudy until evening.",1023.84,NA,2016-05-16
