"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherTempMax","weatherTempMin","weatherPrecip","weatherMoonPhase","weatherSunset","weatherSunrise","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherDate"
"1",0.25,9.97,279,6.91,0.41,44.8,89.07,55.3,3e-04,0.17,"NA","NA","partly-cloudy-night","Partly cloudy starting in the afternoon.",1007.2,311.68,2016-06-09
"2",0.28,9.05,292,5.33,0.45,43.68,80.57,52.48,0.0032,0.13,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1009.21,319.27,2016-06-08
"3",0.23,8.97,214,5.93,0.61,47.86,75.58,49.57,0.001,0.1,"NA","NA","partly-cloudy-night","Partly cloudy starting in the afternoon.",1011.71,314.55,2016-06-07
"4",0.21,8.51,67,1.28,0.56,46.03,76.49,50.09,0.0038,0.06,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1014.33,303.15,2016-06-06
"5",0.11,9.33,10,0.76,0.5,42.55,77.5,45.11,0.0046,0.03,"NA","NA","rain","Light rain starting in the afternoon.",1015.84,309.11,2016-06-05
"6",0.16,10,358,5.49,0.47,39.51,74.41,47.09,0,0.98,"NA","NA","partly-cloudy-night","Partly cloudy in the morning.",1020.75,305.16,2016-06-04
"7",0.41,10,334,5.85,0.44,41.48,74.18,53.29,0.0064,0.95,"NA","NA","rain","Light rain starting in the afternoon.",1016.01,318.68,2016-06-03
"8",0.14,8.85,267,4.97,0.54,41.55,78.75,44.78,3e-04,0.91,"NA","NA","partly-cloudy-night","Partly cloudy overnight.",1013.85,333.68,2016-06-02
"9",0.28,8.96,161,3.98,0.68,43.42,66.78,43.16,0.0052,0.88,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1016.52,327.04,2016-06-01
"10",0.42,9.73,44,2.69,0.67,40.55,60.3,43.56,0.0035,0.84,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1016.37,333.69,2016-05-31
"11",0.31,9.99,292,3.42,0.54,40.21,69.18,43.75,0.0055,0.8,"NA","NA","rain","Light rain starting in the afternoon.",1011.99,339.01,2016-05-30
"12",0.31,9.87,246,3.86,0.51,38.31,70.62,42.47,0.0018,0.76,"NA","NA","rain","Drizzle in the afternoon.",1015.3,339.48,2016-05-29
"13",0.3,9.39,271,5.7,0.56,37.25,66.44,40.07,0.0046,0.73,"NA","NA","rain","Light rain until evening.",1012.32,345.23,2016-05-28
"14",0.64,9.56,5,8.02,0.69,39.93,57.03,44.19,0.0073,0.69,"NA","NA","rain","Light rain starting in the afternoon.",1008.93,340.46,2016-05-27
"15",0.25,9.43,240,0.86,0.67,37.08,61.44,37.39,0.0038,0.66,"NA","NA","rain","Light rain starting in the afternoon, continuing until evening.",1010.86,335.1,2016-05-26
"16",0.12,9.93,262,6.47,0.49,35.08,64.08,43.35,3e-04,0.62,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1009.98,NA,2016-05-25
"17",0.13,9.93,179,8.69,0.67,40.88,65.6,38.17,0.001,0.59,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1008.99,NA,2016-05-24
"18",0.08,10,240,7.97,0.52,33.73,62.88,39.66,0,0.56,"NA","NA","partly-cloudy-day","Partly cloudy in the evening.",1008.5,NA,2016-05-23
"19",0.18,10,354,6.04,0.58,39.39,66.55,43.67,0,0.53,"NA","NA","partly-cloudy-night","Partly cloudy starting in the evening.",1005.52,NA,2016-05-22
"20",0.1,7.48,145,12.51,0.78,52.17,72.75,51.24,0,0.49,"NA","NA","wind","Foggy in the morning and breezy starting in the evening.",1006.14,NA,2016-05-21
"21",0.05,10,178,7.89,0.55,40.7,72.67,40.87,0,0.46,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1005.87,NA,2016-05-20
"22",0.18,10,230,7.04,0.58,38.44,67.42,37.33,0.0016,0.43,"NA","NA","rain","Light rain in the afternoon.",1007.37,NA,2016-05-19
"23",0.26,9.63,178,11.25,0.72,39.81,60.73,39.83,0,0.4,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1017.64,NA,2016-05-18
"24",0.61,7.64,141,5.81,0.9,35.45,43.89,32.96,0.0031,0.37,"NA","NA","rain","Light rain until afternoon.",1025.74,NA,2016-05-17
"25",0.6,4.28,79,3.55,0.95,36.63,40.33,33.12,0.0118,0.34,"NA","NA","rain","Rain throughout the day.",1015.22,NA,2016-05-16
"26",0.34,9.66,156,7.99,0.84,37.05,48.01,35.92,0.0026,0.31,"NA","NA","rain","Light rain in the afternoon and evening.",1015.1,NA,2016-05-15
"27",0.33,6.37,122,8.03,0.9,34.44,42.15,33.16,1e-04,0.28,"NA","NA","partly-cloudy-day","Partly cloudy starting in the evening.",1024.67,NA,2016-05-14
"28",0.18,10,1,8.83,0.63,32.81,51.61,39,0,0.25,"NA","NA","partly-cloudy-day","Partly cloudy starting in the afternoon, continuing until evening.",1021.87,NA,2016-05-13
"29",0.05,10,234,6.72,0.5,29.53,64.92,29.99,0,0.22,"NA","NA","clear-day","Clear throughout the day.",1021.62,NA,2016-05-12
"30",0.16,10,316,9.83,0.47,23.8,53.24,31.69,0,0.18,"NA","NA","partly-cloudy-day","Partly cloudy until afternoon.",1019.5,NA,2016-05-11
"31",0.22,10,286,18.37,0.45,26.95,57.18,42.09,0,0.15,"NA","NA","wind","Windy in the afternoon and partly cloudy starting in the afternoon, continuing until evening.",1008.6,NA,2016-05-10
