"","weatherCloudCover","weatherVisibillity","weatherWindBearing","weatherWindSpeed","weatherHumidity","weatherDewPoint","weatherApparentTemperature","weatherTemperature","weatherPrecip","weatherPrecipType","weatherIcon","weatherSummary","weatherPressure","weatherOzone","weatherLat","weatherLong"
"1",0.99,9.82,98,5.73,0.7,56.76,66.87,66.87,0,NA,"cloudy","Overcast",1019.77,308.34,33.58,-85.85
"2",1,9.69,89,8.13,0.84,60.19,65.23,65.23,0,NA,"cloudy","Overcast",1019.29,305.24,32.67,-85.44
"3",0.43,9.98,107,5.58,0.66,56.21,67.78,67.78,0,NA,"partly-cloudy-day","Partly Cloudy",1018.88,306.81,33.57,-86.75
"4",1,9.93,105,5,0.65,56.02,68.23,68.23,0,NA,"cloudy","Overcast",1018.28,303.22,32.9,-87.25
"5",0.83,9.42,94,7.94,0.68,64.55,75.82,75.82,0,NA,"partly-cloudy-day","Mostly Cloudy",1018.93,302.15,31.32,-85.45
"6",0.79,9.1,128,7.04,0.66,62.88,75.05,75.05,0.0473,NA,"rain","Light Rain",1018.82,301.2,31.28,-85.72
"7",0.84,9.98,111,4.03,0.68,57.08,68.25,68.25,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.76,309.59,33.97,-86.09
"8",0.57,9.87,131,4.77,0.56,52.35,68.54,68.54,0,NA,"partly-cloudy-day","Partly Cloudy",1019.59,312,34.65,-86.77
"9",0.77,9.59,76,8.17,0.69,60.35,71.21,71.21,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.7,302.24,32.38,-86.37
"10",0.7,3.83,130,4.13,0.95,62.24,63.63,63.63,0.0029,NA,"partly-cloudy-day","Mostly Cloudy",1019.24,293.94,30.68,-88.25
"11",0.66,4.9,49,3.03,0.95,62.82,64.2,64.2,0.008,NA,"rain","Drizzle",1019.36,294.25,30.63,-88.07
"12",0.81,9.73,73,8.08,0.69,60.49,71.31,71.31,0,NA,"partly-cloudy-day","Mostly Cloudy",1019.8,301.91,32.3,-86.4
"13",0.49,10,110,2.96,0.58,49,64.33,64.33,0,NA,"partly-cloudy-day","Partly Cloudy",1019.34,312.7,34.75,-87.62
"14",1,9.76,91,3.92,0.67,57.13,68.63,68.63,0.0022,NA,"cloudy","Overcast",1019.44,301.01,32.34,-86.99
"15",0.54,9.66,84,7.08,0.7,62.64,73.07,73.07,0,NA,"partly-cloudy-day","Partly Cloudy",1019.2,301.56,31.87,-86.02
"16",0.67,10,100,4.1,0.61,53.6,67.5,67.5,0,NA,"partly-cloudy-day","Mostly Cloudy",1018.41,304.59,33.23,-87.62
"17",0.61,8.87,84,22.18,0.91,34.53,25.74,36.8,0.0067,NA,"partly-cloudy-day","Mostly Cloudy",990.98,452.94,51.88,-176.65
"18",0.04,9.85,117,4.06,0.68,20.85,25.97,30.24,0,NA,"clear-day","Clear",1015.04,390.11,67.1,-157.85
"19",0.54,10,202,2.72,0.61,32.51,45.23,45.23,0,NA,"partly-cloudy-day","Partly Cloudy",1004.06,391.52,61.17,-150.02
"20",0.43,10,211,3.9,0.62,32.69,42.99,44.84,0,NA,"partly-cloudy-day","Partly Cloudy",1004.03,390.1,61.22,-149.85
"21",0.9,9.09,156,9.27,0.79,38.95,40.17,45.03,0.0014,NA,"partly-cloudy-day","Mostly Cloudy",1009.4,426.25,57.83,-134.97
"22",0.07,9.83,83,1.2,0.75,27.99,35.13,35.13,0,NA,"clear-day","Clear",1007.54,430.85,61.58,-159.53
"23",0.85,9.18,153,13.43,0.82,40.84,39.88,45.94,0.0033,NA,"partly-cloudy-day","Mostly Cloudy",1007.51,439.66,55.03,-131.57
"24",1,7.86,127,27.24,0.84,33.4,26.05,37.84,0.0055,NA,"cloudy","Overcast",996.51,440.08,53.5,-173.3
"25",0.1,5.79,91,23.7,0.81,6.95,-8.24,11.53,0,NA,"wind","Breezy",1024.03,397.98,71.3,-156.78
"26",0.23,8.07,101,23.22,0.85,8.35,-7.53,11.94,0,NA,"wind","Breezy",1022.51,397.69,70.13,-143.63
"27",0.07,8.79,118,4.48,0.91,32.68,31.12,35.04,0,NA,"clear-day","Clear",1007.11,434.62,60.78,-161.8
"28",0.2,10,58,7.79,0.52,11.57,18.89,27,0,NA,"clear-day","Clear",1017.69,391.19,66.92,-151.52
"29",0.33,10,99,5.9,0.47,17.77,30.94,35.89,0,NA,"partly-cloudy-day","Partly Cloudy",1009.87,372.85,64,-145.73
"30",0.92,8.24,155,1.28,0.77,31.77,38.31,38.31,0,NA,"partly-cloudy-day","Mostly Cloudy",1006.96,395.44,60.82,-152.3
"31",0.62,8.01,155,1.76,0.79,23.6,29.45,29.45,0,NA,"partly-cloudy-day","Mostly Cloudy",1008.5,374.58,63.38,-148.95
"32",0.42,8.86,151,12.96,0.77,39.11,39.79,45.76,0.0043,NA,"partly-cloudy-day","Partly Cloudy",1008.86,442.58,56,-134.22
"33",0.66,8.02,125,8,0.83,39.22,39.53,44.06,0,NA,"partly-cloudy-day","Mostly Cloudy",1006.61,385.21,60.38,-147.08
"34",0.78,8.91,104,11.38,0.8,37.06,36.63,42.83,0,NA,"partly-cloudy-day","Mostly Cloudy",1008.15,421.64,58.33,-137.05
"35",0.7,7.73,125,2.95,0.73,35.62,43.64,43.64,0,NA,"partly-cloudy-day","Mostly Cloudy",1008.14,385.86,60.33,-145
"36",0.19,9.87,93,11.31,0.68,6.69,2.26,15.36,0,NA,"clear-day","Clear",1019.44,390.66,67.5,-148.48
"37",0.67,9.2,106,1.85,0.78,27.73,33.77,33.77,0,NA,"partly-cloudy-day","Mostly Cloudy",1007.83,382.17,62.88,-149.83
"38",0.52,8.99,68,6.9,0.61,8.9,11.37,20.21,0,NA,"partly-cloudy-day","Partly Cloudy",1017.55,391.51,65.83,-144.07
"39",0.8,9.45,150,7.93,0.87,36.14,34.11,39.58,0.0017,NA,"partly-cloudy-day","Mostly Cloudy",1005.27,395.22,55.2,-162.72
"40",0.62,9.47,98,1.88,0.73,37.24,45.21,45.21,0,NA,"partly-cloudy-day","Mostly Cloudy",1008.33,384.38,60.5,-145.5
"41",0.84,8.85,156,9.07,0.78,41.01,43.33,47.54,0.0053,NA,"partly-cloudy-day","Mostly Cloudy",1007.09,441.5,55.8,-133.25
